step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
164.0	from2.85	488.45	277.34	8.0	39	1.0	10.0	46.0	regular	#8806CE
164.0	from0.83	11.55	221.78	8.0	18	1.0	12.0	46.0	regular	#FC8EAC
164.0	from3.86	47.58	488.45	12.0	4	1.0	14.0	46.0	regular	#FF1493
164.0	from3.93	242.52	11.55	7.0	31	1.0	10.0	46.0	regular	#967117
164.0	from1.82	222.08	8.25	7.0	31	1.0	10.0	46.0	regular	#967117
164.0	from1.87	344.89	488.45	11.0	4	1.0	14.0	46.0	regular	#FF1493
164.0	from1.90	19.81	488.45	12.0	4	1.0	14.0	46.0	regular	#FF1493
164.0	from0.80	429.28	491.75	10.0	4	1.0	14.0	46.0	regular	#FF1493
164.0	from0.77	488.45	325.54	10.0	39	1.0	10.0	46.0	regular	#8806CE
164.0	from2.80	8.25	481.36	11.0	18	1.0	12.0	46.0	regular	#FC8EAC
164.0	from3.85	64.08	488.45	12.0	4	1.0	14.0	46.0	regular	#FF1493
164.0	from2.84	488.45	100.02	7.0	39	1.0	10.0	46.0	regular	#8806CE
164.0	from2.87	488.45	478.44	10.0	39	1.0	10.0	46.0	regular	#8806CE
164.0	from1.85	491.75	421.47	12.0	39	1.0	10.0	46.0	regular	#8806CE
164.0	from2.86	488.45	414.51	12.0	39	1.0	10.0	46.0	regular	#8806CE
164.0	from2.79	168.22	491.75	14.0	4	1.0	14.0	46.0	regular	#FF1493
164.0	from1.86	423.02	488.45	10.0	4	1.0	14.0	46.0	regular	#FF1493
164.0	from3.87	357.92	491.75	11.0	4	1.0	14.0	46.0	regular	#FF1493
164.0	from2.83	404.2	8.25	10.0	31	1.0	10.0	46.0	regular	#967117
164.0	from3.92	149.45	11.55	11.0	31	1.0	10.0	46.0	regular	#967117
164.0	from3.91	11.55	15.64	6.0	18	1.0	12.0	46.0	regular	#FC8EAC
164.0	from3.89	48.39	491.75	12.0	4	1.0	14.0	46.0	regular	#FF1493
164.0	from2.81	8.25	265.81	7.0	18	1.0	12.0	46.0	regular	#FC8EAC
164.0	from1.88	191.41	488.45	13.0	4	1.0	14.0	46.0	regular	#FF1493
164.0	from3.88	212.5	491.75	11.0	4	1.0	14.0	46.0	regular	#FF1493
164.0	from1.81	8.25	381.2	12.0	18	1.0	12.0	46.0	regular	#FC8EAC
164.0	from0.85	11.55	32.86	7.0	18	1.0	12.0	46.0	regular	#FC8EAC
164.0	from0.84	11.55	143.37	9.0	18	1.0	12.0	46.0	regular	#FC8EAC
164.0	from0.76	264.26	8.25	8.0	31	1.0	10.0	46.0	regular	#967117
164.0	from1.84	488.45	302.93	10.0	39	1.0	10.0	46.0	regular	#8806CE
164.0	from1.89	99.56	488.45	11.0	4	1.0	14.0	46.0	regular	#FF1493
164.0	from1.80	296.31	11.55	9.0	31	1.0	10.0	46.0	regular	#967117
164.0	from0.79	315.98	488.45	11.0	4	1.0	14.0	46.0	regular	#FF1493
164.0	from2.78	11.55	120.43	9.0	18	1.0	12.0	46.0	regular	#FC8EAC
164.0	from0.78	488.45	433.81	12.0	39	1.0	10.0	46.0	regular	#8806CE
164.0	from0.81	81.36	488.45	12.0	4	1.0	14.0	46.0	regular	#FF1493
164.0	from0.82	11.55	302.03	12.0	18	1.0	12.0	46.0	regular	#FC8EAC
164.0	from1.83	488.45	133.73	9.0	39	1.0	10.0	46.0	regular	#8806CE
164.0	from3.83	491.75	271.89	8.0	39	1.0	10.0	46.0	regular	#8806CE
164.0	from2.82	8.25	62.18	7.0	18	1.0	12.0	46.0	regular	#FC8EAC
164.0	from1.78	8.25	425.53	12.0	18	1.0	12.0	46.0	regular	#FC8EAC
164.0	from3.90	11.55	100.96	8.0	18	1.0	12.0	46.0	regular	#FC8EAC
164.0	from1.79	272.05	11.55	8.0	31	1.0	10.0	46.0	regular	#967117
164.0	from3.94	412.15	11.55	10.0	31	1.0	10.0	46.0	regular	#967117
164.0	from3.95	452.81	11.55	8.0	31	1.0	10.0	46.0	regular	#967117
164.0	from3.96	475.3	11.55	6.0	31	1.0	10.0	46.0	regular	#967117
