step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
310.0	from3.108	286.97	11.55	12.0	143	0.9	54.0	54.0	regular	#B8860B
310.0	from2.91	323.7	491.75	12.0	143	0.85	54.0	54.0	regular	#B8860B
310.0	from3.102	128.56	488.45	13.0	143	0.8	54.0	54.0	regular	#B8860B
310.0	from1.100	8.25	335.28	14.0	143	0.75	54.0	54.0	regular	#B8860B
310.0	from0.99	11.55	356.91	16.0	143	0.75	54.0	54.0	regular	#B8860B
310.0	from0.94	426.4	488.45	12.0	143	0.9	54.0	54.0	regular	#B8860B
310.0	from3.104	11.55	318.74	14.0	143	0.8	54.0	54.0	regular	#B8860B
310.0	from2.104	488.45	478.07	11.0	143	0.9	54.0	54.0	regular	#B8860B
310.0	from3.101	491.75	37.33	10.0	143	0.95	54.0	54.0	regular	#B8860B
310.0	from1.93	8.25	440.68	13.0	143	0.75	54.0	54.0	regular	#B8860B
310.0	from2.103	488.45	433.93	11.0	143	0.9	54.0	54.0	regular	#B8860B
310.0	from0.93	491.75	310.32	12.0	143	0.95	54.0	54.0	regular	#B8860B
310.0	from2.100	488.45	113.27	12.0	143	0.95	54.0	54.0	regular	#B8860B
310.0	from1.98	8.25	406.47	14.0	143	0.75	54.0	54.0	regular	#B8860B
310.0	from3.109	352.43	11.55	12.0	143	0.95	54.0	54.0	regular	#B8860B
310.0	from3.106	11.55	157.31	16.0	143	0.8	54.0	54.0	regular	#B8860B
310.0	from3.99	491.75	128.32	11.0	143	1.0	54.0	54.0	regular	#B8860B
310.0	from1.94	11.55	134.71	15.0	143	0.85	54.0	54.0	regular	#B8860B
310.0	from3.100	390.52	488.45	10.0	143	0.9	54.0	54.0	regular	#B8860B
310.0	from2.99	463.91	11.55	11.0	143	0.95	54.0	54.0	regular	#B8860B
310.0	from1.107	254.38	488.45	7.0	143	0.85	54.0	54.0	regular	#B8860B
310.0	from3.111	448.99	11.55	11.0	143	0.95	54.0	54.0	regular	#B8860B
310.0	from3.98	488.45	359.42	11.0	143	0.9	54.0	54.0	regular	#B8860B
310.0	from2.95	8.25	204.49	12.0	143	0.8	54.0	54.0	regular	#B8860B
310.0	from3.107	63.68	11.55	11.0	143	0.85	54.0	54.0	regular	#B8860B
310.0	from2.101	488.45	224.85	8.0	143	0.95	54.0	54.0	regular	#B8860B
310.0	from0.95	491.75	396.94	12.0	143	0.9	54.0	54.0	regular	#B8860B
310.0	from1.103	327.28	8.25	11.0	143	0.9	54.0	54.0	regular	#B8860B
310.0	from0.98	51.93	491.75	12.0	143	0.75	54.0	54.0	regular	#B8860B
310.0	from0.92	411.84	8.25	11.0	143	0.95	54.0	54.0	regular	#B8860B
310.0	from3.103	11.55	482.03	12.0	143	0.75	54.0	54.0	regular	#B8860B
310.0	from1.97	21.01	8.25	13.0	143	0.85	54.0	54.0	regular	#B8860B
310.0	from1.105	488.45	449.44	11.0	143	0.9	54.0	54.0	regular	#B8860B
310.0	from0.102	11.55	20.02	13.0	143	0.85	54.0	54.0	regular	#B8860B
310.0	from1.99	8.25	372.96	15.0	143	0.75	54.0	54.0	regular	#B8860B
310.0	from1.102	165.03	8.25	13.0	143	0.9	54.0	54.0	regular	#B8860B
310.0	from2.94	8.25	266.63	11.0	143	0.8	54.0	54.0	regular	#B8860B
310.0	from1.101	479.45	11.55	10.0	143	0.95	54.0	54.0	regular	#B8860B
310.0	from2.98	277.12	8.25	11.0	143	0.9	54.0	54.0	regular	#B8860B
310.0	from0.89	54.91	8.25	11.0	143	0.85	54.0	54.0	regular	#B8860B
310.0	from1.106	455.37	491.75	11.0	143	0.9	54.0	54.0	regular	#B8860B
310.0	from0.91	88.53	8.25	13.0	143	0.85	54.0	54.0	regular	#B8860B
310.0	from3.110	404.81	11.55	11.0	143	0.95	54.0	54.0	regular	#B8860B
310.0	from2.96	112.58	11.55	13.0	143	0.85	54.0	54.0	regular	#B8860B
310.0	from3.105	11.55	180.26	16.0	143	0.8	54.0	54.0	regular	#B8860B
310.0	from1.104	488.45	338.54	11.0	143	0.9	54.0	54.0	regular	#B8860B
310.0	from0.96	149.71	488.45	12.0	143	0.8	54.0	54.0	regular	#B8860B
310.0	from2.97	126.71	8.25	12.0	143	0.85	54.0	54.0	regular	#B8860B
310.0	from0.97	158.03	491.75	12.0	143	0.8	54.0	54.0	regular	#B8860B
310.0	from0.100	11.55	206.59	13.0	143	0.8	54.0	54.0	regular	#B8860B
310.0	from2.102	488.45	310.15	12.0	143	0.95	54.0	54.0	regular	#B8860B
310.0	from1.108	176.96	488.45	10.0	143	0.8	54.0	54.0	regular	#B8860B
310.0	from1.109	39.69	488.45	12.0	143	0.75	54.0	54.0	regular	#B8860B
310.0	from0.101	11.55	35.3	13.0	143	0.85	54.0	54.0	regular	#B8860B
