step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
400.0	from2.110	488.45	168.27	8.0	251	2.58571428571	16.0	47.0	regular	#FFBF00
400.0	from3.117	8.25	88.29	11.0	215	7.07999082027	23.0	47.0	regular	#EA3C53
400.0	from3.118	113.88	11.55	10.0	215	5.90780739728	23.0	47.0	regular	#EA3C53
400.0	from3.113	138.04	491.75	13.0	215	7.9481270903	23.0	47.0	regular	#EA3C53
400.0	from0.99	354.83	8.25	8.0	230	5.10441176471	8.0	47.0	regular	#007AA5
400.0	from0.110	11.55	129.88	10.0	215	6.24274411519	23.0	47.0	regular	#EA3C53
400.0	from0.112	11.55	43.23	9.0	215	6.34146641113	23.0	47.0	regular	#EA3C53
400.0	from2.104	11.55	253.55	7.0	215	3.38225957049	23.0	47.0	regular	#EA3C53
400.0	from1.117	109.24	488.45	12.0	215	8.17200263505	23.0	47.0	regular	#EA3C53
400.0	from1.110	8.25	422.56	13.0	215	8.69717470935	23.0	47.0	regular	#EA3C53
400.0	from3.120	388.83	11.55	8.0	230	4.89133986928	8.0	47.0	regular	#007AA5
400.0	from0.105	410.79	491.75	11.0	251	7.87539996236	16.0	47.0	regular	#FFBF00
400.0	from3.116	8.25	226.8	8.0	215	3.91735220404	23.0	47.0	regular	#EA3C53
400.0	from1.115	283.14	488.45	10.0	251	3.47142857143	16.0	47.0	regular	#FFBF00
400.0	from2.109	232.98	8.25	10.0	230	4.02339181287	8.0	47.0	regular	#007AA5
400.0	from3.121	477.84	11.55	7.0	230	2.9	8.0	47.0	regular	#007AA5
400.0	from1.109	181.11	11.55	12.0	215	4.41517033691	23.0	47.0	regular	#EA3C53
400.0	from1.111	243.42	4.95	9.0	230	4.20811833505	8.0	47.0	regular	#007AA5
400.0	from2.108	37.47	8.25	9.0	215	5.978500172	23.0	47.0	regular	#EA3C53
400.0	from2.111	488.45	340.28	12.0	251	7.68860342556	16.0	47.0	regular	#FFBF00
400.0	from0.108	11.55	381.45	13.0	215	8.69717470935	23.0	47.0	regular	#EA3C53
400.0	from2.112	488.45	440.4	11.0	251	7.61330552608	16.0	47.0	regular	#FFBF00
400.0	from3.114	324.13	491.75	11.0	251	5.93073593074	16.0	47.0	regular	#FFBF00
400.0	from2.107	143.88	11.55	11.0	215	5.75105253252	23.0	47.0	regular	#EA3C53
400.0	from1.118	22.8	488.45	10.0	215	8.32394127612	23.0	47.0	regular	#EA3C53
400.0	from2.101	70.26	488.45	10.0	215	8.32394127612	23.0	47.0	regular	#EA3C53
400.0	from1.113	488.45	361.36	12.0	251	7.68860342556	16.0	47.0	regular	#FFBF00
400.0	from1.112	372.21	4.95	8.0	230	5.10441176471	8.0	47.0	regular	#007AA5
400.0	from0.107	90.65	488.45	12.0	215	8.17200263505	23.0	47.0	regular	#EA3C53
400.0	from2.106	29.81	491.75	10.0	215	8.32394127612	23.0	47.0	regular	#EA3C53
400.0	from1.114	491.49	488.63	10.0	251	7.27518037518	16.0	47.0	regular	#FFBF00
400.0	from0.104	462.55	488.45	11.0	251	7.87539996236	16.0	47.0	regular	#FFBF00
400.0	from0.109	11.55	280.24	7.0	215	3.08944911298	23.0	47.0	regular	#EA3C53
400.0	from0.102	491.75	250.44	6.0	251	3.41643323996	16.0	47.0	regular	#FFBF00
400.0	from0.100	408.52	11.55	8.0	230	4.89133986928	8.0	47.0	regular	#007AA5
400.0	from0.103	491.75	290.51	8.0	251	4.60091896408	16.0	47.0	regular	#FFBF00
400.0	from2.105	287.52	491.75	10.0	251	3.47142857143	16.0	47.0	regular	#FFBF00
400.0	from3.119	319.82	11.55	9.0	230	5.07344341245	8.0	47.0	regular	#007AA5
400.0	from0.106	365.7	491.75	11.0	251	7.87539996236	16.0	47.0	regular	#FFBF00
400.0	from0.101	488.45	206.72	6.0	251	2.84126984127	16.0	47.0	regular	#FFBF00
400.0	from3.115	68.78	491.75	10.0	215	8.32394127612	23.0	47.0	regular	#EA3C53
400.0	from1.108	8.25	468.34	11.0	215	8.38267770876	23.0	47.0	regular	#EA3C53
400.0	from3.110	437.03	488.45	11.0	251	7.87539996236	16.0	47.0	regular	#FFBF00
400.0	from0.111	11.55	75.34	10.0	215	6.72337483638	23.0	47.0	regular	#EA3C53
400.0	from2.113	488.45	469.7	10.0	251	7.27518037518	16.0	47.0	regular	#FFBF00
400.0	from0.113	11.55	25.14	8.0	215	5.94296525628	23.0	47.0	regular	#EA3C53
400.0	from1.116	162.24	488.45	13.0	215	7.9481270903	23.0	47.0	regular	#EA3C53
