step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
92.0	top.66	498.35	120.79	9.0	192	0.95	6.0	57.0	regular	#EF3038
92.0	top.64	498.35	73.76	8.0	192	0.95	6.0	57.0	regular	#EF3038
92.0	top.65	498.35	100.1	9.0	192	0.95	6.0	57.0	regular	#EF3038
92.0	left.63	586.4	498.35	31.0	416	0.95	15.0	57.0	regular	#A67B5B
92.0	top.67	498.35	140.98	9.0	192	0.95	6.0	57.0	regular	#EF3038
92.0	right.67	497.83	503.35	31.0	237	0.95	15.0	57.0	regular	#C9FFE5
92.0	left.66	516.67	498.35	30.0	416	0.95	15.0	57.0	regular	#A67B5B
92.0	right.65	456.16	501.65	31.0	237	0.95	15.0	57.0	regular	#C9FFE5
92.0	left.68	484.33	495.05	30.0	416	0.95	15.0	57.0	regular	#A67B5B
92.0	top.68	495.05	513.35	31.0	472	1.0	2.0	57.0	regular	#B48395
92.0	right.66	478.92	501.65	30.0	237	0.95	15.0	57.0	regular	#C9FFE5
92.0	top.75	498.35	909.63	6.0	449	0.55	6.0	57.0	regular	#E5CCC9
92.0	right.72	591.66	504.95	31.0	237	0.95	15.0	57.0	regular	#C9FFE5
92.0	top.72	495.05	567.56	31.0	449	0.55	6.0	57.0	regular	#E5CCC9
92.0	left.69	468.5	495.05	30.0	416	0.95	15.0	57.0	regular	#A67B5B
92.0	top.69	495.05	520.36	31.0	237	0.95	15.0	57.0	regular	#C9FFE5
92.0	top.73	495.05	701.39	10.0	449	0.55	6.0	57.0	regular	#E5CCC9
92.0	top.71	495.05	534.36	31.0	472	0.95	2.0	57.0	regular	#B48395
92.0	left.71	443.73	495.05	31.0	416	0.95	15.0	57.0	regular	#A67B5B
92.0	left.70	455.55	495.05	31.0	416	0.95	15.0	57.0	regular	#A67B5B
92.0	top.76	498.35	975.76	6.0	449	0.55	6.0	57.0	regular	#E5CCC9
92.0	bottom.76	501.65	14.23	8.0	450	0.8	6.0	57.0	regular	#C2B280
92.0	right.75	892.42	501.65	3.0	237	0.9	15.0	57.0	regular	#C9FFE5
92.0	left.75	99.43	498.35	3.0	416	0.85	15.0	57.0	regular	#A67B5B
92.0	right.71	556.19	504.95	31.0	237	1.0	15.0	57.0	regular	#C9FFE5
92.0	bottom.71	504.95	458.63	31.0	479	1.0	1.0	57.0	regular	#801818
92.0	bottom.70	504.95	465.64	31.0	478	1.0	1.0	57.0	regular	#B53389
92.0	right.70	544.43	504.95	31.0	237	0.95	15.0	57.0	regular	#C9FFE5
92.0	top.70	495.05	527.36	31.0	449	0.5	6.0	57.0	regular	#E5CCC9
92.0	right.76	971.96	501.65	2.0	237	0.85	15.0	57.0	regular	#C9FFE5
92.0	left.76	26.72	498.35	2.0	416	0.8	15.0	57.0	regular	#A67B5B
92.0	bottom.75	501.65	97.94	9.0	450	0.85	6.0	57.0	regular	#C2B280
92.0	top.62	498.35	14.91	8.0	192	0.95	6.0	57.0	regular	#EF3038
92.0	top.63	498.35	39.19	8.0	192	1.0	6.0	57.0	regular	#EF3038
92.0	left.72	399.7	495.05	31.0	416	0.95	15.0	57.0	regular	#A67B5B
92.0	bottom.72	504.95	423.98	31.0	450	0.95	6.0	57.0	regular	#C2B280
92.0	bottom.69	504.95	472.64	31.0	477	1.0	1.0	57.0	regular	#DE5285
92.0	right.69	530.74	504.95	32.0	237	0.95	15.0	57.0	regular	#C9FFE5
92.0	right.73	725.73	504.95	9.0	237	0.95	15.0	57.0	regular	#C9FFE5
92.0	left.73	264.94	495.05	8.0	416	0.9	15.0	57.0	regular	#A67B5B
92.0	bottom.63	501.65	978.28	6.0	228	0.95	4.0	57.0	regular	#6D9BC3
92.0	right.63	409.37	501.65	31.0	237	0.95	15.0	57.0	regular	#C9FFE5
92.0	right.64	433.86	501.65	31.0	237	0.95	15.0	57.0	regular	#C9FFE5
92.0	right.68	514.92	504.95	31.0	237	0.95	15.0	57.0	regular	#C9FFE5
92.0	bottom.67	504.95	486.65	31.0	450	1.0	6.0	57.0	regular	#C2B280
92.0	bottom.64	501.65	951.69	6.0	228	1.0	4.0	57.0	regular	#6D9BC3
92.0	bottom.65	501.65	929.61	6.0	228	0.95	4.0	57.0	regular	#6D9BC3
92.0	bottom.66	501.65	895.79	7.0	228	0.95	4.0	57.0	regular	#6D9BC3
92.0	left.65	536.48	498.35	31.0	416	0.95	15.0	57.0	regular	#A67B5B
92.0	left.67	500.6	496.36	30.0	416	1.0	15.0	57.0	regular	#A67B5B
92.0	left.64	554.98	498.35	31.0	416	0.95	15.0	57.0	regular	#A67B5B
92.0	bottom.68	504.95	479.64	31.0	416	0.95	15.0	57.0	regular	#A67B5B
92.0	bottom.73	504.95	293.75	11.0	450	0.95	6.0	57.0	regular	#C2B280
92.0	right.74	795.95	501.65	3.0	237	0.9	15.0	57.0	regular	#C9FFE5
92.0	bottom.74	501.65	194.28	9.0	450	0.85	6.0	57.0	regular	#C2B280
92.0	left.74	191.95	498.35	3.0	416	0.85	15.0	57.0	regular	#A67B5B
92.0	top.74	498.35	807.21	7.0	449	0.5	6.0	57.0	regular	#E5CCC9
