step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
596.0	top.127	495.05	550.58	32.0	5801	6.08434137237	16.0	56.0	regular	#1C1CF0
596.0	bottom.128	504.95	380.53	29.0	5668	3.54709747636	14.0	56.0	regular	#3B7A57
596.0	left.126	465.64	495.05	35.0	5106	0.232558139535	4.0	56.0	regular	#480607
596.0	left.123	486.65	495.05	35.0	5946	0.0	1.0	56.0	regular	#707070
596.0	bottom.121	501.65	613.29	29.0	5668	7.02847931644	14.0	56.0	regular	#3B7A57
596.0	right.119	7.16	501.65	6.0	5380	2.47956279442	4.0	56.0	regular	#E4D00A
596.0	bottom.127	504.95	478.56	33.0	5668	6.14183818309	14.0	56.0	regular	#3B7A57
596.0	right.125	527.35	504.95	35.0	5940	0.0	1.0	56.0	regular	#F400A1
596.0	bottom.120	501.65	634.1	29.0	5668	7.02159393174	14.0	56.0	regular	#3B7A57
596.0	right.126	534.35	504.95	35.0	5916	1.16346837242	3.0	56.0	regular	#FFA6C9
596.0	right.122	69.07	501.65	6.0	5380	2.47955060739	4.0	56.0	regular	#E4D00A
596.0	right.130	809.55	501.65	5.0	5911	0.767201776326	3.0	56.0	regular	#00BFFF
596.0	left.130	196.12	498.35	7.0	5106	1.15028688947	4.0	56.0	regular	#480607
596.0	bottom.130	501.65	197.83	8.0	5668	0.557865017426	14.0	56.0	regular	#3B7A57
596.0	left.125	472.64	495.05	35.0	5801	0.149607908256	16.0	56.0	regular	#1C1CF0
596.0	left.129	290.31	495.05	8.0	5902	0.694236752093	4.0	56.0	regular	#EFBBCC
596.0	right.123	513.35	504.95	35.0	5668	1.14123465632	14.0	56.0	regular	#3B7A57
596.0	top.132	498.35	971.79	2.0	5801	0.678198198198	16.0	56.0	regular	#1C1CF0
596.0	bottom.125	501.74	510.63	34.0	5668	7.65808504457	14.0	56.0	regular	#3B7A57
596.0	right.121	49.84	501.65	6.0	5380	2.4826753201	4.0	56.0	regular	#E4D00A
596.0	left.128	420.75	495.05	33.0	5902	2.1114734142	4.0	56.0	regular	#EFBBCC
596.0	bottom.118	501.65	689.63	23.0	5668	5.78191660565	14.0	56.0	regular	#3B7A57
596.0	left.121	983.36	498.35	4.0	5887	0.75	2.0	56.0	regular	#ED872D
596.0	left.124	479.64	495.05	35.0	5902	0.96875	4.0	56.0	regular	#EFBBCC
596.0	top.121	498.35	389.55	29.0	5801	7.51935068161	16.0	56.0	regular	#1C1CF0
596.0	top.125	498.35	481.8	33.0	5801	7.68925299817	16.0	56.0	regular	#1C1CF0
596.0	top.131	498.35	905.42	2.0	5801	0.495055519716	16.0	56.0	regular	#1C1CF0
596.0	top.126	496.29	499.76	35.0	5801	8.07725545629	16.0	56.0	regular	#1C1CF0
596.0	top.124	498.35	460.61	32.0	5801	8.43364433086	16.0	56.0	regular	#1C1CF0
596.0	top.118	498.35	315.89	25.0	5801	6.46081736228	16.0	56.0	regular	#1C1CF0
596.0	bottom.131	501.65	97.68	2.0	4878	0.277544928634	2.0	56.0	regular	#F7E7CE
596.0	left.127	458.63	495.05	35.0	5902	1.17405840771	4.0	56.0	regular	#EFBBCC
596.0	right.131	931.55	501.65	4.0	5911	0.0	3.0	56.0	regular	#00BFFF
596.0	right.132	986.54	501.65	4.0	5911	1.24969192853	3.0	56.0	regular	#00BFFF
596.0	left.122	963.94	498.35	4.0	5887	0.75	2.0	56.0	regular	#ED872D
596.0	bottom.122	501.65	591.69	29.0	5668	7.00553269468	14.0	56.0	regular	#3B7A57
596.0	right.128	584.22	504.95	32.0	5916	1.15444281585	3.0	56.0	regular	#FFA6C9
596.0	top.119	498.35	336.54	26.0	5801	6.59665143684	16.0	56.0	regular	#1C1CF0
596.0	top.120	498.35	367.93	29.0	5801	7.50650831883	16.0	56.0	regular	#1C1CF0
596.0	bottom.132	501.65	29.32	2.0	4878	0.5	2.0	56.0	regular	#F7E7CE
596.0	bottom.129	504.95	304.51	18.0	5668	1.6871826169	14.0	56.0	regular	#3B7A57
596.0	bottom.124	501.65	538.96	32.0	5668	8.04079471026	14.0	56.0	regular	#3B7A57
596.0	top.122	498.35	411.0	29.0	5801	7.53722941769	16.0	56.0	regular	#1C1CF0
596.0	top.129	495.05	697.47	17.0	5801	2.05651158726	16.0	56.0	regular	#1C1CF0
596.0	top.128	495.05	626.91	29.0	5801	4.1757115446	16.0	56.0	regular	#1C1CF0
596.0	right.120	26.64	501.65	6.0	5380	2.48928680747	4.0	56.0	regular	#E4D00A
596.0	left.132	10.79	498.35	6.0	5106	1.47846582387	4.0	56.0	regular	#480607
596.0	right.124	520.35	504.95	35.0	5944	0.0	1.0	56.0	regular	#E5AA70
596.0	bottom.119	501.65	660.97	27.0	5668	6.87909141762	14.0	56.0	regular	#3B7A57
596.0	bottom.126	504.56	494.48	34.0	5668	7.24796985779	14.0	56.0	regular	#3B7A57
596.0	top.130	498.35	805.97	8.0	5801	0.927297929066	16.0	56.0	regular	#1C1CF0
596.0	left.131	93.36	498.35	7.0	5106	1.15563569226	4.0	56.0	regular	#480607
596.0	right.127	541.36	504.95	35.0	5942	0.0	1.0	56.0	regular	#4D5D53
596.0	bottom.123	501.65	563.33	32.0	5668	7.77641613968	14.0	56.0	regular	#3B7A57
596.0	top.123	498.35	435.88	32.0	5801	8.16884437455	16.0	56.0	regular	#1C1CF0
596.0	right.129	710.39	504.95	7.0	5916	0.0	3.0	56.0	regular	#FFA6C9
