step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	size_distribution	modularity	com_modularity	iterations	iteration_modularities	weighted_com_modularity	speed_avg	speed_std	speed_avg_std	avgSpeed_avg	avgSpeed_std	avgSpeed_avg_std
0	182	3651	0	182	40.120880126953125	0,0,0,0,1,1,0,0,1,0,1,1,4,1,0,0,1,3,0,1,0,1,3,1,3,3,0,1,1,2,2,1,1,0,5,3,3,0,7,1,5,2,1,10,20,16,16,18,21,11,6,3,	11.0	0.7611333084064142	1	182.0	182	0	182.0	182	1.0	1	121	1	121	0.0	0,182,	0.0	-0.005898137564094174	1	-0.005898137564094174,	-0.00591877782265311	10.2856045	10.492699	0.0	0.0	0.0	0.0
1	182	3642	0	182	40.021976470947266	0,0,0,1,0,1,0,1,0,0,1,3,2,0,1,1,1,0,3,0,0,0,4,1,3,3,1,1,0,2,2,1,1,4,2,3,1,2,4,4,5,0,4,10,16,21,17,19,10,16,8,2,	11.0	0.7599357116662112	1	182.0	182	0	182.0	15	12.133333	46	127	1	125	16.101759	0,3,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,	0.0	0.3832101291871842	1	0.3832101291871842,	0.5595053293914138	21.519989	13.082738	0.8281251	0.0	0.0	0.0
2	182	3641	0	182	40.010990142822266	0,0,0,1,1,0,1,0,0,1,2,2,0,2,1,1,0,0,2,1,0,1,1,3,2,3,1,3,0,2,2,0,3,0,3,3,2,2,4,2,5,3,6,8,17,17,21,9,20,16,4,4,	11.0	0.7588002698596503	1	182.0	182	0	182.0	11	16.545454	46	110	2	10	17.403238	0,0,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,	0.0	0.39408549416714234	1	0.39408549416714234,	0.5782123726754727	22.59583	13.640862	1.3299038	0.0	0.0	0.0
3	181	3633	0	181	40.143646240234375	0,0,0,1,1,0,1,0,0,1,3,0,1,2,0,1,0,0,2,0,1,1,3,1,3,0,3,1,1,4,1,1,2,0,2,4,3,4,0,1,7,2,6,14,12,22,12,17,15,13,10,0,2,	11.0	0.7596059434104984	1	181.0	181	0	181.0	10	18.1	46	110	2	10	17.67264	0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,	0.0	0.3981099562236826	1	0.3981099562236826,	0.5832208104821837	21.69183	13.967923	1.147961	0.0	0.0	0.0
4	181	3657	0	181	40.40884017944336	0,0,0,1,0,1,0,0,1,2,0,1,2,0,1,0,1,0,1,0,1,2,3,2,2,1,0,1,2,2,5,0,0,2,2,3,4,4,0,3,4,3,5,10,20,17,15,20,14,10,12,1,	11.0	0.7603007230079617	1	181.0	181	0	181.0	11	16.454546	47	110	1	182	17.676899	0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,	0.0	0.3924370603714812	1	0.3924370603714812,	0.33064885706715974	22.696802	13.645305	1.0392785	0.0	0.0	0.0
5	180	3625	0	180	40.27777862548828	0,0,0,1,1,0,0,1,2,0,2,0,1,0,1,2,0,0,0,0,2,1,3,2,0,3,0,2,0,2,3,3,1,2,3,2,4,1,4,2,1,2,7,17,17,16,15,13,14,19,7,1,	11.0	0.759574091601309	1	180.0	180	0	180.0	10	18.0	46	110	2	10	17.333334	0,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,	0.0	0.39366723424494665	1	0.39366723424494665,	0.5835067374800547	21.322443	13.773633	1.5026063	0.0	0.0	0.0
6	179	3607	0	179	40.30167770385742	0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,1,2,0,0,0,2,1,2,0,3,0,4,1,1,3,1,2,5,2,3,2,0,3,2,4,1,10,13,16,19,10,21,13,16,6,1,	11.0	0.7600075603159432	1	179.0	179	0	179.0	9	19.88889	46	110	3	30	17.294828	0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,	0.0	0.3936655837165959	1	0.3936655837165959,	0.5825083974022771	19.818186	13.745344	2.003349	0.0	0.0	0.0
7	181	3624	0	181	40.04419708251953	0,0,0,0,1,0,2,1,2,0,1,0,0,1,4,0,0,0,2,0,0,2,0,2,1,1,0,0,5,2,2,2,2,3,6,1,4,0,2,2,0,6,9,14,14,17,20,19,10,13,8,	11.0	0.7612635137710265	1	181.0	181	0	181.0	10	18.1	46	110	1	183	17.502064	0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,	0.0	0.3942867774439718	1	0.3942867774439718,	0.04970976697991958	21.542368	13.899601	1.4660182	0.0	0.0	0.0
8	180	3595	0	180	39.94444274902344	0,0,0,0,1,0,2,2,1,0,1,0,2,1,3,0,1,0,0,0,0,2,2,1,0,2,0,1,1,3,3,2,1,7,2,2,6,0,1,2,1,6,7,15,12,16,18,17,12,19,3,0,2,	11.0	0.7616912305372003	1	180.0	180	0	180.0	9	20.0	47	110	1	185	16.867128	0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,	0.0	0.38814823555355243	1	0.38814823555355243,	0.29460656902479987	19.969389	13.872886	1.9712617	0.0	0.0	0.0
9	179	3589	0	179	40.10055923461914	0,0,0,0,0,3,1,0,1,0,1,1,1,2,1,1,0,1,0,0,1,2,0,1,1,3,1,0,2,1,1,3,0,7,4,4,1,1,3,3,4,4,6,15,9,19,20,12,18,9,7,4,	11.0	0.7636990126683203	1	179.0	179	0	179.0	8	22.375	47	110	7	126	16.335217	0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,	0.0	0.3915867894850067	1	0.3915867894850067,	0.5798688450070978	18.097301	13.587295	2.5231445	0.0	0.0	0.0
10	179	3589	0	179	40.10055923461914	0,0,0,0,0,3,1,1,1,0,0,2,3,1,0,0,0,0,0,1,1,2,0,1,0,3,2,0,2,1,1,2,2,4,3,7,0,1,1,4,6,6,8,10,9,18,26,12,11,12,6,5,	11.0	0.7654504623132373	1	179.0	179	0	179.0	8	22.375	48	110	7	126	16.517847	0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,	0.0	0.39223522914238823	1	0.39223522914238823,	0.5768979791577102	17.940538	13.525881	2.7917886	0.0	0.0	0.0
11	179	3606	0	179	40.290504455566406	0,0,0,0,0,3,2,1,0,0,0,3,2,0,1,0,0,1,0,0,0,0,0,3,0,2,2,1,3,1,0,1,4,2,4,5,2,0,3,4,4,5,7,8,18,18,18,17,16,4,11,1,2,	11.0	0.7695160960862145	1	179.0	179	0	179.0	10	17.9	49	110	1	187	17.31698	0,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,	0.0	0.38875326880170447	1	0.38875326880170447,	0.05037399380832508	21.63996	13.885564	1.527031	0.0	0.0	0.0
12	180	3676	0	180	40.844444274902344	0,0,0,0,2,2,0,1,0,0,1,4,0,0,1,0,0,0,1,0,0,0,0,1,1,2,3,1,2,2,1,0,2,3,4,6,2,0,1,2,7,0,4,12,19,19,20,9,19,16,8,0,2,	11.0	0.7669297765779836	1	180.0	180	0	180.0	12	15.0	49	110	1	188	16.846905	0,3,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.37975468912251453	1	0.37975468912251453,	0.06051013614217418	23.348022	13.386966	1.075059	0.0	0.0	0.0
13	180	3684	0	180	40.93333435058594	0,0,0,0,2,2,0,0,1,0,1,3,0,2,0,0,0,0,0,0,1,1,0,1,0,1,2,3,0,4,2,0,1,4,2,4,4,1,1,4,2,3,6,8,21,20,17,10,22,10,7,7,	11.0	0.7667267581682223	1	180.0	180	0	180.0	10	18.0	48	110	1	191	16.852299	0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,	0.0	0.3839688543703971	1	0.3839688543703971,	0.5823944059972189	21.129278	13.724059	1.3510271	0.0	0.0	0.0
14	179	3657	0	179	40.86033630371094	0,0,0,2,0,2,0,1,0,2,1,1,0,1,0,0,1,0,1,0,0,0,2,0,2,1,1,1,3,1,0,2,4,0,6,2,2,1,3,4,2,5,0,12,23,21,11,19,10,12,13,4,	11.0	0.7647912721730791	1	179.0	179	0	179.0	12	14.916667	48	110	1	193	16.511475	0,1,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.3788605488300163	1	0.3788605488300163,	0.5802856032129071	22.32165	12.892304	1.3697095	0.0	0.0	0.0
15	180	3664	0	180	40.71111297607422	0,0,0,1,0,3,0,0,1,3,0,1,0,0,1,0,0,0,2,0,0,1,1,4,1,0,0,2,1,2,0,1,3,0,8,1,2,2,2,3,7,1,7,11,20,17,16,14,12,16,10,1,2,	11.0	0.7646666738376812	1	180.0	180	0	180.0	14	12.857142	49	110	1	194	16.152433	0,3,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.3758169150807573	1	0.3758169150807573,	0.3529161153626288	23.718279	12.415118	1.2112565	0.0	0.0	0.0
16	180	3664	0	180	40.71111297607422	0,0,0,1,2,0,0,2,1,2,1,0,1,0,0,0,1,0,0,0,0,2,2,2,1,1,3,0,1,0,0,4,3,1,4,3,1,1,3,2,4,4,7,15,17,14,19,11,16,12,11,5,	11.0	0.7647474882397695	1	180.0	180	0	180.0	12	15.0	50	110	2	1	17.029387	0,0,3,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.38047870165996067	1	0.38047870165996067,	0.5731129262685863	22.428299	12.746678	1.574028	0.0	0.0	0.0
17	179	3663	0	179	40.92737579345703	0,0,0,2,0,0,0,1,4,0,1,1,0,0,0,1,0,0,0,0,1,0,2,3,1,1,3,1,0,0,2,2,4,2,3,0,1,2,3,3,5,4,5,17,13,16,19,13,17,9,9,6,2,	11.0	0.7679249183619743	1	179.0	179	0	179.0	13	13.769231	58	110	1	1	17.06924	0,2,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.328977589010349	1	0.328977589010349,	0.5077477927677352	20.62345	12.88299	1.6377326	0.0	0.0	0.0
18	177	3614	0	177	40.836158752441406	0,0,0,2,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,1,1,0,1,1,4,1,0,1,3,1,1,4,1,1,3,1,3,1,5,2,2,10,2,9,12,21,15,17,17,9,11,5,1,	11.0	0.7689691919891815	1	177.0	177	0	177.0	11	16.09091	68	110	1	191	21.187046	0,1,2,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.3497118443340767	1	0.3497118443340767,	0.5578235383608344	22.778978	12.887362	1.553838	0.0	0.0	0.0
19	178	3638	0	178	40.87640380859375	0,0,0,1,0,1,0,0,3,1,2,1,0,1,0,0,0,1,0,0,0,3,0,0,2,3,0,1,4,0,4,2,1,1,2,3,0,2,6,1,3,7,2,8,16,14,26,20,12,5,8,10,1,	11.0	0.7658211432401827	1	178.0	178	0	178.0	12	14.833333	75	110	1	198	22.626747	0,2,3,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.3488152740557572	1	0.3488152740557572,	0.14615504368015886	24.423918	12.365605	0.9040151	0.0	0.0	0.0
20	177	3626	0	177	40.97175216674805	0,0,0,0,0,1,1,0,2,1,2,1,1,0,0,1,0,0,0,1,0,1,1,3,0,1,1,1,3,3,3,1,2,2,3,0,1,4,1,2,5,6,1,9,12,15,28,19,15,9,9,5,	10.0	0.7665106913094147	1	177.0	177	0	177.0	9	19.666666	76	110	2	126	24.919872	0,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.35292259373301066	1	0.35292259373301066,	0.5665408805652277	22.803188	13.432661	1.1501344	0.0	0.0	0.0
21	177	3619	0	177	40.89265441894531	0,0,0,0,0,0,2,0,3,1,1,1,1,1,0,0,1,0,0,0,1,0,3,1,0,1,1,3,0,3,4,2,1,1,4,2,2,2,0,3,2,7,4,9,7,19,21,23,16,15,7,2,	10.0	0.7674078132496971	1	177.0	177	0	177.0	9	19.666666	76	110	2	126	24.919872	0,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.3540773072881978	1	0.3540773072881978,	0.5655001827661815	22.6681	13.343421	1.314031	0.0	0.0	0.0
22	178	3642	0	178	40.921348571777344	0,0,0,0,0,0,2,2,0,2,1,1,1,1,1,0,0,0,0,0,0,1,1,3,0,1,1,1,3,1,5,3,2,0,2,2,1,4,2,3,1,4,5,6,10,25,15,21,22,15,7,	10.0	0.7672035160287065	1	178.0	178	0	178.0	10	17.8	77	110	1	199	24.598103	0,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.3507031426933503	1	0.3507031426933503,	0.09247564726615665	23.74878	12.977791	1.1988158	0.0	0.0	0.0
23	177	3617	0	177	40.87005615234375	0,0,0,0,0,0,1,3,1,0,2,1,1,1,1,0,0,0,0,1,0,0,3,0,1,0,4,1,1,4,1,1,2,1,4,2,4,1,3,6,0,3,3,6,16,15,16,20,22,16,9,	10.0	0.7680337656779512	1	177.0	177	0	177.0	9	19.666666	77	110	2	126	25.169426	0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.34854298684314833	1	0.34854298684314833,	0.5633404269919443	21.94422	12.825912	1.5169485	0.0	0.0	0.0
