step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	size_distribution	modularity	com_modularity	iterations	iteration_modularities	weighted_com_modularity	speed_avg	speed_std	speed_avg_std	avgSpeed_avg	avgSpeed_std	avgSpeed_avg_std
0	182	3651	0	182	40.120880126953125	0,0,0,0,1,1,0,0,1,0,1,1,4,1,0,0,1,3,0,1,0,1,3,1,3,3,0,1,1,2,2,1,1,0,5,3,3,0,7,1,5,2,1,10,20,16,16,18,21,11,6,3,	11.0	0.7611333084064142	1	182.0	182	0	182.0	182	1.0	1	120	1	120	0.0	0,182,	0.0	-0.005898137564094175	1	-0.005898137564094175,	-0.005918777822653111	10.2856045	10.492699	0.0	0.0	0.0	0.0
1	182	3642	0	182	40.021976470947266	0,0,0,1,0,1,0,1,0,0,1,3,2,0,1,1,1,0,3,0,0,0,4,1,3,3,1,1,0,2,2,1,1,4,2,3,1,2,4,4,5,0,4,10,16,21,17,19,10,16,8,2,	11.0	0.7599357116662112	1	182.0	182	0	182.0	29	6.275862	33	103	1	83	8.871691	0,14,3,1,1,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,	0.0	0.27802117796492865	1	0.27802117796492865,	0.2923103737605789	11.430828	10.044051	2.5430171	0.0	0.0	0.0
2	182	3641	0	182	40.010990142822266	0,0,0,1,1,0,1,0,0,1,2,2,0,2,1,1,0,0,2,1,0,1,1,3,2,3,1,3,0,2,2,0,3,0,3,3,2,2,4,2,5,3,6,8,17,17,21,9,20,16,4,4,	11.0	0.7588002698596503	1	182.0	182	0	182.0	8	22.75	51	103	3	58	19.315058	0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,	0.0	0.4821089515701318	1	0.4821089515701318,	0.5475117160869181	15.278499	11.183165	6.1107326	0.0	0.0	0.0
3	181	3633	0	181	40.143646240234375	0,0,0,1,1,0,1,0,0,1,3,0,1,2,0,1,0,0,2,0,1,1,3,1,3,0,3,1,1,4,1,1,2,0,2,4,3,4,0,1,7,2,6,14,12,22,12,17,15,13,10,0,2,	11.0	0.7596059434104984	1	181.0	181	0	181.0	7	25.857143	57	103	3	67	21.72885	0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,	0.0	0.4941157413437047	1	0.4941157413437047,	0.5376610196306691	16.453724	10.932624	6.7956715	0.0	0.0	0.0
4	181	3657	0	181	40.40884017944336	0,0,0,1,0,1,0,0,1,2,0,1,2,0,1,0,1,0,1,0,1,2,3,2,2,1,0,1,2,2,5,0,0,2,2,3,4,4,0,3,4,3,5,10,20,17,15,20,14,10,12,1,	11.0	0.7603007230079617	1	181.0	181	0	181.0	8	22.625	58	103	1	67	22.971643	0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,	0.0	0.5024898963626158	1	0.5024898963626158,	0.10401521914999651	18.81118	11.701793	5.001643	0.0	0.0	0.0
5	180	3625	0	180	40.27777862548828	0,0,0,1,1,0,0,1,2,0,2,0,1,0,1,2,0,0,0,0,2,1,3,2,0,3,0,2,0,2,3,3,1,2,3,2,4,1,4,2,1,2,7,17,17,16,15,13,14,19,7,1,	11.0	0.759574091601309	1	180.0	180	0	180.0	5	36.0	57	103	8	132	18.788294	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,	0.0	0.5175963472057075	1	0.5175963472057075,	0.5549949068301651	13.065512	9.566881	8.089425	0.0	0.0	0.0
6	179	3607	0	179	40.30167770385742	0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,1,2,0,0,0,2,1,2,0,3,0,4,1,1,3,1,2,5,2,3,2,0,3,2,4,1,10,13,16,19,10,21,13,16,6,1,	11.0	0.7600075603159432	1	179.0	179	0	179.0	5	35.8	58	103	6	132	20.104725	0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,	0.0	0.5148622080606133	1	0.5148622080606133,	0.5660865551608523	13.050349	9.300544	8.058047	0.0	0.0	0.0
7	181	3624	0	181	40.04419708251953	0,0,0,0,1,0,2,1,2,0,1,0,0,1,4,0,0,0,2,0,0,2,0,2,1,1,0,0,5,2,2,2,2,3,6,1,4,0,2,2,0,6,9,14,14,17,20,19,10,13,8,	11.0	0.7612635137710265	1	181.0	181	0	181.0	7	25.857143	57	103	1	184	23.511902	0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,	0.0	0.5097351967993606	1	0.5097351967993606,	0.08001102677621111	18.849718	12.617015	5.628321	0.0	0.0	0.0
8	180	3595	0	180	39.94444274902344	0,0,0,0,1,0,2,2,1,0,1,0,2,1,3,0,1,0,0,0,0,2,2,1,0,2,0,1,1,3,3,2,1,7,2,2,6,0,1,2,1,6,7,15,12,16,18,17,12,19,3,0,2,	11.0	0.7616912305372003	1	180.0	180	0	180.0	6	30.0	56	103	1	185	22.144978	0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,	0.0	0.5115383558914501	1	0.5115383558914501,	0.2333678267135658	16.681149	12.104074	6.575573	0.0	0.0	0.0
9	179	3589	0	179	40.10055923461914	0,0,0,0,0,3,1,0,1,0,1,1,1,2,1,1,0,1,0,0,1,2,0,1,1,3,1,0,2,1,1,3,0,7,4,4,1,1,3,3,4,4,6,15,9,19,20,12,18,9,7,4,	11.0	0.7636990126683203	1	179.0	179	0	179.0	5	35.8	60	103	6	132	20.141996	0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.5133282006775758	1	0.5133282006775758,	0.5669020755326158	13.387562	10.018232	7.7441125	0.0	0.0	0.0
