step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
582.0	from1.116	2865.98	-4.95	6.0	775	1.0	12.0	218.0	regular	#4B3621
582.0	from0.19	19637.31	-4.95	4.0	114	1.0	2.0	7.0	regular	#E5AA70
582.0	from1.115	3126.49	-4.95	9.0	775	1.0	12.0	218.0	regular	#4B3621
582.0	from3.115	16762.31	4.95	10.0	784	1.0	15.0	90.0	regular	#00BFFF
582.0	from0.115	3276.12	-4.95	11.0	775	1.0	12.0	218.0	regular	#4B3621
582.0	from2.115	16934.6	4.95	9.0	784	1.0	15.0	90.0	regular	#00BFFF
582.0	from0.22	19853.48	-4.95	3.0	252	1.0	2.0	7.0	regular	#F64A8A
582.0	from1.22	19898.26	-4.95	2.0	252	1.0	2.0	7.0	regular	#F64A8A
582.0	from0.116	3365.19	-4.95	9.0	775	1.0	12.0	218.0	regular	#4B3621
582.0	from0.117	2660.52	-4.95	7.0	800	1.0	4.0	218.0	regular	#C95A49
582.0	from1.27	18356.99	-4.95	7.0	240	1.0	7.0	90.0	regular	#EEDC82
582.0	from0.27	18401.42	-4.95	5.0	240	1.0	7.0	90.0	regular	#EEDC82
582.0	from0.30	18293.51	-4.95	6.0	240	1.0	7.0	90.0	regular	#EEDC82
582.0	from1.26	18524.22	-4.95	6.0	240	1.0	7.0	90.0	regular	#EEDC82
582.0	from1.25	19195.44	-4.95	8.0	160	1.0	5.0	90.0	regular	#FFFAF0
582.0	from0.23	19107.3	-4.95	6.0	160	1.0	5.0	90.0	regular	#FFFAF0
582.0	from1.21	19126.99	-1.65	8.0	160	1.0	5.0	90.0	regular	#FFFAF0
582.0	from1.112	3802.62	-4.95	4.0	775	1.0	12.0	218.0	regular	#4B3621
582.0	from0.25	19311.24	-4.95	6.0	160	1.0	5.0	90.0	regular	#FFFAF0
582.0	from1.23	19257.31	-4.95	7.0	160	1.0	5.0	90.0	regular	#FFFAF0
582.0	from0.112	3399.36	-4.95	9.0	775	1.0	12.0	218.0	regular	#4B3621
582.0	from2.114	16701.02	4.95	10.0	784	1.0	15.0	90.0	regular	#00BFFF
582.0	from1.24	18753.47	-4.95	7.0	240	1.0	7.0	90.0	regular	#EEDC82
582.0	from0.24	18672.38	-4.95	6.0	240	1.0	7.0	90.0	regular	#EEDC82
582.0	from0.26	18898.08	-4.95	6.0	240	1.0	7.0	90.0	regular	#EEDC82
582.0	from1.130	754.25	-1.65	9.0	845	1.0	8.0	218.0	regular	#85BB65
582.0	from1.131	658.91	-1.65	9.0	845	1.0	8.0	218.0	regular	#85BB65
582.0	from3.131	19251.85	1.65	7.0	864	1.0	3.0	90.0	regular	#CCFF00
582.0	from3.117	16984.19	4.95	7.0	784	1.0	15.0	90.0	regular	#00BFFF
582.0	from2.129	19563.25	4.95	3.0	865	1.0	3.0	7.0	regular	#BF00FF
582.0	from3.130	19006.82	1.65	8.0	852	1.0	6.0	90.0	regular	#555D50
582.0	from0.130	752.47	-4.95	9.0	845	1.0	8.0	218.0	regular	#85BB65
582.0	from2.130	19669.83	4.95	5.0	865	1.0	3.0	7.0	regular	#BF00FF
582.0	from3.119	17187.29	4.95	8.0	784	1.0	15.0	90.0	regular	#00BFFF
582.0	from2.23	1230.14	4.95	8.0	82	1.0	3.0	218.0	regular	#C74375
582.0	from1.110	4655.02	-4.95	7.0	687	1.0	11.0	218.0	regular	#21ABCD
582.0	from0.111	4011.81	-4.95	6.0	766	1.0	1.0	218.0	regular	#BD33A4
582.0	from1.111	4451.72	-1.65	8.0	752	1.0	7.0	218.0	regular	#964B00
582.0	from2.26	1056.02	4.95	7.0	82	1.0	3.0	218.0	regular	#C74375
582.0	from2.27	1134.06	4.95	7.0	82	1.0	3.0	218.0	regular	#C74375
582.0	from2.29	1344.54	4.95	7.0	2	1.0	7.0	218.0	regular	#966FD6
582.0	from1.29	17747.99	-1.65	9.0	223	1.0	10.0	90.0	regular	#008000
582.0	from0.31	17659.54	-4.95	7.0	223	1.0	10.0	90.0	regular	#008000
582.0	from1.33	17628.88	-4.95	9.0	223	1.0	10.0	90.0	regular	#008000
582.0	from0.28	17916.04	-4.95	9.0	223	1.0	10.0	90.0	regular	#008000
