step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
240.0	from3.5	3944.65	4.95	10.0	124	0.5	56.0	165.0	regular	#483D8B
240.0	from0.19	13057.06	-4.95	7.0	64	0.95	81.0	134.0	regular	#D1BEA8
240.0	from2.0	3789.61	4.95	9.0	380	0.9	17.0	165.0	regular	#EFBBCC
240.0	from3.1	3881.99	4.95	8.0	380	0.85	17.0	165.0	regular	#EFBBCC
240.0	from3.2	3772.35	1.65	10.0	380	0.9	17.0	165.0	regular	#EFBBCC
240.0	from3.4	3888.69	1.65	8.0	380	0.85	17.0	165.0	regular	#EFBBCC
240.0	from0.22	13274.11	-4.95	10.0	64	0.9	81.0	134.0	regular	#D1BEA8
240.0	from1.22	13315.98	-4.95	9.0	64	0.9	81.0	134.0	regular	#D1BEA8
240.0	from2.2	4049.1	4.95	10.0	124	0.5	56.0	165.0	regular	#483D8B
240.0	from2.3	4129.01	4.95	8.0	124	0.55	56.0	165.0	regular	#483D8B
240.0	from1.27	11781.92	-4.95	8.0	31	0.7	53.0	134.0	regular	#008B8B
240.0	from0.27	11819.58	-4.95	7.0	31	0.7	53.0	134.0	regular	#008B8B
240.0	from0.30	11714.69	-4.95	8.0	31	0.7	53.0	134.0	regular	#008B8B
240.0	from1.26	11944.12	-4.95	7.0	31	0.65	53.0	134.0	regular	#008B8B
240.0	from1.25	12620.23	-4.95	6.0	31	0.4	53.0	134.0	regular	#008B8B
240.0	from0.23	12527.71	-4.95	6.0	31	0.45	53.0	134.0	regular	#008B8B
240.0	from1.21	12546.96	-1.65	7.0	31	0.45	53.0	134.0	regular	#008B8B
240.0	from3.0	3338.65	4.95	6.0	380	0.95	17.0	165.0	regular	#EFBBCC
240.0	from0.25	12733.57	-4.95	5.0	64	0.9	81.0	134.0	regular	#D1BEA8
240.0	from1.23	12678.81	-4.95	6.0	31	0.4	53.0	134.0	regular	#008B8B
240.0	from2.1	3366.74	4.95	6.0	380	0.95	17.0	165.0	regular	#EFBBCC
240.0	from2.4	3578.88	4.95	5.0	380	0.95	17.0	165.0	regular	#EFBBCC
240.0	from1.24	12175.38	-4.95	7.0	31	0.55	53.0	134.0	regular	#008B8B
240.0	from0.24	12089.52	-4.95	7.0	31	0.6	53.0	134.0	regular	#008B8B
240.0	from0.26	12314.37	-4.95	7.0	31	0.5	53.0	134.0	regular	#008B8B
240.0	from1.20	13590.08	-1.65	11.0	64	0.85	81.0	134.0	regular	#D1BEA8
240.0	from0.17	13464.97	-4.95	12.0	64	0.85	81.0	134.0	regular	#D1BEA8
240.0	from1.19	13444.97	-1.65	12.0	64	0.85	81.0	134.0	regular	#D1BEA8
240.0	from3.3	4172.77	4.95	6.0	124	0.55	56.0	165.0	regular	#483D8B
240.0	from0.16	13745.52	-4.95	8.0	64	0.8	81.0	134.0	regular	#D1BEA8
240.0	from0.20	13595.26	-4.95	11.0	64	0.85	81.0	134.0	regular	#D1BEA8
240.0	from1.17	13500.09	-4.95	11.0	64	0.85	81.0	134.0	regular	#D1BEA8
240.0	from1.18	13626.08	-4.95	13.0	64	0.85	81.0	134.0	regular	#D1BEA8
240.0	from2.6	4441.07	4.95	6.0	124	0.65	56.0	165.0	regular	#483D8B
240.0	from2.23	7804.74	4.95	7.0	45	0.95	33.0	165.0	regular	#A0785A
