step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
480.0	from1.116	904.15	-4.95	8.0	784	0.85	12.0	282.0	regular	#E4717A
480.0	from0.19	17674.35	-4.95	6.0	215	1.0	2.0	173.0	regular	#E5AA70
480.0	from1.115	1163.58	-4.95	10.0	784	0.95	12.0	282.0	regular	#E4717A
480.0	from3.115	18724.51	4.95	7.0	786	1.0	10.0	173.0	regular	#592720
480.0	from0.115	1314.14	-4.95	10.0	784	0.95	12.0	282.0	regular	#E4717A
480.0	from2.115	18897.29	4.95	12.0	786	0.95	10.0	173.0	regular	#592720
480.0	from0.22	17889.58	-4.95	7.0	105	0.95	10.0	173.0	regular	#D473D4
480.0	from1.22	17935.96	-4.95	8.0	105	0.95	10.0	173.0	regular	#D473D4
480.0	from0.116	1403.02	-4.95	8.0	784	0.95	12.0	282.0	regular	#E4717A
480.0	from0.117	698.93	-4.95	11.0	801	0.95	3.0	282.0	regular	#707070
480.0	from1.27	16396.88	-4.95	8.0	192	0.95	7.0	173.0	regular	#EEDC82
480.0	from0.27	16439.12	-4.95	8.0	192	0.95	7.0	173.0	regular	#EEDC82
480.0	from0.30	16331.66	-4.95	7.0	192	0.9	7.0	173.0	regular	#EEDC82
480.0	from1.26	16560.63	-4.95	8.0	192	1.0	7.0	173.0	regular	#EEDC82
480.0	from1.25	17233.19	-4.95	8.0	234	0.95	5.0	173.0	regular	#FF004F
480.0	from0.23	17146.17	-4.95	8.0	234	0.95	5.0	173.0	regular	#FF004F
480.0	from1.21	17163.85	-1.65	9.0	234	0.95	5.0	173.0	regular	#FF004F
480.0	from1.112	1841.4	-4.95	3.0	784	0.8	12.0	282.0	regular	#E4717A
480.0	from0.25	17348.83	-4.95	7.0	234	0.95	5.0	173.0	regular	#FF004F
480.0	from1.23	17293.98	-4.95	9.0	234	1.0	5.0	173.0	regular	#FF004F
480.0	from0.112	1436.48	-4.95	9.0	784	0.95	12.0	282.0	regular	#E4717A
480.0	from2.114	18661.94	4.95	5.0	786	0.95	10.0	173.0	regular	#592720
480.0	from1.24	16792.32	-4.95	6.0	192	0.9	7.0	173.0	regular	#EEDC82
480.0	from0.24	16708.68	-4.95	7.0	192	0.95	7.0	173.0	regular	#EEDC82
480.0	from0.26	16933.2	-4.95	7.0	192	0.85	7.0	173.0	regular	#EEDC82
480.0	from1.20	18207.76	-1.65	9.0	105	0.95	10.0	173.0	regular	#D473D4
480.0	from0.17	18079.86	-4.95	11.0	105	0.95	10.0	173.0	regular	#D473D4
480.0	from1.19	18061.96	-1.65	12.0	105	1.0	10.0	173.0	regular	#D473D4
480.0	from3.117	18946.17	4.95	11.0	786	0.9	10.0	173.0	regular	#592720
480.0	from0.16	18365.99	-4.95	7.0	105	0.9	10.0	173.0	regular	#D473D4
480.0	from0.20	18211.83	-4.95	9.0	105	0.95	10.0	173.0	regular	#D473D4
480.0	from1.17	18119.7	-4.95	10.0	105	0.95	10.0	173.0	regular	#D473D4
480.0	from1.18	18243.84	-4.95	10.0	105	0.95	10.0	173.0	regular	#D473D4
480.0	from3.119	19150.62	1.65	12.0	786	0.85	10.0	173.0	regular	#592720
480.0	from2.23	3191.72	4.95	9.0	19	1.0	3.0	282.0	regular	#AC1E44
480.0	from1.110	2693.13	-4.95	8.0	743	0.95	4.0	282.0	regular	#1974D2
480.0	from0.111	2051.23	-4.95	4.0	85	0.8	10.0	282.0	regular	#E4D00A
480.0	from1.111	2489.82	-1.65	10.0	763	0.95	7.0	282.0	regular	#DEB887
480.0	from2.26	3017.52	4.95	7.0	19	0.95	3.0	282.0	regular	#AC1E44
480.0	from2.27	3098.66	4.95	8.0	19	0.95	3.0	282.0	regular	#AC1E44
480.0	from2.29	3306.99	4.95	9.0	75	0.9	7.0	282.0	regular	#FFFDD0
480.0	from1.29	15785.48	-1.65	12.0	143	0.95	15.0	173.0	regular	#967117
480.0	from0.31	15699.25	-4.95	10.0	143	0.95	15.0	173.0	regular	#967117
480.0	from1.33	15666.21	-4.95	12.0	143	0.95	15.0	173.0	regular	#967117
480.0	from0.28	15953.3	-4.95	10.0	143	0.95	15.0	173.0	regular	#967117
480.0	from0.29	15792.58	-4.95	12.0	143	1.0	15.0	173.0	regular	#967117
480.0	from1.30	15923.58	-4.95	11.0	143	0.95	15.0	173.0	regular	#967117
480.0	from1.34	15735.81	-4.95	12.0	143	0.95	15.0	173.0	regular	#967117
480.0	from1.28	16048.36	-4.95	7.0	143	0.9	15.0	173.0	regular	#967117
480.0	from1.31	15994.46	-4.95	9.0	143	0.9	15.0	173.0	regular	#967117
480.0	from3.14	679.43	1.65	11.0	6	0.95	16.0	282.0	regular	#CCFF00
480.0	from0.15	18951.84	-4.95	12.0	256	0.9	13.0	173.0	regular	#00FF00
480.0	from1.12	18985.41	-4.95	11.0	256	0.9	13.0	173.0	regular	#00FF00
480.0	from0.13	19032.42	-4.95	12.0	256	0.95	13.0	173.0	regular	#00FF00
