	step	com_id	timeMeanSpeed_mean	timeMeanSpeed_std	timeMeanSpeed_amin	timeMeanSpeed_amax	com_size	degree_mean	degree_std	degree_amin	degree_amax	num_stops	num_stops_mean	num_stops_amin	num_stops_amax	y_amin	y_amax	x_amin	x_amax	speed_mean	speed_std	speed_amin	speed_amax	congested	range	num_stops_count
0	0	0	19.44		19.44	19.44	1	0.0		0	0	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
1	1	1	19.12		19.12	19.12	1	1.0		1	1	0	0.0	0	0	8126.55	8126.55	16234.49	16234.49	18.8		18.8	18.8	0	0.0	0.0
2	1	2	19.44		19.44	19.44	1	1.0		1	1	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
3	2	1	19.155	0.3606244584049579	18.9	19.41	2	1.0	0.0	1	1	0	0.0	0	0	8110.51	8123.65	16214.92	16236.16	18.924999999999997	0.643467170879827	18.47	19.38	0	24.97593241502658	24.97593241502658
4	3	1	19.07	0.15556349186124743	18.96	19.18	2	2.0	0.0	2	2	0	0.0	0	0	8098.1	8107.35	16200.38	16216.31	18.925	0.2757716446627704	18.73	19.12	0	18.420841457436445	18.420841457436445
5	3	3	19.44		19.44	19.44	1	2.0		2	2	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
6	4	1	19.133333333333336	0.2702468007825261	18.93	19.44	3	3.0	0.0	3	3	0	0.0	0	0	8085.87	8126.15	16186.06	16234.01	18.94333333333333	0.4410593308540097	18.57	19.43	0	62.62332552651647	62.62332552651647
7	4	4	19.44		19.44	19.44	1	3.0		3	3	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
8	5	1	19.08	0.2004993765577963	18.83	19.32	4	3.0	0.0	3	3	0	0.0	0	0	8073.98	8124.08	16172.14	16236.69	18.865	0.46429157505475105	18.3	19.36	0	81.71115284953565	81.71115284953565
9	6	1	19.0525	0.21561926320902033	18.82	19.34	4	3.0	0.0	3	3	0	0.0	0	0	8061.79	8107.61	16157.87	16216.6	18.93	0.3561834733206029	18.55	19.38	0	74.48949791749118	74.48949791749118
10	7	1	18.9675	0.1532699144211366	18.76	19.11	4	4.0	0.0	4	4	0	0.0	0	0	8050.23	8095.24	16143.6	16202.12	18.5625	0.3585503218982388	18.22	19.04	0	73.82743731161248	73.82743731161248
11	7	5	19.44		19.44	19.44	1	4.0		4	4	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
12	8	1	19.018	0.1592796283268198	18.79	19.18	5	5.0	0.0	5	5	0	0.0	0	0	8038.72	8126.47	16128.43	16234.4	19.046	0.24905822612366746	18.73	19.4	0	137.58525865804032	137.58525865804032
