step	node_id	x	y	degree	com_id	com_score	com_size	link_id	speed	avg_speed	num_stops	is_originator	dynamism	timeMeanSpeed	maxHistoryRecords	timeMeanSpeed.count
0	2.0	16248.69	8138.77	1	0	0	1	56640729#0_0	19.44	0	0	1	0	19.44	-1	1
0	3.0	16250.9	8136.32	1	1	0	1	56640729#0_1	19.44	0	0	1	0	19.44	-1	1
1	2.0	16234.45	8126.51	1	1	0.3	2	56640729#0_0	18.85	0	0	0	-0.29	19.15	-1	2
1	3.0	16236.59	8124	1	1	1	2	56640729#0_1	18.83	0	0	1	-0.31	19.13	-1	2
2	2.0	16215.01	8110.59	1	1	1	2	56640729#1_0	18.3	0	0	0	-0.28	18.86	-1	3
2	3.0	16216.24	8107.3	1	1	0.95	2	56640729#1_1	19.36	0	0	1	0.07	19.21	-1	3
3	2.0	16200.27	8098.01	1	1	1	2	56640729#1_0	19.38	0	0	1	0.13	18.99	-1	4
3	3.0	16201.76	8094.93	1	1	1.04	2	56640729#1_1	19.04	0	0	0	-0.04	19.17	-1	4
4	2.0	16186.42	8086.17	1	1	1	2	56640729#1_0	18.22	0	0	1	-0.15	18.84	-1	5
4	3.0	16187.86	8083.06	1	1	1.01	2	56640729#1_1	18.29	0	0	0	-0.18	18.99	-1	5
5	2.0	16172.17	8074.01	1	1	0.97	2	56640729#1_0	18.73	0	0	1	-0.02	18.82	-1	6
5	3.0	16173.11	8070.46	1	1	1	2	56640729#1_1	19.4	0	0	0	0.07	19.06	-1	6
6	2.0	16157.52	8061.49	1	1	1.02	2	56640729#1_0	19.27	0	0	1	0.06	18.88	-1	7
6	3.0	16158.74	8058.18	1	1	1	2	56640729#1_1	18.91	0	0	0	-0.02	19.04	-1	7
7	2.0	16142.56	8049.44	3	1	0	2	56640729#1_0	19.22	0	0	1	0.04	18.93	-1	8
7	3.0	16143.81	8046.24	3	1	0.67	2	56640729#1_1	19.13	0	0	0	0.01	19.05	-1	8
7	2.1	16248.69	8138.77	3	2	0	1	56640729#0_0	19.44	0	0	1	0	19.44	-1	1
7	3.1	16250.9	8136.32	3	3	0	1	56640729#0_1	19.44	0	0	1	0	19.44	-1	1
8	2.0	16127.69	8038.16	3	1	1.31	3	56640729#1_0	18.66	0	0	0	-0.03	18.9	-1	9
8	3.0	16129.31	8035.25	3	2	0.66	1	56640729#1_1	18.19	0	0	1	-0.1	18.95	-1	9
8	2.1	16234.67	8126.69	3	1	0.66	3	56640729#0_0	18.57	0	0	0	-0.43	19.01	-1	2
8	3.1	16236.21	8123.69	3	1	1.3	3	56640729#0_1	19.32	0	0	1	-0.06	19.38	-1	2
9	2.0	16113.19	8027.16	3	1	1.98	4	56640729#1_0	18.2	0	0	0	-0.07	18.83	-1	10
9	3.0	16113.98	8023.62	3	1	1.97	4	56640729#1_1	19.24	0	0	1	0.03	18.98	-1	10
9	2.1	16214.93	8110.52	3	1	1.97	4	56640729#1_0	18.69	0	0	0	-0.11	18.9	-1	3
9	3.1	16216.3	8107.35	3	1	2.01	4	56640729#1_1	18.8	0	0	1	-0.19	19.19	-1	3
10	2.0	16098.66	8016.14	3	1	1.99	4	56640729#1_0	18.23	0	0	0	-0.12	18.71	-1	10
10	3.0	16098.82	8012.12	3	1	2.01	4	56640729#1_1	19.03	0	0	0	-0.04	18.94	-1	10
10	2.1	16200.43	8098.14	3	1	1.97	4	56640729#1_0	19.08	0	0	0	0.04	18.94	-1	4
10	3.1	16201.69	8094.87	3	1	1.97	4	56640729#1_1	19.21	0	0	1	0.01	19.19	-1	4
11	2.0	16083.4	8004.54	3	1	1.98	4	56640729#1_0	19.17	0	0	0	0.03	18.74	-1	10
11	3.0	16084.09	8000.92	3	1	2	4	56640729#1_1	18.5	0	0	0	-0.03	18.91	-1	10
11	2.1	16185.73	8085.58	3	1	1.97	4	56640729#1_0	19.33	0	0	1	0.08	19.02	-1	5
11	3.1	16186.96	8082.29	3	1	1.96	4	56640729#1_1	19.38	0	0	0	0.04	19.23	-1	5
12	2.0	16068.65	7993.27	3	1	1.98	4	56640729#1_0	18.56	0	0	0	0.03	18.76	-1	10
12	3.0	16069.17	7989.52	3	1	1.99	4	56640729#1_1	18.77	0	0	0	-0.06	18.85	-1	10
12	2.1	16171.23	8073.2	3	1	1.97	4	56640729#1_0	19.06	0	0	1	0.01	19.03	-1	6
12	3.1	16172.78	8070.18	3	1	1.98	4	56640729#1_1	18.64	0	0	0	-0.1	19.13	-1	6
13	2.0	16053.84	7981.97	3	1	1.98	4	56640729#1_0	18.63	0	0	0	-0.07	18.69	-1	10
13	3.0	16054.46	7978.29	3	1	1.97	4	56640729#1_1	18.52	0	0	1	-0.05	18.8	-1	10
13	2.1	16156.55	8060.67	3	1	1.98	4	56640729#1_0	19.3	0	0	0	0.04	19.07	-1	7
13	3.1	16158.49	8057.97	3	1	1.99	4	56640729#1_1	18.8	0	0	0	-0.05	19.08	-1	7
14	2.0	16038.82	7970.49	5	1	2.36	4	56640729#1_0	18.91	0	0	0	0.07	18.76	-1	10
14	3.0	16039.49	7966.85	5	1	0.01	4	56640729#1_1	18.83	0	0	1	0.05	18.85	-1	10
14	2.1	16142.38	8049.3	5	1	0.02	4	56640729#1_0	18.18	0	0	0	-0.11	18.96	-1	8
