	step	com_id	timeMeanSpeed_mean	timeMeanSpeed_std	timeMeanSpeed_amin	timeMeanSpeed_amax	com_size	degree_mean	degree_std	degree_amin	degree_amax	num_stops	num_stops_mean	num_stops_amin	num_stops_amax	y_amin	y_amax	x_amin	x_amax	speed_mean	speed_std	speed_amin	speed_amax	congested	range	num_stops_count
0	0	0	19.44		19.44	19.44	1	1.0		1	1	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
1	0	1	19.44		19.44	19.44	1	1.0		1	1	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
2	1	1	19.14	0.014142135621955968	19.13	19.15	2	1.0	0.0	1	1	0	0.0	0	0	8124.0	8126.51	16234.45	16236.59	18.84	0.014142135621955968	18.83	18.85	0	3.2984390247507385	3.2984390247507385
3	2	1	19.035	0.24748737341523652	18.86	19.21	2	1.0	0.0	1	1	0	0.0	0	0	8107.3	8110.59	16215.01	16216.24	18.83	0.7495331880578576	18.3	19.36	0	3.5124065823874497	3.5124065823874497
4	3	1	19.08	0.12727922061368147	18.99	19.17	2	1.0	0.0	1	1	0	0.0	0	0	8094.93	8098.01	16200.27	16201.76	19.21	0.240416305603279	19.04	19.38	0	3.4214762895567317	3.4214762895567317
5	4	1	18.915	0.10606601717753195	18.84	18.99	2	1.0	0.0	1	1	0	0.0	0	0	8083.06	8086.17	16186.42	16187.86	18.255	0.049497474683736345	18.22	18.29	0	3.427200023342587	3.427200023342587
6	5	1	18.939999999999998	0.16970562748524357	18.82	19.06	2	1.0	0.0	1	1	0	0.0	0	0	8070.46	8074.01	16172.17	16173.11	19.064999999999998	0.4737615433951565	18.73	19.4	0	3.672342576612679	3.672342576612679
7	6	1	18.96	0.11313708498921334	18.88	19.04	2	1.0	0.0	1	1	0	0.0	0	0	8058.18	8061.49	16157.52	16158.74	19.09	0.25455844122736293	18.91	19.27	0	3.527676289003149	3.527676289003149
8	7	1	18.990000000000002	0.08485281374111449	18.93	19.05	2	3.0	0.0	3	3	0	0.0	0	0	8046.24	8049.44	16142.56	16143.81	19.174999999999997	0.06363961030773393	19.13	19.22	0	3.4354766772602074	3.4354766772602074
9	7	2	19.44		19.44	19.44	1	3.0		3	3	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
