step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
180.0	_h5_4339	38205.29	30881.42	0.0	51610	0.0	1.0	1.0	regular	#707070
180.0	_h5_4338	19598.93	21638.46	2.0	173	2.0	20.0	22.0	regular	#D2691E
180.0	_h5_4310	19621.61	21631.6	2.0	173	2.0	20.0	22.0	regular	#D2691E
180.0	_h6_202	17082.92	15836.54	14.0	260	14.0	161.0	134.0	regular	#FF8C00
180.0	_h5_4448	28416.95	26430.33	3.0	72	3.0	31.0	21.0	regular	#E0B582
180.0	_h5_3792	28607.62	26433.29	5.0	72	5.0	31.0	21.0	regular	#E0B582
180.0	_h5_4347	28120.5	26398.16	6.0	72	6.0	31.0	21.0	regular	#E0B582
180.0	_h5_4324	28325.74	26423.97	4.0	72	4.0	31.0	21.0	regular	#E0B582
180.0	_h5_4333	26102.81	23261.54	9.0	25	9.0	61.0	43.0	regular	#6F4E37
180.0	_h5_4365	26081.44	23296.94	10.0	25	10.0	61.0	43.0	regular	#6F4E37
180.0	_h5_4332	26271.96	24982.14	3.0	25	3.0	61.0	43.0	regular	#6F4E37
180.0	_h5_4209	26297.71	24674.57	4.0	25	4.0	61.0	43.0	regular	#6F4E37
180.0	_h5_4280	26278.46	24938.65	4.0	25	4.0	61.0	43.0	regular	#6F4E37
180.0	_h5_4302	26380.94	25795.78	6.0	3	5.0	26.0	30.0	regular	#FF7F50
180.0	_h5_4331	16902.62	24565.09	1.0	121	1.0	38.0	11.0	regular	#008B8B
180.0	_h5_3941	22218.57	27560.86	7.0	183	7.0	8.0	8.0	regular	#A0785A
180.0	_h5_4116	22003.97	27483.02	4.0	183	4.0	8.0	8.0	regular	#A0785A
180.0	_h5_4631	21044.13	24483.38	3.0	2601	3.0	4.0	4.0	regular	#FAEBD7
180.0	_h5_3684	18717.2	24228.43	0.0	51588	0.0	1.0	1.0	regular	#707070
180.0	_h5_4330	32603.1	21782.05	2.0	95	2.0	3.0	13.0	regular	#E48400
180.0	_h5_4669	37152.53	16856.26	0.0	51789	0.0	1.0	1.0	regular	#707070
180.0	_h5_4337	15856.55	24720.88	3.0	121	3.0	38.0	10.0	regular	#008B8B
180.0	_h5_3594	15903.8	24705.39	3.0	121	3.0	38.0	10.0	regular	#008B8B
180.0	_h5_4036	18718.05	21651.8	3.0	456	3.0	6.0	22.0	regular	#1B4D3E
180.0	_h6_783	44070.26	32177.29	6.0	75	6.0	119.0	8.0	regular	#FFFDD0
180.0	_h5_4362	20041.26	21791.36	2.0	40	2.0	22.0	6.0	regular	#0047AB
180.0	_h5_4378	15635.23	24805.56	5.0	121	5.0	38.0	10.0	regular	#008B8B
180.0	_h5_4336	26167.23	24107.52	8.0	25	8.0	61.0	43.0	regular	#6F4E37
180.0	_h5_3703	19078.4	21116.45	3.0	31	3.0	42.0	11.0	regular	#3F00FF
180.0	_h5_3818	22808.38	16363.26	8.0	20	8.0	18.0	26.0	regular	#98817B
180.0	_h5_3819	22585.59	15707.08	6.0	1215	6.0	10.0	26.0	regular	#006B3C
180.0	_h5_4049	27205.97	23204.13	1.0	4	1.0	12.0	4.0	regular	#AA381E
180.0	_h5_4360	26138.82	23954.28	5.0	25	5.0	61.0	43.0	regular	#6F4E37
180.0	_h5_4487	26177.85	24144.0	8.0	25	8.0	61.0	43.0	regular	#6F4E37
180.0	_h5_3849	19570.67	19704.6	5.0	31	5.0	42.0	26.0	regular	#3F00FF
180.0	_h5_3860	19601.45	19560.61	7.0	31	7.0	42.0	26.0	regular	#3F00FF
180.0	_h5_4335	28770.09	26406.98	4.0	72	4.0	31.0	21.0	regular	#E0B582
180.0	_h5_4128	25478.61	25087.88	10.0	25	10.0	61.0	30.0	regular	#6F4E37
180.0	_h5_4334	23764.75	23692.91	7.0	52	7.0	35.0	19.0	regular	#856088
180.0	_h5_4308	23471.86	24046.0	5.0	52	5.0	35.0	6.0	regular	#856088
180.0	_h5_4724	19408.98	20093.68	6.0	31	6.0	42.0	26.0	regular	#3F00FF
180.0	_h5_3731	15107.03	12805.47	0.0	51599	0.0	1.0	1.0	regular	#707070
180.0	_h5_4715	19122.11	18169.33	1.0	31	1.0	42.0	2.0	regular	#3F00FF
180.0	_h5_4730	20463.66	19130.99	3.0	19	3.0	44.0	26.0	regular	#E4D00A
180.0	_h5_4725	24321.39	19051.88	8.0	54	8.0	56.0	65.0	regular	#FF003F
180.0	_h5_4743	24238.38	18984.9	8.0	54	8.0	56.0	65.0	regular	#FF003F
180.0	_h5_4689	33524.63	20805.27	5.0	229	5.0	13.0	7.0	regular	#00FFFF
180.0	_h5_4134	33310.52	20970.87	3.0	229	3.0	13.0	7.0	regular	#00FFFF
180.0	_h5_4688	26685.12	27698.28	0.0	51581	0.0	1.0	1.0	regular	#707070
