step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
600.0	_h6_2236	26870.52	32967.01	0.0	362201	1.0	1.0	1.0	regular	#707070
600.0	_h5_4338	22387.25	23102.95	22.0	74466	0.8	82.0	61.0	regular	#00308F
600.0	_h5_4310	22398.64	23073.36	22.0	74466	0.8	82.0	61.0	regular	#00308F
600.0	_h6_202	24219.35	18284.86	6.0	92186	0.65	52.0	61.0	regular	#D70A53
600.0	_h5_4448	19955.37	19450.22	14.0	165568	0.75	222.0	919.0	regular	#00B7EB
600.0	_h5_3792	24173.09	23901.5	20.0	74466	-1.25	82.0	21.0	regular	#00308F
600.0	_h5_4347	22685.59	25579.08	2.0	346726	0.9	4.0	4.0	regular	#CD7F32
600.0	_h5_4324	19835.2	19550.22	19.0	165568	0.8	222.0	919.0	regular	#00B7EB
600.0	_h5_4333	19693.77	17841.35	21.0	165568	0.85	222.0	919.0	regular	#00B7EB
600.0	_h5_4365	19706.4	17881.22	23.0	165568	0.85	222.0	919.0	regular	#00B7EB
600.0	_h5_4332	21814.21	19523.84	5.0	282549	0.05	11.0	6.0	regular	#C19A6B
600.0	_h5_4209	22147.8	15037.28	7.0	310105	0.4	65.0	106.0	regular	#1DACD6
600.0	_h5_4280	19743.91	18791.7	12.0	165568	0.9	222.0	919.0	regular	#00B7EB
600.0	_h6_1462	36935.31	27470.13	15.0	227226	0.6	109.0	919.0	regular	#568203
600.0	_h6_2133	42559.69	29200.81	0.0	362301	1.0	1.0	1.0	regular	#707070
600.0	_h6_1307	22678.57	25571.34	2.0	346726	0.9	4.0	4.0	regular	#CD7F32
600.0	_h6_1222	35246.92	26703.83	13.0	121761	0.7	73.0	919.0	regular	#FF0800
600.0	_h5_4631	23254.23	21274.89	3.0	66120	0.2	65.0	120.0	regular	#8B008B
600.0	_h6_1549	20445.99	11257.8	1.0	297972	-1.4	2.0	2.0	regular	#E5AA70
600.0	_h5_4330	32110.95	26319.23	24.0	64821	0.65	206.0	919.0	regular	#C154C1
600.0	_h6_1265	26081.51	23286.16	25.0	51	0.3	165.0	919.0	regular	#03C03C
