step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
40.0	_h5_4339	35971.94	30837.16	1.0	8583	1.0	2.0	2.0	regular	#F5F5DC
40.0	_h5_4338	18733.86	21647.51	4.0	258	0.9	27.0	12.0	regular	#664423
40.0	_h5_4310	18742.73	21654.09	3.0	13293	1.0	1.0	12.0	regular	#9EFD38
40.0	_h6_202	14632.68	13176.46	11.0	13185	1.0	1.0	39.0	regular	#D473D4
40.0	_h5_4448	33207.14	26615.54	3.0	155	0.9	10.0	10.0	regular	#4F7942
40.0	_h5_3792	33268.14	26629.86	3.0	155	0.85	10.0	10.0	regular	#4F7942
40.0	_h5_4347	32916.48	26559.8	6.0	155	0.95	10.0	10.0	regular	#4F7942
40.0	_h5_4324	33095.93	26597.51	4.0	155	0.9	10.0	10.0	regular	#4F7942
40.0	_h5_4333	29068.91	22795.82	2.0	408	0.95	3.0	3.0	regular	#FF2800
40.0	_h5_4365	29257.04	22777.24	1.0	408	1.0	3.0	3.0	regular	#FF2800
40.0	_h5_4332	30188.83	25952.91	5.0	49	0.9	20.0	18.0	regular	#F88379
40.0	_h5_4209	29969.89	26054.98	6.0	49	0.95	20.0	18.0	regular	#F88379
40.0	_h5_4280	30148.16	25969.13	5.0	49	0.95	20.0	18.0	regular	#F88379
40.0	_h5_4302	30438.86	25876.94	1.0	49	0.85	20.0	18.0	regular	#F88379
40.0	_h5_4331	18362.79	26624.69	1.0	12283	0.9	3.0	3.0	regular	#96C8A2
40.0	_h5_3941	20347.89	26413.76	1.0	208	0.9	4.0	4.0	regular	#F7E7CE
40.0	_h5_4116	19873.99	26556.89	0.0	13149	1.0	1.0	1.0	regular	#707070
40.0	_h5_4631	19346.36	25617.1	0.0	13202	1.0	1.0	1.0	regular	#707070
40.0	_h5_3684	18136.5	26496.27	2.0	12283	0.95	3.0	3.0	regular	#96C8A2
40.0	_h5_4330	35168.65	19742.02	1.0	12031	1.0	3.0	3.0	regular	#873260
40.0	_h5_4669	35362.14	18253.69	1.0	136	0.9	6.0	6.0	regular	#00FFFF
40.0	_h5_4337	19159.47	22451.36	6.0	258	0.85	27.0	8.0	regular	#664423
40.0	_h5_3594	19148.66	22340.61	3.0	258	0.85	27.0	8.0	regular	#664423
40.0	_h5_4036	19206.11	21957.3	7.0	258	1.0	27.0	12.0	regular	#664423
40.0	_h5_4068	19182.32	22721.1	5.0	258	0.85	27.0	8.0	regular	#664423
40.0	_h5_4362	19218.36	21980.88	7.0	258	0.95	27.0	12.0	regular	#664423
40.0	_h5_4378	19186.94	22734.38	4.0	258	0.85	27.0	8.0	regular	#664423
40.0	_h5_4336	24830.51	19772.12	4.0	177	0.95	7.0	22.0	regular	#0087BD
40.0	_h5_3703	22892.37	18692.12	5.0	130	0.95	24.0	27.0	regular	#08457E
40.0	_h5_3818	23198.92	18651.73	6.0	59	0.4	5.0	27.0	regular	#8B008B
40.0	_h5_3819	22729.99	18755.99	8.0	130	0.95	24.0	27.0	regular	#08457E
40.0	_h5_4049	24948.45	20020.04	5.0	177	0.95	7.0	22.0	regular	#0087BD
40.0	_h5_4360	24727.93	19565.54	3.0	177	0.9	7.0	22.0	regular	#0087BD
40.0	_h5_4487	24848.99	19811.88	4.0	177	0.95	7.0	22.0	regular	#0087BD
40.0	_h5_3849	23381.8	18658.5	4.0	59	0.45	5.0	27.0	regular	#8B008B
40.0	_h5_3860	23238.33	18648.11	6.0	59	0.45	5.0	27.0	regular	#8B008B
