	('step', '')	('com_id', '')	('x', 'amin')	('x', 'amax')	('com_size', 'size')	('degree', 'mean')	('degree', 'std')	('degree', 'amin')	('degree', 'amax')	('num_stops', 'sum')	('num_stops', 'mean')	('num_stops', 'amin')	('num_stops', 'amax')	('y', 'amin')	('y', 'amax')	('avg_speed', 'mean')	('avg_speed', 'std')	('avg_speed', 'amin')	('avg_speed', 'amax')	('speed', 'mean')	('speed', 'std')	('speed', 'amin')	('speed', 'amax')	('congested', 'sum')	('range', '')	('num_stops_count', '')
0	0	0	1326.5	1326.5	1	0.0		0	0	0	0.0	0	0	902.89	902.89	60.67		60.67	60.67	60.71		60.71	60.71	0	0.0	0
1	0	1	2808.37	2808.37	1	0.0		0	0	0	0.0	0	0	1753.5	1753.5	61.58		61.58	61.58	49.94		49.94	49.94	0	0.0	0
901	10	16	873.5	1157.63	5	10.6	0.8944271909999159	10	12	1	0.2	0	1	2943.48	3140.96	39.178	12.295528455499577	27.3	53.22	23.682	21.79478079724593	0.0	51.61	0	346.01764015726144	0
902	10	53	2012.04	2102.19	3	2.3333333333333335	0.5773502691896257	2	3	2	0.6666666666666666	0	1	226.5	446.5	35.74	11.3943977462611	26.8	48.57	18.650000000000002	31.62965222698473	0.0	55.17	0	237.75412194113483	0
903	10	60	653.5	994.17	5	5.0	1.8708286933869707	3	8	2	0.4	0	1	2413.5	2674.03	39.032	10.150077339606836	24.38	48.42	22.372	21.437469999979008	0.0	45.92	0	428.8728597148578	0
904	10	66	213.5	436.5	3	3.0	1.7320508075688772	2	5	0	0.0	0	0	3343.77	3395.22	53.43666666666667	5.19155403837175	47.54	57.32	53.44	5.185875046701467	47.55	57.32	0	228.85825853571458	0
905	10	96	1705.22	2206.5	6	4.0	1.0954451150103321	2	5	2	0.3333333333333333	0	1	3001.23	3293.5	33.23166666666666	7.544193572984924	23.19	40.34	16.301666666666666	18.375515684373777	0.0	46.2	0	580.2614852805586	0
906	10	119	3933.43	4197.12	6	6.666666666666667	1.505545305418162	5	9	3	0.5	0	1	2260.38	2426.5	35.230000000000004	6.62368477510816	27.99	43.46	19.246666666666666	25.00985059264982	0.0	53.49	0	311.65408789232976	0
907	10	129	3938.15	4406.5	11	8.454545454545455	1.8090680674665818	6	12	3	0.2727272727272727	0	1	1715.49	2139.41	41.25545454545454	9.911576427225286	23.91	52.45	31.59454545454545	23.440715587898065	0.0	52.19	0	631.7118717421731	0
908	10	134	216.5	1140.32	11	6.454545454545454	1.572490786213793	4	9	1	0.09090909090909091	0	1	1739.89	2277.98	41.10454545454546	10.13024813480533	20.02	53.34	32.906363636363636	20.15131374016458	0.0	58.69	0	1069.1044104763575	0
909	10	155	886.5	1326.5	7	7.142857142857143	3.132015933791495	3	11	0	0.0	0	0	3076.5	3507.12	45.18428571428571	10.993093069654956	27.53	56.95	43.048571428571414	17.207574328931866	14.62	56.98	0	615.6570347198186	0
910	10	157	1316.5	1355.84	3	4.0	2.0	2	6	1	0.3333333333333333	0	1	2611.14	2866.5	38.24333333333333	8.184414049480536	32.6	47.63	23.786666666666665	24.782050628092367	0.25	49.65	0	258.3725318217865	0
911	10	159	3743.5	3966.5	7	7.428571428571429	2.878491668515698	3	11	0	0.0	0	0	1282.82	1746.64	42.702857142857134	6.62020320505279	32.71	49.0	34.85142857142857	15.846859235162269	12.3	50.7	0	514.6435585917695	0
912	10	184	3073.5	3306.5	6	4.0	1.2649110640673518	3	6	1	0.16666666666666666	0	1	2672.63	3134.85	38.598333333333336	8.483905743622232	27.35	49.9	21.755	18.18775714594848	0.0	49.9	0	517.6256643560091	0
913	10	199	883.5	957.7	3	7.0	1.7320508075688772	5	8	1	0.3333333333333333	0	1	2643.5	2812.73	35.34666666666667	11.696590671359466	25.51	48.28	23.276666666666667	24.325308494104107	0.0	48.53	0	184.78212278248137	0
914	10	204	2423.5	2866.5	11	8.272727272727273	1.8488325554743508	6	12	6	0.5454545454545454	0	1	2731.95	3293.5	35.48636363636364	11.703256190246584	20.93	52.36	16.58454545454546	21.274447754823793	0.0	51.71	0	715.253383424364	0
915	10	214	3296.5	3557.58	4	4.75	1.5	3	6	1	0.25	0	1	663.5	804.61	45.412499999999994	7.245483075682434	34.75	50.94	36.3525	24.2535693249468	0.73	52.62	0	296.7739855512945	0
916	10	246	2457.27	2866.5	4	4.75	1.2583057392117916	3	6	2	0.5	0	1	883.5	1247.32	36.7525	15.200733260822215	23.27	58.41	15.692499999999999	28.54040688217321	0.0	58.41	0	547.5711691643379	0
917	10	259	3272.96	4006.17	11	5.909090909090909	1.6403990645294488	3	8	0	0.0	0	0	3491.0	3966.5	43.77454545454545	10.208027589731895	25.44	58.08	39.46818181818182	19.03443081270454	2.18	58.08	0	873.8976794224825	0
918	10	266	857.54	1040.1	3	3.3333333333333335	0.5773502691896257	3	4	1	0.3333333333333333	0	1	3736.5	3761.97	36.73	14.576731458046416	22.74	51.83	14.149999999999999	18.556699598797195	0.0	35.16	0	184.32817066308658	0
919	10	274	1533.5	1924.17	7	4.428571428571429	0.9759000729485332	3	6	0	0.0	0	0	553.11	1056.86	42.184285714285714	10.13745835526647	22.6	51.06	47.61000000000001	7.69148880256612	36.3	54.49	0	637.4849891566074	0
920	10	306	2426.5	2762.62	2	5.0	1.4142135623730951	4	6	0	0.0	0	0	3271.43	3303.5	54.885000000000005	7.686250711497711	49.45	60.32	58.155	3.429467888754559	55.73	60.58	0	337.6464708833782	0
921	10	326	443.5	883.5	8	6.875	1.9594095320493148	4	9	1	0.125	0	1	1313.5	1546.5	45.98875000000001	12.384633840253057	20.93	61.36	38.651250000000005	23.628564697053797	0.0	61.49	0	497.8845247645281	0
922	10	328	2559.57	3547.14	16	6.6875	1.5370426148939398	4	10	3	0.1875	0	1	1364.07	1825.34	39.114375	10.895883607277234	24.78	56.62	30.62	20.25561815069258	0.0	57.84	0	1089.9837236399449	0
923	10	339	2203.5	2426.5	4	4.25	1.707825127659933	2	6	0	0.0	0	0	1505.03	1785.55	36.2075	13.05735137767228	22.23	52.56	21.1475	19.846101842259433	2.25	43.87	0	358.3580198628182	0
924	10	369	2991.3	3526.5	8	5.125	0.9910312089651149	4	6	0	0.0	0	0	2001.98	2557.62	44.75	10.405773122921449	23.17	55.85	32.86500000000001	22.6128869705497	2.38	58.21	0	771.475760863554	0
925	10	375	3953.5	4167.18	3	2.3333333333333335	0.5773502691896257	2	3	1	0.3333333333333333	0	1	282.75	528.81	44.21666666666667	15.317579225626101	26.82	55.68	33.70333333333333	29.190752531124197	0.0	50.96	0	325.8905736593191	0
926	10	378	1326.5	1501.32	3	2.6666666666666665	0.5773502691896257	2	3	0	0.0	0	0	3736.5	3953.5	39.333333333333336	4.136391341898524	35.6	43.78	25.963333333333335	28.28119221909383	4.58	58.03	0	278.6593483090061	0
927	10	380	3932.11	4406.5	7	6.714285714285714	1.3801311186847085	5	8	1	0.14285714285714285	0	1	2853.5	3073.5	44.34571428571429	11.017954827073298	25.95	54.06	39.42428571428571	18.854942638596434	0.0	54.9	0	522.920521781274	0
928	10	391	1480.98	1840.54	5	4.4	1.140175425099138	3	6	1	0.2	0	1	1323.5	1546.5	43.896	12.167971482543837	27.08	54.97	25.778	20.8406002792626	0.0	45.85	0	423.0985625123299	0
929	10	394	1905.18	2008.38	2	4.0	0.0	4	4	0	0.0	0	0	2426.5	2426.5	36.355000000000004	5.465935418571948	32.49	40.22	32.455	26.05688488672429	14.03	50.88	0	103.20000000000005	0
930	10	409	3615.22	3736.5	3	4.333333333333333	0.5773502691896257	4	5	1	0.3333333333333333	0	1	810.54	876.5	34.42	6.44083845473553	27.5	40.24	29.853333333333335	27.41004986010302	0.07	54.02	0	138.05636530055415	0
931	10	429	1037.6	1727.17	8	4.0	1.0690449676496976	3	6	2	0.25	0	1	1748.73	2196.5	44.22875	10.212004752810724	22.66	55.22	25.336250000000003	19.97423764860269	0.0	50.93	0	822.1950850011208	0
932	10	430	2271.93	2284.02	3	2.0	0.0	2	2	1	0.3333333333333333	0	1	3743.5	3966.5	33.843333333333334	5.467013200398625	28.78	39.64	4.096666666666667	3.623152402719672	0.0	6.88	0	223.32749069471944	0
933	10	451	213.5	242.94	5	4.6	1.51657508881031	3	6	2	0.4	0	1	1281.46	1699.97	42.294	13.206077388838846	24.39	53.87	30.670000000000005	26.771541793479134	0.43	52.33	0	419.5441975525344	0
934	10	473	2028.35	2196.5	3	4.666666666666667	0.5773502691896257	4	5	0	0.0	0	0	2048.36	2193.5	36.35666666666666	9.837918140202904	27.16	46.73	27.373333333333335	19.42865238078374	7.2	45.96	0	222.1261850840643	0
935	10	477	4403.5	4403.5	2	4.0	1.4142135623730951	3	5	0	0.0	0	0	1413.61	1480.13	53.935	2.3829498525985455	52.25	55.62	53.935	2.3829498525985455	52.25	55.62	0	66.52000000000021	0
936	10	484	682.71	712.33	2	7.0	0.0	7	7	1	0.5	0	1	1766.5	1766.5	38.91	12.558216433873097	30.03	47.79	20.314999999999998	22.903188642632276	4.12	36.51	0	29.620000000000005	0
937	10	541	2633.5	2633.5	1	6.0		6	6	0	0.0	0	0	1124.36	1124.36	49.86		49.86	49.86	42.98		42.98	42.98	0	0.0	0
938	10	565	1123.99	1546.5	5	4.6	0.8944271909999159	4	6	1	0.2	0	1	1046.5	1399.61	36.22	12.418915008969181	23.81	51.06	24.974	18.58001291711068	0.0	51.66	0	550.6372419297481	0
939	10	567	4393.5	4396.5	2	3.0	0.0	3	3	0	0.0	0	0	1202.19	1283.6	47.34	4.200214280248024	44.37	50.31	48.29	5.303300858899192	44.54	52.04	0	81.46525701180826	0
940	10	570	1093.5	1280.94	2	3.5	0.7071067811865476	3	4	1	0.5	0	1	873.5	941.69	36.625	9.708576105691314	29.76	43.49	22.325	31.572317779979347	0.0	44.65	0	199.45834076317797	0
941	10	588	2560.56	3083.5	7	5.714285714285714	1.2535663410560174	4	7	0	0.0	0	0	3526.5	3746.5	38.36142857142857	8.330699107460815	24.78	44.61	33.72142857142857	21.57857226399331	6.66	54.2	0	567.3325687813102	0
