	('step', '')	('com_id', '')	('x', 'amin')	('x', 'amax')	('com_size', 'size')	('degree', 'mean')	('degree', 'std')	('degree', 'amin')	('degree', 'amax')	('num_stops', 'sum')	('num_stops', 'mean')	('num_stops', 'amin')	('num_stops', 'amax')	('y', 'amin')	('y', 'amax')	('avg_speed', 'mean')	('avg_speed', 'std')	('avg_speed', 'amin')	('avg_speed', 'amax')	('speed', 'mean')	('speed', 'std')	('speed', 'amin')	('speed', 'amax')	('congested', 'sum')	('range', '')	('num_stops_count', '')
0	0	0	2808.37	2808.37	1	0.0		0	0	0	0.0	0	0	1753.5	1753.5	61.58		61.58	61.58	49.94		49.94	49.94	0	0.0	0
1	0	1	1326.5	1326.5	1	0.0		0	0	0	0.0	0	0	902.89	902.89	60.67		60.67	60.67	60.71		60.71	60.71	0	0.0	0
844	10	20	4393.5	4403.5	4	3.5	1.0	3	5	0	0.0	0	0	1202.19	1480.13	50.6375	4.719261065039696	44.37	55.62	51.1125	4.6786563242025165	44.54	55.62	0	278.11983676106246	0
845	10	28	873.5	1326.5	11	9.0	2.7202941017470885	3	12	1	0.09090909090909091	0	1	2943.48	3507.12	41.38454545454545	11.013335883043194	27.3	54.47	32.9790909090909	20.597452490318055	0.0	55.08	0	723.1175904374059	0
846	10	48	2012.04	2102.19	3	2.3333333333333335	0.5773502691896257	2	3	2	0.6666666666666666	0	1	226.5	446.5	35.74	11.3943977462611	26.8	48.57	18.650000000000002	31.62965222698473	0.0	55.17	0	237.75412194113483	0
847	10	72	1093.5	1973.5	7	4.428571428571429	1.2724180205607036	3	6	1	0.14285714285714285	0	1	873.5	1204.33	38.49142857142857	11.630919179169846	22.6	51.06	33.55714285714286	18.469974475966595	0.0	51.66	0	940.1321656554466	0
848	10	73	3938.15	4406.5	12	8.25	1.864744681524183	6	12	4	0.3333333333333333	0	1	1715.49	2139.41	39.53083333333333	11.180354083133615	20.56	52.45	28.961666666666662	24.13918385053018	0.0	52.19	0	631.7118717421731	0
849	10	100	213.5	216.5	2	2.0	0.0	2	2	0	0.0	0	0	3368.43	3395.22	51.495000000000005	5.593214639185528	47.54	55.45	51.5	5.586143571373719	47.55	55.45	0	26.957449805202238	0
850	10	110	1705.22	2206.5	7	4.142857142857143	1.0690449676496976	2	5	2	0.2857142857142857	0	1	2817.47	3293.5	35.23	8.682303841723126	23.19	47.22	20.720000000000002	20.44589608372953	0.0	47.23	0	691.2931355799797	0
851	10	139	3933.43	4197.12	6	6.666666666666667	1.505545305418162	5	9	3	0.5	0	1	2260.38	2426.5	35.230000000000004	6.62368477510816	27.99	43.46	19.246666666666666	25.00985059264982	0.0	53.49	0	311.65408789232976	0
852	10	140	3733.5	4406.5	8	6.5	1.4142135623730951	5	8	1	0.125	0	1	2853.5	3073.5	42.8575	11.035007605667628	25.95	54.06	39.71375	17.475474191399947	0.0	54.9	0	708.0459024667822	0
