step	node_id	x	y	degree	com_id	com_score	com_size	link_id	speed	avg_speed	num_stops	is_originator	dynamism	timeMeanSpeed	maxHistoryRecords	timeMeanSpeed.count
10	22504	3282.51	1976.5	23	72	1.09	5	651	0	-1	1	0	0	0	-1	10
10	12616	3281.7	1753.5	24	633	1.7	31	609	0	-1	1	0	-0.28	2.53	-1	10
10	33292	3293.5	1661.35	26	175	3.47	19	1413	0	-1	1	0	-0.03	18.01	-1	10
10	35928	1106.5	3411.55	10	1073	0	11	1754	49.13	-1	0	1	0.22	47.62	-1	8
10	22511	1223.28	1986.5	11	958	0	13	630	50.78	-1	0	0	1.58	39.75	-1	8
10	33079	3076.5	3010.2	28	1087	0	1	1651	47.53	-1	0	1	1.23	15.05	-1	10
10	42750	883.5	2766.85	17	673	0.43	1	1632	36.69	-1	0	0	-1.24	46.57	-1	9
10	26214	3083.5	1891	21	1106	1.89	3	1492	10.69	-1	1	1	0.51	0.79	-1	10
10	24559	3083.5	1815.97	31	633	0	31	1492	0	-1	1	0	0.51	0.79	-1	10
10	30236	3076.5	2034.32	23	175	0.75	19	1491	21.61	-1	0	0	-1.26	32.95	-1	10
10	44208	2866.5	4089.91	2	355	0.4	1	1890	52.62	-1	0	1	0	52.62	-1	9
10	30606	1412.97	3513.5	14	1073	0	11	929	47.83	-1	0	0	0.78	43.15	-1	7
10	43682	3252.36	2193.5	20	704	0.95	2	693	0	-1	1	0	-0.13	1.15	-1	10
10	36831	3252.73	2196.5	20	704	0	2	693	0	-1	1	0	-0.13	1.15	-1	10
10	41615	213.5	3487.65	2	1111	0.71	3	1705	47.4	-1	0	1	-0.65	52.72	-1	3
10	22016	3296.5	2024.22	23	333	1.07	3	1493	0.42	-1	1	1	-0.68	6.57	-1	10
10	40232	3306.5	1893.22	21	72	0.92	5	1494	13.29	-1	1	0	1.82	3.5	-1	10
10	37599	3303.5	1905.96	23	72	0.92	5	1494	26.41	-1	1	1	1.82	3.5	-1	10
10	35295	3306.5	2050.8	20	1106	0	3	1534	0	-1	1	0	-0.08	0.69	-1	10
10	39054	3306.5	2046.33	22	1106	0.96	3	1534	0	-1	1	0	-0.08	0.69	-1	10
10	38907	3357.19	1763.5	21	175	1.81	19	608	0	-1	1	0	-0.46	13.04	-1	10
10	38072	3398.38	1763.5	17	175	1.26	19	608	17.72	-1	0	0	-0.46	13.04	-1	10
10	43060	3484.13	1973.5	15	72	1.39	5	653	0	-1	1	0	-0.02	0.16	-1	10
10	21216	3507.65	1976.5	14	72	1.34	5	653	0	-1	1	0	-0.02	0.16	-1	10
10	40971	3377.78	2206.5	19	333	0	3	692	1.12	-1	0	0	-0.36	3.82	-1	10
