	('step', '')	('com_id', '')	('x', 'amin')	('x', 'amax')	('com_size', 'size')	('degree', 'mean')	('degree', 'std')	('degree', 'amin')	('degree', 'amax')	('num_stops', 'sum')	('num_stops', 'mean')	('num_stops', 'amin')	('num_stops', 'amax')	('y', 'amin')	('y', 'amax')	('avg_speed', 'mean')	('avg_speed', 'std')	('avg_speed', 'amin')	('avg_speed', 'amax')	('speed', 'mean')	('speed', 'std')	('speed', 'amin')	('speed', 'amax')	('congested', 'sum')	('range', '')	('num_stops_count', '')
0	0	0	1326.5	1326.5	1	0.0		0	0	0	0.0	0	0	1003.48	1003.48	60.5		60.5	60.5	56.26		56.26	56.26	0	0.0	0
532	10	97	4393.5	4396.5	2	2.5	0.7071067811865476	2	3	0	0.0	0	0	1113.13	1205.87	48.57	4.497199128346438	45.39	51.75	51.275	5.890199487284015	47.11	55.44	0	92.78851006455466	0
533	10	121	3513.5	3513.5	1	3.0		3	3	0	0.0	0	0	3847.59	3847.59	45.74		45.74	45.74	43.14		43.14	43.14	0	0.0	0
534	10	284	1546.5	1783.37	2	2.5	0.7071067811865476	2	3	1	0.5	0	1	1290.48	1323.5	44.989999999999995	9.02268252794038	38.61	51.37	25.85	36.55742058734451	0.0	51.7	0	239.1604425903246	0
535	10	294	443.5	883.5	3	4.666666666666667	1.1547005383792515	4	6	0	0.0	0	0	1500.98	1528.19	49.97	4.495675700047751	44.82	53.11	40.03	26.267942439407	9.79	57.19	0	440.84054271357576	0
536	10	309	3966.5	4406.5	4	2.75	0.9574271077563381	2	4	0	0.0	0	0	2974.56	3182.56	46.465	7.039983428010765	36.62	51.7	49.64750000000001	2.197640780473254	46.59	51.77	0	486.68675757616415	0
537	10	322	216.5	433.5	3	4.333333333333333	0.5773502691896257	4	5	0	0.0	0	0	1701.73	1792.65	40.21	6.339116657705583	35.91	47.49	47.43666666666667	4.630230375837988	42.78	52.04	0	235.27738182834324	0
538	10	324	2203.5	2229.48	3	2.0	0.0	2	2	0	0.0	0	0	3053.45	3148.51	36.806666666666665	1.4174742796021087	35.51	38.32	30.436666666666667	23.585856637682955	3.84	48.81	0	98.54625309975046	0
539	10	356	883.5	1133.28	7	3.5714285714285716	0.7867957924694432	2	4	1	0.14285714285714285	0	1	2957.77	3589.05	45.38	6.6850679378247895	37.36	55.79	34.75428571428571	19.60069799534603	0.0	52.63	0	678.899467373484	0
540	10	392	3743.5	3966.5	5	6.0	1.4142135623730951	5	8	0	0.0	0	0	1560.66	1839.25	41.68	6.493612245892071	36.76	50.66	40.68600000000001	15.339971642737773	21.25	56.47	0	356.8492512252197	0
541	10	393	560.5	841.93	4	2.75	0.5	2	3	0	0.0	0	0	2010.0	2361.14	40.735	6.5991135768374285	34.4	49.97	42.115	15.534963791396478	23.84	58.69	0	450.0023827714692	0
542	10	408	3953.5	4186.5	3	3.0	1.7320508075688772	2	5	0	0.0	0	0	3513.5	3618.48	49.00333333333333	12.903845680003101	34.17	57.64	51.16	3.8986664386684735	47.5	55.26	0	255.5578220285969	0
543	10	412	2426.5	2426.5	1	2.0		2	2	0	0.0	0	0	3369.1	3369.1	59.36		59.36	59.36	56.64		56.64	56.64	0	0.0	0
544	10	417	3736.5	3956.5	3	4.0	1.0	3	5	0	0.0	0	0	1313.5	1380.8	41.406666666666666	1.942738616832831	39.94	43.61	56.096666666666664	5.995717916424523	49.2	60.07	0	230.06366510164094	0
545	10	437	2856.5	3073.5	2	3.5	0.7071067811865476	3	4	0	0.0	0	0	1293.93	1338.38	46.96	4.582051942088761	43.72	50.2	33.505	17.24633439313989	21.31	45.7	0	221.5057617760766	0
546	10	450	4186.5	4406.5	3	2.6666666666666665	1.1547005383792515	2	4	0	0.0	0	0	2129.11	2340.59	42.43666666666667	6.6312919807028	36.04	49.28	33.74333333333333	11.374538818489892	25.55	46.73	0	305.1619085010447	0
547	10	453	2481.35	2636.5	2	2.0	0.0	2	2	0	0.0	0	0	3526.5	3561.88	41.175	5.52250396106695	37.27	45.08	40.445	20.202040738499658	26.16	54.73	0	159.13285927174198	0
548	10	457	4403.5	4406.5	3	5.333333333333333	1.1547005383792515	4	6	0	0.0	0	0	1412.07	1572.83	55.416666666666664	2.9702244584094344	52.35	58.28	54.70666666666667	2.150728558729134	52.25	56.25	0	160.78798960121367	0
549	10	465	3628.93	3746.5	4	4.0	1.1547005383792515	3	5	0	0.0	0	0	3576.68	3966.5	48.9725	3.9205218615213937	44.69	54.08	53.335	2.658928355559775	49.41	55.3	0	407.16377208685964	0
550	10	470	653.5	653.5	1	5.0		5	5	0	0.0	0	0	1671.48	1671.48	52.77		52.77	52.77	52.78		52.78	52.78	0	0.0	0
551	10	478	3083.5	3083.5	1	0.0		0	0	0	0.0	0	0	2551.95	2551.95	62.94		62.94	62.94	51.56		51.56	51.56	0	0.0	0
552	10	479	873.5	1106.5	3	2.6666666666666665	1.1547005383792515	2	4	1	0.3333333333333333	0	1	1779.35	1973.5	43.97666666666667	8.79653530279583	36.8	53.79	29.736666666666668	27.076141404072576	0.68	54.26	0	303.2873596113099	0
553	10	480	523.96	523.96	1	1.0		1	1	0	0.0	0	0	3953.5	3953.5	42.87		42.87	42.87	55.81		55.81	55.81	0	0.0	0
554	10	481	2578.04	2578.04	1	2.0		2	2	0	0.0	0	0	1106.5	1106.5	46.86		46.86	46.86	49.45		49.45	49.45	0	0.0	0
555	10	482	624.49	624.49	1	3.0		3	3	0	0.0	0	0	1313.5	1313.5	37.76		37.76	37.76	24.87		24.87	24.87	0	0.0	0
556	10	483	3076.5	3076.5	1	0.0		0	0	0	0.0	0	0	1783.55	1783.55	34.85		34.85	34.85	4.2		4.2	4.2	0	0.0	0
557	10	484	3349.99	3349.99	1	1.0		1	1	0	0.0	0	0	666.5	666.5	41.87		41.87	41.87	10.32		10.32	10.32	0	0.0	0
558	10	485	3516.5	3736.5	2	2.0	0.0	2	2	0	0.0	0	0	2458.5	2592.92	43.805	13.569379130969857	34.21	53.4	55.445	6.017478707897569	51.19	59.7	0	257.8153145179704	0
559	10	486	1326.5	1326.5	1	0.0		0	0	0	0.0	0	0	3923.28	3923.28	44.32		44.32	44.32	58.98		58.98	58.98	0	0.0	0
560	10	487	873.5	873.5	1	2.0		2	2	0	0.0	0	0	1261.73	1261.73	61.44		61.44	61.44	61.52		61.52	61.52	0	0.0	0
561	10	488	653.5	653.5	1	2.0		2	2	1	1.0	1	1	2584.48	2584.48	35.78		35.78	35.78	0.0		0.0	0.0	0	0.0	0
562	10	489	3083.5	3083.5	1	1.0		1	1	0	0.0	0	0	3659.98	3659.98	39.47		39.47	39.47	47.4		47.4	47.4	0	0.0	0
563	10	490	4173.5	4173.5	1	2.0		2	2	0	0.0	0	0	2326.93	2326.93	37.55		37.55	37.55	50.51		50.51	50.51	0	0.0	0
564	10	491	3293.5	3293.5	1	1.0		1	1	0	0.0	0	0	2096.33	2096.33	52.25		52.25	52.25	52.25		52.25	52.25	0	0.0	0
565	10	492	213.5	213.5	1	1.0		1	1	0	0.0	0	0	3315.97	3315.97	47.53		47.53	47.53	47.55		47.55	47.55	0	0.0	0
566	10	493	3306.5	3306.5	1	0.0		0	0	0	0.0	0	0	3218.02	3218.02	49.9		49.9	49.9	49.9		49.9	49.9	0	0.0	0
567	10	494	3327.28	3327.28	1	0.0		0	0	0	0.0	0	0	1106.5	1106.5	51.23		51.23	51.23	16.85		16.85	16.85	0	0.0	0
568	10	495	2663.03	2663.03	1	1.0		1	1	0	0.0	0	0	3073.5	3073.5	44.75		44.75	44.75	40.89		40.89	40.89	0	0.0	0
569	10	496	1596.54	1596.54	1	1.0		1	1	0	0.0	0	0	886.5	886.5	39.23		39.23	39.23	37.39		37.39	37.39	0	0.0	0
570	10	497	3179.7	3179.7	1	1.0		1	1	0	0.0	0	0	3746.5	3746.5	47.6		47.6	47.6	60.16		60.16	60.16	0	0.0	0
571	10	498	2866.5	2866.5	1	3.0		3	3	1	1.0	1	1	3065.98	3065.98	39.6		39.6	39.6	0.17		0.17	0.17	0	0.0	0
572	10	499	2866.5	2866.5	1	4.0		4	4	0	0.0	0	0	1078.09	1078.09	57.12		57.12	57.12	44.3		44.3	44.3	0	0.0	0
573	10	500	873.5	873.5	1	3.0		3	3	0	0.0	0	0	2597.89	2597.89	47.4		47.4	47.4	36.36		36.36	36.36	0	0.0	0
574	10	501	3953.5	3953.5	1	0.0		0	0	0	0.0	0	0	451.53	451.53	51.58		51.58	51.58	41.27		41.27	41.27	0	0.0	0
575	10	502	4396.5	4396.5	1	2.0		2	2	0	0.0	0	0	2879.19	2879.19	41.01		41.01	41.01	4.51		4.51	4.51	0	0.0	0
576	10	503	3296.5	3296.5	1	1.0		1	1	0	0.0	0	0	686.34	686.34	47.99		47.99	47.99	26.99		26.99	26.99	0	0.0	0
577	10	504	1756.5	1814.63	2	2.5	0.7071067811865476	2	3	0	0.0	0	0	1379.54	1543.5	37.11	4.992173875176988	33.58	40.64	9.825	9.425733393216674	3.16	16.49	0	173.95970366725746	0
578	10	505	1973.5	1973.5	1	1.0		1	1	0	0.0	0	0	1054.08	1054.08	33.69		33.69	33.69	53.97		53.97	53.97	0	0.0	0
579	10	506	4403.5	4403.5	1	5.0		5	5	0	0.0	0	0	1997.91	1997.91	49.95		49.95	49.95	50.66		50.66	50.66	0	0.0	0
580	10	507	2597.82	2597.82	1	0.0		0	0	1	1.0	1	1	1536.5	1536.5	35.4		35.4	35.4	0.39		0.39	0.39	0	0.0	0
581	10	508	1753.5	1753.5	1	2.0		2	2	0	0.0	0	0	2674.83	2674.83	51.23		51.23	51.23	41.9		41.9	41.9	0	0.0	0
582	10	509	1814.97	1814.97	1	1.0		1	1	0	0.0	0	0	666.5	666.5	36.45		36.45	36.45	5.92		5.92	5.92	0	0.0	0
583	10	510	1986.5	1986.5	1	2.0		2	2	0	0.0	0	0	2745.06	2745.06	33.65		33.65	33.65	57.89		57.89	57.89	0	0.0	0
584	10	511	3953.5	3953.5	1	0.0		0	0	0	0.0	0	0	1007.06	1007.06	58.31		58.31	58.31	59.02		59.02	59.02	0	0.0	0
585	10	512	4186.5	4186.5	1	1.0		1	1	0	0.0	0	0	3984.76	3984.76	57.7		57.7	57.7	57.74		57.74	57.74	0	0.0	0
586	10	513	3736.5	3736.5	1	0.0		0	0	0	0.0	0	0	718.31	718.31	46.79		46.79	46.79	55.57		55.57	55.57	0	0.0	0
587	10	514	876.5	876.5	1	2.0		2	2	0	0.0	0	0	3672.71	3672.71	52.88		52.88	52.88	58.16		58.16	58.16	0	0.0	0
588	10	515	216.5	216.5	1	1.0		1	1	0	0.0	0	0	3276.01	3276.01	55.45		55.45	55.45	55.45		55.45	55.45	0	0.0	0
589	10	516	3526.5	3526.5	1	2.0		2	2	0	0.0	0	0	2469.89	2469.89	53.3		53.3	53.3	53.34		53.34	53.34	0	0.0	0
590	10	517	3028.91	3028.91	1	1.0		1	1	1	1.0	1	1	2196.5	2196.5	37.68		37.68	37.68	0.46		0.46	0.46	0	0.0	0
591	10	518	1925.95	1925.95	1	0.0		0	0	1	1.0	1	1	3953.5	3953.5	34.2		34.2	34.2	0.0		0.0	0.0	0	0.0	0
592	10	519	2426.5	2426.5	1	2.0		2	2	0	0.0	0	0	1861.23	1861.23	42.63		42.63	42.63	45.59		45.59	45.59	0	0.0	0
593	10	520	3370.91	3370.91	1	1.0		1	1	0	0.0	0	0	4183.5	4183.5	41.06		41.06	41.06	53.32		53.32	53.32	0	0.0	0
594	10	521	3073.5	3073.5	1	3.0		3	3	0	0.0	0	0	1380.54	1380.54	37.6		37.6	37.6	39.34		39.34	39.34	0	0.0	0
595	10	522	2955.52	2955.52	1	0.0		0	0	0	0.0	0	0	4173.5	4173.5	47.72		47.72	47.72	52.32		52.32	52.32	0	0.0	0
596	10	523	226.5	226.5	1	3.0		3	3	0	0.0	0	0	1774.67	1774.67	49.95		49.95	49.95	47.67		47.67	47.67	0	0.0	0
597	10	524	3953.5	4173.5	2	8.5	0.7071067811865476	8	9	0	0.0	0	0	1527.06	1628.25	48.91	4.893178925810972	45.45	52.37	49.185	4.574980874276945	45.95	52.42	0	242.1557682567153	0
598	10	525	2426.5	2426.5	1	1.0		1	1	0	0.0	0	0	970.08	970.08	44.9		44.9	44.9	50.69		50.69	50.69	0	0.0	0
599	10	526	4217.26	4217.26	1	1.0		1	1	0	0.0	0	0	3966.5	3966.5	47.63		47.63	47.63	23.39		23.39	23.39	0	0.0	0
600	10	527	2633.5	2633.5	1	1.0		1	1	0	0.0	0	0	2041.03	2041.03	44.07		44.07	44.07	47.99		47.99	47.99	0	0.0	0
601	10	528	3303.5	3303.5	1	2.0		2	2	0	0.0	0	0	1457.94	1457.94	34.85		34.85	34.85	49.94		49.94	49.94	0	0.0	0
602	10	529	433.5	433.5	1	0.0		0	0	0	0.0	0	0	2906.39	2906.39	47.92		47.92	47.92	47.92		47.92	47.92	0	0.0	0
603	10	530	2030.73	2030.73	1	1.0		1	1	0	0.0	0	0	446.5	446.5	45.53		45.53	45.53	17.01		17.01	17.01	0	0.0	0
604	10	531	886.5	886.5	1	2.0		2	2	0	0.0	0	0	2803.67	2803.67	45.87		45.87	45.87	30.73		30.73	30.73	0	0.0	0
605	10	532	3076.5	3076.5	1	2.0		2	2	0	0.0	0	0	2942.33	2942.33	37.32		37.32	37.32	24.63		24.63	24.63	0	0.0	0
606	10	533	1536.5	1536.5	1	0.0		0	0	0	0.0	0	0	1733.69	1733.69	34.27		34.27	34.27	48.05		48.05	48.05	0	0.0	0
607	10	534	213.5	213.5	1	0.0		0	0	0	0.0	0	0	1203.74	1203.74	46.79		46.79	46.79	46.75		46.75	46.75	0	0.0	0
608	10	535	1326.5	1326.5	1	1.0		1	1	0	0.0	0	0	2665.52	2665.52	36.44		36.44	36.44	33.63		33.63	33.63	0	0.0	0
609	10	536	260.22	260.22	1	0.0		0	0	0	0.0	0	0	2646.5	2646.5	39.57		39.57	39.57	19.67		19.67	19.67	0	0.0	0
610	10	537	1316.5	1316.5	1	1.0		1	1	0	0.0	0	0	2686.05	2686.05	44.63		44.63	44.63	37.41		37.41	37.41	0	0.0	0
611	10	538	1502.18	1502.18	1	0.0		0	0	1	1.0	1	1	4393.5	4393.5	34.77		34.77	34.77	0.12		0.12	0.12	0	0.0	0
612	10	539	4393.5	4393.5	1	6.0		6	6	0	0.0	0	0	1793.89	1793.89	48.27		48.27	48.27	40.67		40.67	40.67	0	0.0	0
613	10	540	666.5	666.5	1	1.0		1	1	0	0.0	0	0	4150.0	4150.0	44.17		44.17	44.17	30.72		30.72	30.72	0	0.0	0
614	10	541	2193.5	2193.5	1	1.0		1	1	0	0.0	0	0	2738.77	2738.77	47.22		47.22	47.22	47.23		47.23	47.23	0	0.0	0
615	10	542	2853.5	2853.5	1	2.0		2	2	0	0.0	0	0	969.73	969.73	38.33		38.33	38.33	53.59		53.59	53.59	0	0.0	0
616	10	543	2853.5	2853.5	1	1.0		1	1	0	0.0	0	0	778.35	778.35	34.55		34.55	34.55	56.7		56.7	56.7	0	0.0	0
617	10	544	1326.5	1326.5	1	0.0		0	0	0	0.0	0	0	1077.3	1077.3	39.24		39.24	39.24	3.57		3.57	3.57	0	0.0	0
618	10	545	2814.55	2814.55	1	0.0		0	0	1	1.0	1	1	213.5	213.5	34.23		34.23	34.23	0.0		0.0	0.0	0	0.0	0
619	10	546	2196.5	2196.5	1	1.0		1	1	0	0.0	0	0	1803.55	1803.55	43.78		43.78	43.78	46.07		46.07	46.07	0	0.0	0
620	10	547	1753.5	1753.5	1	2.0		2	2	0	0.0	0	0	970.37	970.37	49.17		49.17	49.17	51.99		51.99	51.99	0	0.0	0
621	10	548	1069.4	1069.4	1	1.0		1	1	0	0.0	0	0	2413.5	2413.5	41.34		41.34	41.34	36.37		36.37	36.37	0	0.0	0
622	10	549	1084.31	1084.31	1	0.0		0	0	0	0.0	0	0	886.5	886.5	40.68		40.68	40.68	40.21		40.21	40.21	0	0.0	0
623	10	550	1822.47	1822.47	1	1.0		1	1	0	0.0	0	0	2426.5	2426.5	38.28		38.28	38.28	35.25		35.25	35.25	0	0.0	0
624	10	551	1546.5	1546.5	1	0.0		0	0	0	0.0	0	0	2041.96	2041.96	50.04		50.04	50.04	42.91		42.91	42.91	0	0.0	0
625	10	552	2099.96	2099.96	1	0.0		0	0	0	0.0	0	0	2193.5	2193.5	39.0		39.0	39.0	25.2		25.2	25.2	0	0.0	0
626	10	553	1756.5	1756.5	1	2.0		2	2	0	0.0	0	0	468.9	468.9	50.79		50.79	50.79	44.61		44.61	44.61	0	0.0	0
627	10	554	4260.63	4338.54	2	5.5	0.7071067811865476	5	6	0	0.0	0	0	1763.5	1766.5	40.06	10.649028124669389	32.53	47.59	52.42	0.5515432893251284	52.03	52.81	0	77.96773755855672	0
628	10	555	3076.5	3076.5	1	2.0		2	2	0	0.0	0	0	2908.57	2908.57	33.81		33.81	33.81	24.83		24.83	24.83	0	0.0	0
629	10	556	1313.5	1313.5	1	0.0		0	0	0	0.0	0	0	609.96	609.96	51.27		51.27	51.27	49.03		49.03	49.03	0	0.0	0
630	10	557	3733.5	3733.5	1	1.0		1	1	0	0.0	0	0	3013.09	3013.09	33.65		33.65	33.65	1.49		1.49	1.49	0	0.0	0
631	10	558	3477.67	3477.67	1	1.0		1	1	1	1.0	1	1	4393.5	4393.5	31.89		31.89	31.89	0.0		0.0	0.0	0	0.0	0
632	10	559	1096.5	1096.5	1	0.0		0	0	0	0.0	0	0	249.17	249.17	49.66		49.66	49.66	36.02		36.02	36.02	0	0.0	0
1525	20	309	3757.85	4406.5	9	5.444444444444445	1.130388330520878	4	7	2	0.2222222222222222	0	1	3083.5	3513.5	46.12777777777779	8.073830840712686	30.96	55.18	30.283333333333335	26.384752225480533	1.13	57.82	0	778.2331414813945	0
1526	20	324	2022.91	2336.27	7	3.857142857142857	0.8997354108424374	3	5	2	0.2857142857142857	0	1	2613.13	3273.57	37.23	10.795421869169077	24.91	52.63	24.93	24.95372717651614	0.0	52.31	0	731.0099063624241	0
1527	20	356	940.74	1343.56	8	7.75	2.2519832529192065	4	10	4	0.5	0	1	3066.61	3296.5	31.67	8.058222065514391	23.52	45.62	11.46625	15.212789673260362	0.0	37.69	0	463.8031527490945	0
1528	20	392	3697.58	3966.5	7	6.285714285714286	2.0586634591635513	4	10	2	0.2857142857142857	0	1	1681.96	1952.92	40.142857142857146	7.9273739121387035	28.95	50.76	28.572857142857142	22.24233029929322	0.0	49.79	0	381.75553434102306	0
1529	20	393	631.22	873.5	6	5.166666666666667	1.6020819787597222	3	7	2	0.3333333333333333	0	1	1973.5	2416.5	37.714999999999996	10.168130113250923	30.4	52.98	26.361666666666665	23.376800821897486	0.0	57.48	0	504.92434918510315	0
1530	20	417	3913.42	3956.5	3	3.0	1.0	2	4	1	0.3333333333333333	0	1	1313.5	1397.15	41.10666666666666	4.360462513694348	36.71	45.43	16.606666666666666	26.2084744564298	0.0	46.82	0	94.09149217649814	0
1531	20	450	4186.5	4403.5	5	6.0	0.7071067811865476	5	7	2	0.4	0	1	2123.1	2390.69	37.366	6.547116159042826	31.32	46.95	19.195999999999998	20.412406276576014	0.22	47.05	0	344.51909685821494	0
1532	20	465	3547.87	3746.5	5	5.8	0.4472135954999579	5	6	1	0.2	0	1	3714.59	3966.5	48.230000000000004	6.224323256387013	37.47	53.47	29.375999999999998	19.674315235860185	0.0	49.5	0	320.79982076054836	0
1533	20	539	4176.5	4406.5	6	6.833333333333333	1.3291601358251257	5	8	1	0.16666666666666666	0	1	1513.49	1766.5	44.94833333333333	8.71602068989437	32.03	54.7	30.061666666666667	23.527256887845354	0.0	56.2	0	341.92698065522706	0
1534	20	588	216.5	1106.5	11	5.0	1.7320508075688772	2	7	3	0.2727272727272727	0	1	1316.5	1797.96	41.057272727272725	10.149944917002342	25.58	54.14	27.840909090909097	24.58588800696263	0.0	57.03	0	1011.8812833529436	0
1535	20	627	1573.83	2022.3	7	3.142857142857143	1.2149857925879117	2	5	3	0.42857142857142855	0	1	433.5	910.11	39.55428571428571	12.327113553927724	24.02	52.01	25.26571428571429	25.156058155139522	0.0	52.01	0	654.43290947201	0
1536	20	643	2206.5	2853.5	7	5.0	1.0	3	6	2	0.2857142857142857	0	1	3393.46	3581.7	40.05571428571428	13.715042662642201	22.8	57.71	31.53142857142857	25.925858666957353	0.0	57.79	0	673.827349994047	0
