	step	com_id	com_size	degree	degree	degree	degree	num_stops	num_stops	num_stops	num_stops	x	x	y	y	avg_speed	avg_speed	avg_speed	avg_speed	speed	speed	speed	speed	congested	range	num_stops_count
0	0	0	1	18.0		18	18	1	1.0	1	1	2002.45	2002.45	883.5	883.5	-1.0		-1.0	-1.0	0.31		0.31	0.31	1	0.0	0.0
1	0	1	1	4.0		4	4	0	0.0	0	0	213.5	213.5	1927.79	1927.79	-1.0		-1.0	-1.0	46.94		46.94	46.94	0	0.0	0.0
2	0	2	1	34.0		34	34	0	0.0	0	0	1533.5	1533.5	2874.95	2874.95	-1.0		-1.0	-1.0	37.64		37.64	37.64	0	0.0	0.0
3	0	3	1	9.0		9	9	0	0.0	0	0	1096.5	1096.5	1148.71	1148.71	-1.0		-1.0	-1.0	51.59		51.59	51.59	0	0.0	0.0
4	0	4	1	11.0		11	11	0	0.0	0	0	1753.5	1753.5	780.04	780.04	-1.0		-1.0	-1.0	51.06		51.06	51.06	0	0.0	0.0
5	0	5	1	12.0		12	12	1	1.0	1	1	2413.5	2413.5	3375.28	3375.28	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
6	0	6	1	18.0		18	18	1	1.0	1	1	1983.5	1983.5	1886.96	1886.96	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
7	0	7	1	36.0		36	36	0	0.0	0	0	2866.5	2866.5	1479.26	1479.26	-1.0		-1.0	-1.0	5.81		5.81	5.81	0	0.0	0.0
8	0	8	1	21.0		21	21	0	0.0	0	0	2856.5	2856.5	1209.28	1209.28	-1.0		-1.0	-1.0	52.99		52.99	52.99	0	0.0	0.0
9	0	9	1	16.0		16	16	1	1.0	1	1	1951.97	1951.97	3513.5	3513.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
10	0	10	1	19.0		19	19	0	0.0	0	0	1626.46	1626.46	3296.5	3296.5	-1.0		-1.0	-1.0	2.8		2.8	2.8	0	0.0	0.0
11	0	11	1	40.0		40	40	1	1.0	1	1	3086.5	3086.5	1432.21	1432.21	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
12	0	12	1	27.0		27	27	1	1.0	1	1	1976.5	1976.5	2716.66	2716.66	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
13	0	13	1	21.0		21	21	1	1.0	1	1	3296.5	3296.5	2744.9	2744.9	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
14	0	14	1	16.0		16	16	0	0.0	0	0	3563.64	3563.64	3523.5	3523.5	-1.0		-1.0	-1.0	33.62		33.62	33.62	0	0.0	0.0
15	0	15	1	22.0		22	22	0	0.0	0	0	2459.66	2459.66	3073.5	3073.5	-1.0		-1.0	-1.0	44.42		44.42	44.42	0	0.0	0.0
16	0	16	1	18.0		18	18	0	0.0	0	0	1883.97	1883.97	876.5	876.5	-1.0		-1.0	-1.0	39.18		39.18	39.18	0	0.0	0.0
17	0	17	1	23.0		23	23	1	1.0	1	1	1973.5	1973.5	2092.02	2092.02	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
18	0	18	1	21.0		21	21	0	0.0	0	0	1106.5	1106.5	2719.85	2719.85	-1.0		-1.0	-1.0	46.99		46.99	46.99	0	0.0	0.0
19	0	19	1	32.0		32	32	0	0.0	0	0	1536.5	1536.5	2783.55	2783.55	-1.0		-1.0	-1.0	48.97		48.97	48.97	0	0.0	0.0
20	0	20	1	6.0		6	6	0	0.0	0	0	3733.5	3733.5	1019.69	1019.69	-1.0		-1.0	-1.0	54.81		54.81	54.81	0	0.0	0.0
21	0	21	1	38.0		38	38	0	0.0	0	0	3076.5	3076.5	1559.61	1559.61	-1.0		-1.0	-1.0	29.51		29.51	29.51	0	0.0	0.0
22	0	22	1	4.0		4	4	1	1.0	1	1	892.19	892.19	446.5	446.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
23	0	23	1	16.0		16	16	0	0.0	0	0	2259.79	2259.79	1106.5	1106.5	-1.0		-1.0	-1.0	12.35		12.35	12.35	0	0.0	0.0
24	0	24	1	20.0		20	20	0	0.0	0	0	2298.26	2298.26	3076.5	3076.5	-1.0		-1.0	-1.0	55.1		55.1	55.1	0	0.0	0.0
25	0	25	1	8.0		8	8	1	1.0	1	1	2178.08	2178.08	4396.5	4396.5	-1.0		-1.0	-1.0	0.43		0.43	0.43	1	0.0	0.0
26	0	26	1	31.0		31	31	0	0.0	0	0	1756.5	1756.5	3132.8	3132.8	-1.0		-1.0	-1.0	2.8		2.8	2.8	0	0.0	0.0
27	0	27	1	19.0		19	19	0	0.0	0	0	2440.23	2440.23	1753.5	1753.5	-1.0		-1.0	-1.0	33.53		33.53	33.53	0	0.0	0.0
28	0	28	1	23.0		23	23	1	1.0	1	1	2168.33	2168.33	1316.5	1316.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
29	0	29	1	6.0		6	6	0	0.0	0	0	2643.5	2643.5	4154.6	4154.6	-1.0		-1.0	-1.0	4.72		4.72	4.72	0	0.0	0.0
30	0	30	1	26.0		26	26	1	1.0	1	1	3083.5	3083.5	1815.97	1815.97	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
31	0	31	1	24.0		24	24	0	0.0	0	0	3523.5	3523.5	2819.5	2819.5	-1.0		-1.0	-1.0	4.4		4.4	4.4	0	0.0	0.0
32	0	32	1	19.0		19	19	1	1.0	1	1	3062.64	3062.64	873.5	873.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
33	0	33	1	23.0		23	23	0	0.0	0	0	3293.5	3293.5	1721.63	1721.63	-1.0		-1.0	-1.0	50.57		50.57	50.57	0	0.0	0.0
34	0	34	1	17.0		17	17	1	1.0	1	1	3252.19	3252.19	2193.5	2193.5	-1.0		-1.0	-1.0	0.75		0.75	0.75	1	0.0	0.0
35	0	35	1	14.0		14	14	0	0.0	0	0	1617.54	1617.54	2196.5	2196.5	-1.0		-1.0	-1.0	53.6		53.6	53.6	0	0.0	0.0
36	0	36	1	33.0		33	33	1	1.0	1	1	2887.42	2887.42	1543.5	1543.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
37	0	37	1	7.0		7	7	0	0.0	0	0	3513.5	3513.5	4133.21	4133.21	-1.0		-1.0	-1.0	47.38		47.38	47.38	0	0.0	0.0
38	0	38	1	30.0		30	30	1	1.0	1	1	2413.5	2413.5	2520.9	2520.9	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
39	0	39	1	3.0		3	3	0	0.0	0	0	3050.3	3050.3	4396.5	4396.5	-1.0		-1.0	-1.0	36.48		36.48	36.48	0	0.0	0.0
40	0	40	1	24.0		24	24	0	0.0	0	0	3086.5	3086.5	2182.51	2182.51	-1.0		-1.0	-1.0	38.94		38.94	38.94	0	0.0	0.0
41	0	41	1	14.0		14	14	0	0.0	0	0	3277.65	3277.65	2413.5	2413.5	-1.0		-1.0	-1.0	4.09		4.09	4.09	0	0.0	0.0
42	0	42	1	9.0		9	9	1	1.0	1	1	3516.5	3516.5	3970.68	3970.68	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
43	0	43	1	32.0		32	32	0	0.0	0	0	1546.5	1546.5	2799.45	2799.45	-1.0		-1.0	-1.0	2.61		2.61	2.61	0	0.0	0.0
44	0	44	1	18.0		18	18	0	0.0	0	0	4173.5	4173.5	1944.79	1944.79	-1.0		-1.0	-1.0	47.16		47.16	47.16	0	0.0	0.0
45	0	45	1	20.0		20	20	0	0.0	0	0	921.99	921.99	2646.5	2646.5	-1.0		-1.0	-1.0	4.09		4.09	4.09	0	0.0	0.0
46	0	46	1	22.0		22	22	1	1.0	1	1	3083.5	3083.5	2959.5	2959.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
47	0	47	1	19.0		19	19	0	0.0	0	0	2016.49	2016.49	883.5	883.5	-1.0		-1.0	-1.0	4.05		4.05	4.05	0	0.0	0.0
48	0	48	1	17.0		17	17	1	1.0	1	1	1682.05	1682.05	1093.5	1093.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
49	0	49	1	12.0		12	12	1	1.0	1	1	2153.33	2153.33	3733.5	3733.5	-1.0		-1.0	-1.0	0.39		0.39	0.39	1	0.0	0.0
50	0	50	1	22.0		22	22	1	1.0	1	1	2656.88	2656.88	1326.5	1326.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
51	0	51	1	27.0		27	27	0	0.0	0	0	3243.12	3243.12	3076.5	3076.5	-1.0		-1.0	-1.0	23.65		23.65	23.65	0	0.0	0.0
52	0	52	1	20.0		20	20	1	1.0	1	1	1967.54	1967.54	2193.5	2193.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
53	0	53	1	26.0		26	26	1	1.0	1	1	2206.5	2206.5	2403.78	2403.78	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
54	0	54	1	17.0		17	17	0	0.0	0	0	4155.37	4155.37	1753.5	1753.5	-1.0		-1.0	-1.0	12.27		12.27	12.27	0	0.0	0.0
55	0	55	1	10.0		10	10	0	0.0	0	0	3516.5	3516.5	2391.08	2391.08	-1.0		-1.0	-1.0	47.44		47.44	47.44	0	0.0	0.0
56	0	56	1	11.0		11	11	0	0.0	0	0	1326.5	1326.5	1258.92	1258.92	-1.0		-1.0	-1.0	3.89		3.89	3.89	0	0.0	0.0
57	0	57	1	3.0		3	3	0	0.0	0	0	3746.5	3746.5	1081.08	1081.08	-1.0		-1.0	-1.0	32.29		32.29	32.29	0	0.0	0.0
58	0	58	1	30.0		30	30	1	1.0	1	1	2177.91	2177.91	2633.5	2633.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
59	0	59	1	15.0		15	15	1	1.0	1	1	1518.75	1518.75	2193.5	2193.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
60	0	60	1	18.0		18	18	0	0.0	0	0	2636.5	2636.5	3100.69	3100.69	-1.0		-1.0	-1.0	19.76		19.76	19.76	0	0.0	0.0
61	0	61	1	36.0		36	36	1	1.0	1	1	2656.35	2656.35	2646.5	2646.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
