	('step', '')	('com_id', '')	('x', 'amin')	('x', 'amax')	('com_size', 'size')	('degree', 'mean')	('degree', 'std')	('degree', 'amin')	('degree', 'amax')	('num_stops', 'sum')	('num_stops', 'mean')	('num_stops', 'amin')	('num_stops', 'amax')	('y', 'amin')	('y', 'amax')	('avg_speed', 'mean')	('avg_speed', 'std')	('avg_speed', 'amin')	('avg_speed', 'amax')	('speed', 'mean')	('speed', 'std')	('speed', 'amin')	('speed', 'amax')	('congested', 'sum')	('range', '')	('num_stops_count', '')
0	0	0	2193.5	2193.5	1	29.0		29	29	0	0.0	0	0	2028.14	2028.14	19.08		19.08	19.08	19.08		19.08	19.08	0	0.0	0
1	0	1	232.39	232.39	1	0.0		0	0	1	1.0	1	1	226.5	226.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
2	0	2	1093.5	1093.5	1	15.0		15	15	1	1.0	1	1	2534.11	2534.11	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
3	0	3	1973.5	1973.5	1	19.0		19	19	0	0.0	0	0	1271.3	1271.3	51.01		51.01	51.01	51.01		51.01	51.01	0	0.0	0
4	0	4	2883.49	2883.49	1	13.0		13	13	1	1.0	1	1	886.5	886.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
5	0	5	3502.31	3502.31	1	4.0		4	4	0	0.0	0	0	4393.5	4393.5	2.79		2.79	2.79	2.79		2.79	2.79	0	0.0	0
6	0	6	2172.09	2172.09	1	12.0		12	12	1	1.0	1	1	3513.5	3513.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
7	0	7	2007.24	2007.24	1	10.0		10	10	1	1.0	1	1	4183.5	4183.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
8	0	8	436.5	436.5	1	4.0		4	4	0	0.0	0	0	4165.75	4165.75	57.85		57.85	57.85	57.85		57.85	57.85	0	0.0	0
9	0	9	653.5	653.5	1	12.0		12	12	0	0.0	0	0	2655.57	2655.57	36.92		36.92	36.92	36.92		36.92	36.92	0	0.0	0
10	0	10	1753.5	1753.5	1	18.0		18	18	0	0.0	0	0	1269.01	1269.01	38.21		38.21	38.21	38.21		38.21	38.21	0	0.0	0
11	0	11	2206.5	2206.5	1	30.0		30	30	1	1.0	1	1	2061.66	2061.66	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
12	0	12	1732.78	1732.78	1	20.0		20	20	1	1.0	1	1	3513.5	3513.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
13	0	13	4186.5	4186.5	1	11.0		11	11	0	0.0	0	0	2114.6	2114.6	53.68		53.68	53.68	53.68		53.68	53.68	0	0.0	0
14	0	14	446.5	446.5	1	5.0		5	5	0	0.0	0	0	3285.21	3285.21	5.94		5.94	5.94	5.94		5.94	5.94	0	0.0	0
15	0	15	2804.01	2804.01	1	25.0		25	25	0	0.0	0	0	1313.5	1313.5	6.75		6.75	6.75	6.75		6.75	6.75	0	0.0	0
16	0	16	1326.5	1326.5	1	12.0		12	12	1	1.0	1	1	1453.98	1453.98	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
17	0	17	2005.3	2005.3	1	15.0		15	15	0	0.0	0	0	663.5	663.5	8.98		8.98	8.98	8.98		8.98	8.98	0	0.0	0
18	0	18	2228.89	2228.89	1	6.0		6	6	0	0.0	0	0	4406.5	4406.5	7.49		7.49	7.49	7.49		7.49	7.49	0	0.0	0
19	0	19	2676.86	2676.86	1	34.0		34	34	1	1.0	1	1	2646.5	2646.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
20	0	20	3503.43	3503.43	1	4.0		4	4	1	1.0	1	1	213.5	213.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
21	0	21	1287.85	1287.85	1	8.0		8	8	0	0.0	0	0	4393.5	4393.5	20.55		20.55	20.55	20.55		20.55	20.55	0	0.0	0
22	0	22	3086.5	3086.5	1	22.0		22	22	1	1.0	1	1	2981.86	2981.86	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
23	0	23	2413.5	2413.5	1	29.0		29	29	1	1.0	1	1	2870.73	2870.73	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
24	0	24	1323.5	1323.5	1	22.0		22	22	0	0.0	0	0	3059.07	3059.07	11.65		11.65	11.65	11.65		11.65	11.65	0	0.0	0
25	0	25	2473.41	2473.41	1	15.0		15	15	0	0.0	0	0	3303.5	3303.5	2.48		2.48	2.48	2.48		2.48	2.48	0	0.0	0
26	0	26	1737.73	1737.73	1	5.0		5	5	1	1.0	1	1	216.5	216.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
27	0	27	4387.33	4387.33	1	15.0		15	15	1	1.0	1	1	1756.5	1756.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
28	0	28	3043.58	3043.58	1	37.0		37	37	1	1.0	1	1	1533.5	1533.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
29	0	29	3282.8	3282.8	1	15.0		15	15	1	1.0	1	1	2636.5	2636.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
30	0	30	3076.5	3076.5	1	19.0		19	19	1	1.0	1	1	2431.21	2431.21	0.47		0.47	0.47	0.47		0.47	0.47	0	0.0	0
31	0	31	2238.61	2238.61	1	30.0		30	30	0	0.0	0	0	2633.5	2633.5	47.51		47.51	47.51	47.51		47.51	47.51	0	0.0	0
32	0	32	2612.4	2612.4	1	7.0		7	7	1	1.0	1	1	4393.5	4393.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
33	0	33	3236.44	3236.44	1	30.0		30	30	0	0.0	0	0	1546.5	1546.5	49.18		49.18	49.18	49.18		49.18	49.18	0	0.0	0
34	0	34	213.5	213.5	1	2.0		2	2	0	0.0	0	0	3598.12	3598.12	33.06		33.06	33.06	33.06		33.06	33.06	0	0.0	0
35	0	35	3034.56	3034.56	1	19.0		19	19	0	0.0	0	0	2193.5	2193.5	9.16		9.16	9.16	9.16		9.16	9.16	0	0.0	0
36	0	36	2248.42	2248.42	1	24.0		24	24	1	1.0	1	1	1323.5	1323.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
37	0	37	3243.12	3243.12	1	27.0		27	27	0	0.0	0	0	3076.5	3076.5	23.65		23.65	23.65	23.65		23.65	23.65	0	0.0	0
38	0	38	417.85	417.85	1	11.0		11	11	0	0.0	0	0	1323.5	1323.5	40.22		40.22	40.22	40.22		40.22	40.22	0	0.0	0
39	0	39	443.5	443.5	1	10.0		10	10	1	1.0	1	1	1309.36	1309.36	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
