	('step', '')	('com_id', '')	('x', 'amin')	('x', 'amax')	('com_size', 'size')	('degree', 'mean')	('degree', 'std')	('degree', 'amin')	('degree', 'amax')	('num_stops', 'sum')	('num_stops', 'mean')	('num_stops', 'amin')	('num_stops', 'amax')	('y', 'amin')	('y', 'amax')	('avg_speed', 'mean')	('avg_speed', 'std')	('avg_speed', 'amin')	('avg_speed', 'amax')	('speed', 'mean')	('speed', 'std')	('speed', 'amin')	('speed', 'amax')	('congested', 'sum')	('range', '')	('num_stops_count', '')
0	0	0	2532.07	2532.07	1	29.0		29	29	0	0.0	0	0	2863.5	2863.5	11.68		11.68	11.68	11.68		11.68	11.68	0	0.0	0
1	0	1	672.69	672.69	1	3.0		3	3	1	1.0	1	1	443.5	443.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
2	0	2	873.5	873.5	1	4.0		4	4	0	0.0	0	0	4004.71	4004.71	58.74		58.74	58.74	58.74		58.74	58.74	0	0.0	0
3	0	3	1096.5	1096.5	1	18.0		18	18	0	0.0	0	0	2436.21	2436.21	6.38		6.38	6.38	6.38		6.38	6.38	0	0.0	0
4	0	4	1301.06	1301.06	1	8.0		8	8	0	0.0	0	0	4393.5	4393.5	8.31		8.31	8.31	8.31		8.31	8.31	0	0.0	0
5	0	5	2657.69	2657.69	1	9.0		9	9	1	1.0	1	1	226.5	226.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
6	0	6	2856.5	2856.5	1	15.0		15	15	0	0.0	0	0	710.37	710.37	58.05		58.05	58.05	58.05		58.05	58.05	0	0.0	0
7	0	7	1729.55	1729.55	1	20.0		20	20	1	1.0	1	1	1976.5	1976.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
8	0	8	1536.5	1536.5	1	18.0		18	18	1	1.0	1	1	2063.16	2063.16	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
9	0	9	2931.05	2931.05	1	32.0		32	32	0	0.0	0	0	1546.5	1546.5	23.8		23.8	23.8	23.8		23.8	23.8	0	0.0	0
10	0	10	2423.5	2423.5	1	22.0		22	22	0	0.0	0	0	3061.97	3061.97	7.84		7.84	7.84	7.84		7.84	7.84	0	0.0	0
11	0	11	1983.5	1983.5	1	21.0		21	21	0	0.0	0	0	1046.16	1046.16	4.42		4.42	4.42	4.42		4.42	4.42	0	0.0	0
12	0	12	3523.5	3523.5	1	26.0		26	26	1	1.0	1	1	3048.89	3048.89	0.92		0.92	0.92	0.92		0.92	0.92	0	0.0	0
13	0	13	2657.73	2657.73	1	18.0		18	18	1	1.0	1	1	1106.5	1106.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
14	0	14	3483.63	3483.63	1	18.0		18	18	0	0.0	0	0	1973.5	1973.5	2.67		2.67	2.67	2.67		2.67	2.67	0	0.0	0
15	0	15	2426.5	2426.5	1	22.0		22	22	0	0.0	0	0	1489.95	1489.95	14.87		14.87	14.87	14.87		14.87	14.87	0	0.0	0
16	0	16	3391.27	3391.27	1	15.0		15	15	0	0.0	0	0	2206.5	2206.5	13.85		13.85	13.85	13.85		13.85	13.85	0	0.0	0
17	0	17	4186.5	4186.5	1	8.0		8	8	0	0.0	0	0	3014.48	3014.48	63.81		63.81	63.81	63.81		63.81	63.81	0	0.0	0
18	0	18	4017.25	4017.25	1	6.0		6	6	0	0.0	0	0	3306.5	3306.5	58.51		58.51	58.51	58.51		58.51	58.51	0	0.0	0
19	0	19	443.5	443.5	1	7.0		7	7	0	0.0	0	0	3221.78	3221.78	47.19		47.19	47.19	47.19		47.19	47.19	0	0.0	0
20	0	20	3507.42	3507.42	1	4.0		4	4	1	1.0	1	1	4396.5	4396.5	0.0		0.0	0.0	0.0		0.0	0.0	0	0.0	0
