step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
300.0	_h5_4339	40532.93	32048.76	0.0	100573	1.0	1.0	1.0	regular	#707070
300.0	_h5_4338	20672.95	21981.08	2.0	79799	0.9	5.0	10.0	regular	#99BADD
300.0	_h5_4310	20688.06	21980.61	2.0	79799	0.9	5.0	10.0	regular	#99BADD
300.0	_h6_202	19772.35	18663.89	8.0	45	0.75	106.0	263.0	regular	#9932CC
300.0	_h5_4448	26127.76	23989.66	9.0	73256	0.95	45.0	45.0	regular	#FBCCE7
300.0	_h5_3792	25906.98	25535.06	5.0	43	0.8	46.0	48.0	regular	#00703C
300.0	_h5_4347	26416.85	27379.3	7.0	372	0.9	11.0	11.0	regular	#9EFD38
300.0	_h5_4324	26119.47	23939.45	11.0	73256	0.95	45.0	45.0	regular	#FBCCE7
300.0	_h5_4333	25228.12	20513.08	6.0	1290	0.6	118.0	21.0	regular	#E5AA70
300.0	_h5_4365	25253.06	20547.79	6.0	1290	0.6	118.0	21.0	regular	#E5AA70
300.0	_h5_4332	25725.82	21345.26	5.0	1290	0.2	118.0	21.0	regular	#E5AA70
300.0	_h5_4209	25569.26	21006.07	5.0	1290	0.3	118.0	21.0	regular	#E5AA70
300.0	_h5_4280	25711.91	21303.98	5.0	1290	0.2	118.0	21.0	regular	#E5AA70
300.0	_h5_4302	25678.18	24714.91	1.0	33	-2.4	2.0	2.0	regular	#B87333
300.0	_h5_4331	12830.86	25047.87	4.0	51786	0.85	44.0	38.0	regular	#004B49
300.0	_h6_1307	22919.54	28700.9	2.0	90011	0.9	5.0	5.0	regular	#960018
300.0	_h6_1222	43614.41	31823.31	5.0	77937	0.9	22.0	34.0	regular	#EB4C42
300.0	_h5_4631	22217.16	23374.88	4.0	74118	0.85	34.0	87.0	regular	#C41E3A
300.0	_h5_3684	18591.84	22121.61	2.0	80042	-0.55	19.0	5.0	regular	#CB4154
300.0	_h5_4330	32018.06	22002.35	12.0	96764	0.95	14.0	65.0	regular	#014421
