step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
346.0	1.272	1653.51	235.05	7.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.264	1980.24	-1.65	4.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.261	2842.66	235.05	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.273	1589.98	235.05	9.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.251	2925.42	-1.65	2.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.253	2888.59	-1.65	3.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.252	3703.98	238.35	5.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.257	3162.73	238.35	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.265	2326.37	235.05	6.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.266	1786.03	-1.65	4.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.261	2779.64	235.05	7.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.270	1864.99	238.35	6.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.251	3738.95	235.05	5.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.267	2117.79	235.05	7.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.258	3065.07	235.05	7.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.260	2902.69	235.05	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.263	2607.09	235.05	7.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.282	734.91	238.35	12.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.271	1868.01	235.05	7.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.262	2725.91	235.05	6.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.287	257.68	231.75	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.284	510.96	231.75	10.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.288	44.18	235.05	2.0	433	1.0	1.0	114.0	regular	#F64A8A
346.0	2.275	1198.35	80.1	11.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.282	765.79	231.75	12.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.281	930.65	238.35	12.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.279	976.93	231.75	11.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.289	186.67	238.35	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.268	2065.87	238.35	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.261	2190.95	-1.65	4.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.259	3022.08	238.35	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.276	1198.35	144.69	12.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.273	1616.83	238.35	9.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.284	662.0	235.05	13.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.282	804.48	235.05	12.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.262	2083.89	-1.65	4.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.273	1241.06	-1.65	6.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.280	900.54	231.75	12.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.278	1211.15	235.05	11.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.254	3553.89	238.35	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.256	2628.7	-1.65	4.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.253	3544.03	235.05	9.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.263	2650.62	235.05	7.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.246	3362.25	-1.65	5.0	75	1.0	121.0	8.0	regular	#EFDFBB
346.0	0.258	3114.66	235.05	7.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.263	2024.29	-1.65	4.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.269	2007.41	235.05	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.249	3175.0	-1.65	4.0	75	1.0	121.0	8.0	regular	#EFDFBB
346.0	2.285	436.77	231.75	11.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.287	249.91	235.05	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.276	1398.07	235.05	9.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.244	3547.45	-1.65	3.0	75	1.0	121.0	8.0	regular	#EFDFBB
346.0	0.256	3356.55	238.35	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.288	249.39	238.35	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.248	3246.44	-1.65	5.0	75	1.0	121.0	8.0	regular	#EFDFBB
346.0	0.260	2936.63	238.35	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.259	3016.81	235.05	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.279	1072.45	235.05	12.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.259	2361.43	-1.65	4.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.285	534.3	238.35	10.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.286	327.14	235.05	11.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.277	1327.21	235.05	10.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.245	3437.12	-1.65	5.0	75	1.0	121.0	8.0	regular	#EFDFBB
346.0	1.275	1452.06	235.05	9.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.283	730.3	235.05	12.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.274	1510.73	235.05	10.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.265	1896.08	-1.65	5.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.276	1431.87	238.35	9.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.275	1478.29	238.35	10.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.265	2458.74	238.35	6.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.278	1119.53	231.75	12.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.277	1306.94	238.35	11.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.243	3632.06	-1.65	2.0	75	1.0	121.0	8.0	regular	#EFDFBB
346.0	0.264	2518.69	235.05	6.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.267	1712.61	-1.65	4.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.269	1920.03	238.35	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.269	1554.28	-1.65	4.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.280	929.56	235.05	13.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	1.270	1962.31	235.05	8.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	0.271	1793.8	235.05	7.0	75	1.0	121.0	114.0	regular	#EFDFBB
346.0	2.260	2286.29	-1.65	3.0	75	1.0	121.0	114.0	regular	#EFDFBB
