step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
64.0	2.183	1733.26	-1.65	5.0	21	0.8	25.0	121.0	regular	#7B3F00
64.0	2.187	1532.0	-1.65	4.0	21	0.7	25.0	121.0	regular	#7B3F00
64.0	1.185	1978.78	235.05	9.0	21	0.4	25.0	121.0	regular	#7B3F00
64.0	2.184	1679.21	-1.65	5.0	21	0.75	25.0	121.0	regular	#7B3F00
64.0	0.186	2004.25	238.35	8.0	21	0.35	25.0	121.0	regular	#7B3F00
64.0	0.187	1947.3	238.35	9.0	21	0.4	25.0	121.0	regular	#7B3F00
64.0	1.189	1568.32	235.05	9.0	152	0.85	53.0	121.0	regular	#534B4F
64.0	0.189	1697.99	238.35	7.0	152	0.8	53.0	121.0	regular	#534B4F
64.0	2.188	1394.77	-1.65	4.0	152	0.85	53.0	121.0	regular	#534B4F
64.0	2.189	1249.98	-1.65	5.0	152	0.9	53.0	121.0	regular	#534B4F
64.0	1.184	2057.04	235.05	9.0	21	0.35	25.0	121.0	regular	#7B3F00
64.0	2.192	1198.35	115.94	14.0	152	0.95	53.0	121.0	regular	#534B4F
64.0	1.183	2124.79	235.05	9.0	21	0.35	25.0	121.0	regular	#7B3F00
64.0	2.190	1210.33	-1.65	5.0	152	0.9	53.0	121.0	regular	#534B4F
64.0	0.192	1521.64	238.35	11.0	152	0.85	53.0	121.0	regular	#534B4F
64.0	1.193	1271.02	235.05	11.0	152	0.9	53.0	121.0	regular	#534B4F
64.0	1.195	1111.16	235.05	13.0	152	0.95	53.0	121.0	regular	#534B4F
64.0	2.194	1173.86	231.75	14.0	152	0.95	53.0	121.0	regular	#534B4F
64.0	2.195	1128.66	231.75	14.0	152	0.95	53.0	121.0	regular	#534B4F
64.0	1.196	1057.09	235.05	14.0	152	1.0	53.0	121.0	regular	#534B4F
64.0	1.197	989.65	235.05	14.0	152	0.95	53.0	121.0	regular	#534B4F
64.0	2.197	964.94	231.75	13.0	152	0.95	53.0	121.0	regular	#534B4F
64.0	0.198	972.73	238.35	13.0	152	0.95	53.0	121.0	regular	#534B4F
