step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
400.0	1.272	3365.31	235.05	8.0	471	0.85	23.0	118.0	regular	#1B4D3E
400.0	2.264	3320.49	-1.65	4.0	345	0.7	19.0	118.0	regular	#D19FE8
400.0	1.297	867.23	235.05	11.0	448	0.75	75.0	118.0	regular	#E5CCC9
400.0	1.273	3303.89	235.05	9.0	471	0.85	23.0	118.0	regular	#1B4D3E
400.0	2.298	736.5	231.75	12.0	448	0.7	75.0	118.0	regular	#E5CCC9
400.0	1.299	613.67	235.05	11.0	448	0.65	75.0	118.0	regular	#E5CCC9
400.0	0.286	2203.75	238.35	7.0	448	0.8	75.0	118.0	regular	#E5CCC9
400.0	1.292	1445.89	235.05	7.0	448	0.9	75.0	118.0	regular	#E5CCC9
400.0	1.301	379.62	235.05	8.0	448	0.6	75.0	118.0	regular	#E5CCC9
400.0	2.266	3125.87	-1.65	4.0	345	0.7	19.0	118.0	regular	#D19FE8
400.0	2.297	788.36	231.75	11.0	448	0.7	75.0	118.0	regular	#E5CCC9
400.0	0.270	3577.67	238.35	6.0	471	0.95	23.0	118.0	regular	#1B4D3E
400.0	2.288	1485.63	-1.65	3.0	448	0.75	75.0	118.0	regular	#E5CCC9
400.0	0.304	106.71	238.35	5.0	448	0.5	75.0	118.0	regular	#E5CCC9
400.0	1.295	1072.0	235.05	9.0	448	0.8	75.0	118.0	regular	#E5CCC9
400.0	2.283	1896.36	-1.65	5.0	448	0.6	75.0	118.0	regular	#E5CCC9
400.0	0.300	710.18	238.35	12.0	448	0.7	75.0	118.0	regular	#E5CCC9
400.0	0.282	2449.13	238.35	8.0	448	0.7	75.0	118.0	regular	#E5CCC9
400.0	1.271	3581.98	235.05	6.0	471	0.95	23.0	118.0	regular	#1B4D3E
400.0	1.298	792.43	235.05	10.0	448	0.7	75.0	118.0	regular	#E5CCC9
400.0	2.287	1563.53	-1.65	4.0	448	0.7	75.0	118.0	regular	#E5CCC9
400.0	2.284	1761.92	-1.65	5.0	448	0.65	75.0	118.0	regular	#E5CCC9
400.0	1.288	1757.9	235.05	5.0	448	0.95	75.0	118.0	regular	#E5CCC9
400.0	2.275	2457.6	-1.65	4.0	345	0.55	19.0	118.0	regular	#D19FE8
400.0	2.282	1959.46	-1.65	5.0	448	0.6	75.0	118.0	regular	#E5CCC9
400.0	0.281	2646.05	238.35	7.0	448	0.65	75.0	118.0	regular	#E5CCC9
400.0	2.279	2131.7	-1.65	5.0	448	0.55	75.0	118.0	regular	#E5CCC9
400.0	0.289	1901.05	235.05	5.0	448	0.9	75.0	118.0	regular	#E5CCC9
400.0	1.303	169.03	235.05	7.0	448	0.5	75.0	118.0	regular	#E5CCC9
400.0	2.261	3530.05	-1.65	4.0	345	0.75	19.0	118.0	regular	#D19FE8
400.0	0.296	1010.86	238.35	9.0	448	0.8	75.0	118.0	regular	#E5CCC9
400.0	2.276	2391.13	-1.65	5.0	345	0.55	19.0	118.0	regular	#D19FE8
400.0	0.273	3330.19	238.35	9.0	471	0.85	23.0	118.0	regular	#1B4D3E
400.0	1.284	2375.54	235.05	9.0	448	0.75	75.0	118.0	regular	#E5CCC9
400.0	1.282	2517.67	235.05	7.0	448	0.7	75.0	118.0	regular	#E5CCC9
400.0	2.262	3422.55	-1.65	4.0	345	0.7	19.0	118.0	regular	#D19FE8
400.0	2.273	2580.05	-1.65	6.0	345	0.6	19.0	118.0	regular	#D19FE8
400.0	2.280	2067.79	-1.65	5.0	448	0.55	75.0	118.0	regular	#E5CCC9
400.0	1.278	2924.53	235.05	7.0	471	0.75	23.0	118.0	regular	#1B4D3E
400.0	1.291	1533.12	235.05	7.0	448	0.95	75.0	118.0	regular	#E5CCC9
400.0	2.302	345.72	231.75	8.0	448	0.55	75.0	118.0	regular	#E5CCC9
400.0	2.290	1238.25	-1.65	4.0	448	0.75	75.0	118.0	regular	#E5CCC9
400.0	0.299	752.37	238.35	12.0	448	0.7	75.0	118.0	regular	#E5CCC9
400.0	1.294	1215.65	235.05	9.0	448	0.85	75.0	118.0	regular	#E5CCC9
400.0	2.292	1198.35	49.55	7.0	448	0.8	75.0	118.0	regular	#E5CCC9
400.0	2.263	3362.89	-1.65	4.0	345	0.7	19.0	118.0	regular	#D19FE8
400.0	1.269	3719.41	235.05	4.0	471	1.0	23.0	118.0	regular	#1B4D3E
400.0	2.295	1051.01	231.75	10.0	448	0.8	75.0	118.0	regular	#E5CCC9
400.0	2.285	1705.99	-1.65	4.0	448	0.65	75.0	118.0	regular	#E5CCC9
400.0	1.287	1963.91	235.05	4.0	448	0.85	75.0	118.0	regular	#E5CCC9
400.0	1.276	3110.83	235.05	9.0	471	0.8	23.0	118.0	regular	#1B4D3E
400.0	0.291	1609.89	238.35	7.0	448	0.95	75.0	118.0	regular	#E5CCC9
400.0	2.293	1198.35	108.07	11.0	448	0.8	75.0	118.0	regular	#E5CCC9
400.0	0.288	1963.18	238.35	4.0	448	0.85	75.0	118.0	regular	#E5CCC9
400.0	0.290	1659.47	238.35	6.0	448	0.95	75.0	118.0	regular	#E5CCC9
400.0	0.283	2377.43	238.35	9.0	448	0.75	75.0	118.0	regular	#E5CCC9
400.0	1.296	1009.78	235.05	9.0	448	0.8	75.0	118.0	regular	#E5CCC9
400.0	1.279	2784.39	235.05	6.0	471	0.7	23.0	118.0	regular	#1B4D3E
400.0	2.259	3699.9	-1.65	2.0	345	0.7	19.0	118.0	regular	#D19FE8
400.0	0.285	2247.67	238.35	7.0	448	0.8	75.0	118.0	regular	#E5CCC9
400.0	1.286	2039.46	235.05	6.0	448	0.85	75.0	118.0	regular	#E5CCC9
400.0	1.277	3040.32	235.05	8.0	471	0.8	23.0	118.0	regular	#1B4D3E
400.0	0.293	1373.98	238.35	7.0	448	0.9	75.0	118.0	regular	#E5CCC9
400.0	1.275	3166.31	235.05	10.0	471	0.8	23.0	118.0	regular	#1B4D3E
400.0	1.283	2443.86	235.05	8.0	448	0.75	75.0	118.0	regular	#E5CCC9
400.0	1.274	3224.37	235.05	10.0	471	0.85	23.0	118.0	regular	#1B4D3E
400.0	2.265	3234.87	-1.65	5.0	345	0.75	19.0	118.0	regular	#D19FE8
400.0	0.276	3145.35	238.35	9.0	471	0.8	23.0	118.0	regular	#1B4D3E
400.0	0.275	3191.43	238.35	10.0	471	0.8	23.0	118.0	regular	#1B4D3E
400.0	0.301	560.06	238.35	10.0	448	0.65	75.0	118.0	regular	#E5CCC9
400.0	2.278	2240.08	-1.65	4.0	448	0.55	75.0	118.0	regular	#E5CCC9
400.0	0.277	3021.13	238.35	7.0	471	0.75	23.0	118.0	regular	#1B4D3E
400.0	1.289	1696.43	235.05	5.0	448	1.0	75.0	118.0	regular	#E5CCC9
400.0	0.297	901.6	238.35	12.0	448	0.75	75.0	118.0	regular	#E5CCC9
400.0	2.267	3053.01	-1.65	4.0	345	0.7	19.0	118.0	regular	#D19FE8
400.0	0.269	3631.38	235.05	5.0	471	0.95	23.0	118.0	regular	#1B4D3E
400.0	2.269	2892.21	-1.65	4.0	345	0.65	19.0	118.0	regular	#D19FE8
400.0	1.280	2643.65	235.05	8.0	448	0.7	75.0	118.0	regular	#E5CCC9
400.0	1.270	3675.68	235.05	5.0	471	0.95	23.0	118.0	regular	#1B4D3E
400.0	0.271	3508.53	235.05	7.0	471	0.9	23.0	118.0	regular	#1B4D3E
400.0	2.260	3624.9	-1.65	2.0	345	0.7	19.0	118.0	regular	#D19FE8
400.0	0.295	1148.84	238.35	10.0	448	0.8	75.0	118.0	regular	#E5CCC9
400.0	2.277	2330.38	-1.65	4.0	345	0.5	19.0	118.0	regular	#D19FE8
400.0	2.286	1603.28	-1.65	4.0	448	0.7	75.0	118.0	regular	#E5CCC9
400.0	0.279	2803.37	238.35	6.0	471	0.7	23.0	118.0	regular	#1B4D3E
400.0	2.294	1198.35	227.06	11.0	448	0.85	75.0	118.0	regular	#E5CCC9
400.0	0.284	2317.54	235.05	7.0	448	0.75	75.0	118.0	regular	#E5CCC9
400.0	0.298	849.68	238.35	10.0	448	0.75	75.0	118.0	regular	#E5CCC9
400.0	2.291	1198.35	5.39	4.0	448	0.8	75.0	118.0	regular	#E5CCC9
400.0	1.285	2182.6	235.05	7.0	448	0.8	75.0	118.0	regular	#E5CCC9
400.0	2.274	2540.96	-1.65	5.0	345	0.6	19.0	118.0	regular	#D19FE8
400.0	2.281	2019.65	-1.65	4.0	448	0.55	75.0	118.0	regular	#E5CCC9
400.0	1.293	1316.68	235.05	8.0	448	0.85	75.0	118.0	regular	#E5CCC9
400.0	0.287	2082.86	235.05	7.0	448	0.85	75.0	118.0	regular	#E5CCC9
400.0	0.280	2759.3	238.35	7.0	471	0.7	23.0	118.0	regular	#1B4D3E
400.0	1.281	2575.04	235.05	8.0	448	0.7	75.0	118.0	regular	#E5CCC9
400.0	1.302	254.51	235.05	9.0	448	0.55	75.0	118.0	regular	#E5CCC9
400.0	0.278	2877.2	235.05	6.0	471	0.75	23.0	118.0	regular	#1B4D3E
400.0	2.289	1286.39	-1.65	5.0	448	0.8	75.0	118.0	regular	#E5CCC9
400.0	0.302	438.46	238.35	9.0	448	0.6	75.0	118.0	regular	#E5CCC9
400.0	0.294	1272.75	238.35	7.0	448	0.85	75.0	118.0	regular	#E5CCC9
400.0	2.301	431.5	231.75	9.0	448	0.6	75.0	118.0	regular	#E5CCC9
400.0	2.299	643.35	231.75	9.0	448	0.65	75.0	118.0	regular	#E5CCC9
400.0	1.290	1636.12	235.05	7.0	448	0.95	75.0	118.0	regular	#E5CCC9
400.0	2.300	591.32	231.75	10.0	448	0.65	75.0	118.0	regular	#E5CCC9
400.0	0.292	1486.85	238.35	7.0	448	0.9	75.0	118.0	regular	#E5CCC9
400.0	2.303	206.04	231.75	8.0	448	0.55	75.0	118.0	regular	#E5CCC9
400.0	2.304	49.52	231.75	4.0	497	1.0	1.0	118.0	regular	#E4D00A
400.0	1.300	456.1	235.05	9.0	448	0.6	75.0	118.0	regular	#E5CCC9
400.0	0.303	347.16	238.35	8.0	448	0.55	75.0	118.0	regular	#E5CCC9
400.0	1.304	60.92	235.05	5.0	448	0.5	75.0	118.0	regular	#E5CCC9
400.0	2.268	2952.2	-1.65	4.0	345	0.7	19.0	118.0	regular	#D19FE8
400.0	2.270	2773.03	-1.65	5.0	345	0.65	19.0	118.0	regular	#D19FE8
400.0	2.271	2736.83	-1.65	5.0	345	0.65	19.0	118.0	regular	#D19FE8
400.0	0.272	3409.6	235.05	8.0	471	0.9	23.0	118.0	regular	#1B4D3E
400.0	2.272	2688.14	-1.65	4.0	345	0.6	19.0	118.0	regular	#D19FE8
400.0	0.274	3263.68	238.35	9.0	471	0.85	23.0	118.0	regular	#1B4D3E
400.0	2.296	886.49	231.75	12.0	448	0.75	75.0	118.0	regular	#E5CCC9
