step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
100.0	2.183	2627.03	-1.65	5.0	181	2.46020912837	6.0	117.0	regular	#00CED1
100.0	2.187	2423.22	-1.65	4.0	181	1.48197111319	6.0	117.0	regular	#00CED1
100.0	1.185	3121.44	235.05	9.0	185	6.62433696259	11.0	117.0	regular	#00703C
100.0	2.184	2571.47	-1.65	5.0	181	3.09899720386	6.0	117.0	regular	#00CED1
100.0	0.186	3145.46	238.35	8.0	185	6.22974438725	11.0	117.0	regular	#00703C
100.0	0.187	3090.34	238.35	9.0	185	6.6362832417	11.0	117.0	regular	#00703C
100.0	1.189	2710.92	235.05	9.0	215	6.47124470422	13.0	117.0	regular	#EA3C53
100.0	0.189	2840.44	238.35	7.0	215	3.89574761114	13.0	117.0	regular	#EA3C53
100.0	2.188	2287.22	-1.65	4.0	205	0.471842774876	12.0	117.0	regular	#A95C68
100.0	2.189	2143.1	-1.65	4.0	205	1.813671453	12.0	117.0	regular	#A95C68
100.0	1.184	3199.05	235.05	9.0	185	6.6210802941	11.0	117.0	regular	#00703C
100.0	2.192	1974.23	-1.65	6.0	205	2.89977027219	12.0	117.0	regular	#A95C68
100.0	1.183	3266.36	235.05	9.0	185	5.57234211745	11.0	117.0	regular	#00703C
100.0	2.190	2102.29	-1.65	5.0	205	2.45782342735	12.0	117.0	regular	#A95C68
100.0	0.192	2664.28	238.35	11.0	215	7.67869054854	13.0	117.0	regular	#EA3C53
100.0	1.193	2412.28	235.05	7.0	215	1.97414989096	13.0	117.0	regular	#EA3C53
100.0	1.195	2253.07	235.05	7.0	163	3.77295167778	28.0	117.0	regular	#C23B22
100.0	2.194	1837.47	-1.65	5.0	205	2.61846738272	12.0	117.0	regular	#A95C68
100.0	2.195	1796.58	-1.65	6.0	205	3.21908896229	12.0	117.0	regular	#A95C68
100.0	1.196	2200.14	235.05	7.0	163	4.33340278557	28.0	117.0	regular	#C23B22
100.0	1.197	2131.72	235.05	8.0	163	4.93595819569	28.0	117.0	regular	#C23B22
100.0	2.197	1672.96	-1.65	5.0	205	2.45331580165	12.0	117.0	regular	#A95C68
100.0	0.198	2113.92	238.35	8.0	163	4.93023873847	28.0	117.0	regular	#C23B22
100.0	2.200	1402.49	-1.65	3.0	239	0.499292488512	4.0	117.0	regular	#C9FFE5
100.0	2.204	1198.35	98.55	11.0	238	1.32989593061	2.0	117.0	regular	#B284BE
100.0	0.204	1456.53	238.35	6.0	163	2.91850374245	28.0	117.0	regular	#C23B22
100.0	1.201	1639.56	235.05	6.0	163	3.03472186776	28.0	117.0	regular	#C23B22
100.0	2.201	1298.4	-1.65	5.0	239	0.0	4.0	117.0	regular	#C9FFE5
100.0	0.203	1569.43	238.35	6.0	163	3.04762180316	28.0	117.0	regular	#C23B22
100.0	0.197	2182.49	238.35	8.0	163	4.88531177506	28.0	117.0	regular	#C23B22
100.0	0.200	1959.6	238.35	6.0	163	3.06663169281	28.0	117.0	regular	#C23B22
100.0	2.198	1604.12	-1.65	4.0	205	1.79218267918	12.0	117.0	regular	#A95C68
100.0	1.205	1226.93	235.05	9.0	163	4.84993108229	28.0	117.0	regular	#C23B22
100.0	1.206	1119.91	235.05	10.0	163	5.03144842782	28.0	117.0	regular	#C23B22
100.0	1.192	2464.69	235.05	9.0	215	4.32549009763	13.0	117.0	regular	#EA3C53
100.0	0.196	2274.26	238.35	8.0	163	3.70598733387	28.0	117.0	regular	#C23B22
100.0	2.196	1743.32	-1.65	5.0	205	2.72511218455	12.0	117.0	regular	#A95C68
100.0	2.193	1922.75	-1.65	6.0	205	2.8295021556	12.0	117.0	regular	#A95C68
100.0	1.194	2368.46	235.05	8.0	163	1.92939887262	28.0	117.0	regular	#C23B22
100.0	1.187	2923.84	235.05	7.0	185	1.54895367282	11.0	117.0	regular	#00703C
100.0	1.188	2818.87	235.05	8.0	215	4.83732826637	13.0	117.0	regular	#EA3C53
100.0	1.186	3075.72	235.05	9.0	185	6.62381602126	11.0	117.0	regular	#00703C
100.0	2.185	2518.2	-1.65	5.0	181	3.09349394936	6.0	117.0	regular	#00CED1
100.0	2.186	2482.4	-1.65	6.0	181	3.08623441477	6.0	117.0	regular	#00CED1
100.0	0.188	3045.23	238.35	7.0	185	4.58231889021	11.0	117.0	regular	#00703C
100.0	0.190	2774.05	235.05	9.0	215	5.67264241046	13.0	117.0	regular	#EA3C53
100.0	2.191	2052.49	-1.65	4.0	205	2.16191595517	12.0	117.0	regular	#A95C68
100.0	0.182	3531.8	238.35	7.0	170	3.90236818327	7.0	117.0	regular	#560319
100.0	0.183	3459.09	235.05	6.0	170	2.33449407735	7.0	117.0	regular	#560319
100.0	1.181	3503.36	235.05	5.0	170	2.47913922151	7.0	117.0	regular	#560319
100.0	1.182	3351.6	235.05	7.0	185	1.64588008832	11.0	117.0	regular	#00703C
100.0	2.182	2672.59	-1.65	6.0	181	2.30145087286	6.0	117.0	regular	#00CED1
100.0	0.180	3722.24	238.35	4.0	170	2.49097214846	7.0	117.0	regular	#560319
100.0	0.181	3616.42	238.35	6.0	170	3.83854233974	7.0	117.0	regular	#560319
100.0	1.179	3723.31	235.05	4.0	170	2.49281551474	7.0	117.0	regular	#560319
100.0	1.180	3593.7	235.05	6.0	170	3.8364841205	7.0	117.0	regular	#560319
100.0	2.179	2927.88	-1.65	3.0	164	1.56734821936	4.0	117.0	regular	#003399
100.0	2.180	2862.98	-1.65	4.0	164	1.6787355367	4.0	117.0	regular	#003399
100.0	2.181	2818.08	-1.65	5.0	164	1.56334166113	4.0	117.0	regular	#003399
