step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
276.0	2.227	3323.93	-1.65	2.0	340	0.0	9.0	27.0	regular	#C32148
276.0	2.264	281.24	231.75	10.0	412	6.8181212836	49.0	85.0	regular	#664423
276.0	0.261	622.95	238.35	11.0	412	6.52004517222	49.0	85.0	regular	#664423
276.0	2.228	3236.33	-1.65	3.0	340	0.619047619048	9.0	27.0	regular	#C32148
276.0	2.251	1198.35	6.95	2.0	412	0.47619047619	49.0	85.0	regular	#664423
276.0	2.253	1198.35	44.06	4.0	412	1.20833333333	49.0	85.0	regular	#664423
276.0	0.252	1484.26	238.35	7.0	412	3.91906850459	49.0	85.0	regular	#664423
276.0	0.257	941.15	238.35	12.0	412	7.13451910408	49.0	85.0	regular	#664423
276.0	1.265	104.51	235.05	6.0	412	4.19184981685	49.0	85.0	regular	#664423
276.0	0.233	3659.6	235.05	5.0	332	3.66993006993	6.0	85.0	regular	#006A4E
276.0	1.261	558.35	235.05	10.0	412	6.35974025974	49.0	85.0	regular	#664423
276.0	1.235	3370.62	235.05	6.0	365	3.23076923077	8.0	85.0	regular	#8A3324
276.0	1.251	1519.34	235.05	7.0	412	3.91906850459	49.0	85.0	regular	#664423
276.0	0.234	3598.71	238.35	6.0	332	3.72943722944	6.0	85.0	regular	#006A4E
276.0	1.258	843.29	235.05	11.0	412	7.61961227179	49.0	85.0	regular	#664423
276.0	1.260	682.42	235.05	12.0	412	7.44235836627	49.0	85.0	regular	#664423
276.0	1.263	387.06	235.05	11.0	412	6.51066302119	49.0	85.0	regular	#664423
276.0	2.236	2586.74	-1.65	4.0	317	1.75	4.0	27.0	regular	#333399
276.0	1.236	3244.42	235.05	7.0	365	3.99267399267	8.0	85.0	regular	#8A3324
276.0	1.262	504.37	235.05	10.0	412	6.0344041923	49.0	85.0	regular	#664423
276.0	2.240	2131.34	-1.65	3.0	404	0.666666666667	4.0	27.0	regular	#4D5D53
276.0	2.238	2335.37	-1.65	2.0	390	0.733333333333	3.0	27.0	regular	#EB4C42
276.0	0.251	1580.69	238.35	7.0	412	3.25119047619	49.0	85.0	regular	#664423
276.0	1.240	2704.85	235.05	6.0	383	3.42424242424	7.0	85.0	regular	#E4717A
276.0	1.244	2238.5	235.05	8.0	344	4.92429971989	13.0	85.0	regular	#D19FE8
276.0	2.234	2694.16	-1.65	4.0	317	1.75	4.0	27.0	regular	#333399
276.0	2.233	2760.63	-1.65	4.0	317	1.75	4.0	27.0	regular	#333399
276.0	2.242	2028.74	-1.65	3.0	404	1.28571428571	4.0	27.0	regular	#4D5D53
276.0	1.233	3562.49	235.05	8.0	332	3.27472527473	6.0	85.0	regular	#006A4E
276.0	2.261	551.03	231.75	10.0	412	6.35974025974	49.0	85.0	regular	#664423
276.0	0.259	801.47	238.35	12.0	412	8.18741765481	49.0	85.0	regular	#664423
276.0	1.239	2847.63	235.05	5.0	383	1.45454545455	7.0	85.0	regular	#E4717A
276.0	1.237	3154.65	235.05	6.0	365	2.02214452214	8.0	85.0	regular	#8A3324
276.0	2.237	2442.92	-1.65	4.0	390	0.619047619048	3.0	27.0	regular	#EB4C42
276.0	0.245	2284.3	235.05	8.0	344	4.92429971989	13.0	85.0	regular	#D19FE8
276.0	2.262	415.73	231.75	10.0	412	5.94586466165	49.0	85.0	regular	#664423
276.0	0.238	3087.41	235.05	5.0	365	1.42424242424	8.0	85.0	regular	#8A3324
276.0	2.235	2631.0	-1.65	4.0	317	1.75	4.0	27.0	regular	#333399
276.0	0.241	2653.66	238.35	6.0	383	3.42424242424	7.0	85.0	regular	#E4717A
276.0	0.254	1333.62	238.35	11.0	412	6.63351131452	49.0	85.0	regular	#664423
276.0	2.256	1109.19	231.75	11.0	412	7.09420289855	49.0	85.0	regular	#664423
276.0	1.253	1322.0	235.05	12.0	412	7.37167048055	49.0	85.0	regular	#664423
276.0	0.263	428.63	238.35	11.0	412	6.44848484848	49.0	85.0	regular	#664423
276.0	2.246	1626.33	-1.65	5.0	413	2.49444444444	7.0	27.0	regular	#A2006D
276.0	0.258	893.37	238.35	10.0	412	6.4632034632	49.0	85.0	regular	#664423
276.0	2.263	339.01	231.75	9.0	412	5.54613003096	49.0	85.0	regular	#664423
276.0	1.234	3432.23	235.05	7.0	365	2.12087912088	8.0	85.0	regular	#8A3324
276.0	2.249	1440.48	-1.65	4.0	413	2.34920634921	7.0	27.0	regular	#A2006D
276.0	0.249	1945.78	238.35	7.0	344	2.88232600733	13.0	85.0	regular	#D19FE8
276.0	0.250	1761.25	238.35	5.0	412	1.53333333333	49.0	85.0	regular	#664423
276.0	1.246	2139.65	235.05	9.0	344	5.38281979458	13.0	85.0	regular	#D19FE8
276.0	2.244	1811.94	-1.65	3.0	413	0.75	7.0	27.0	regular	#A2006D
276.0	0.256	1135.43	238.35	13.0	412	8.53333333333	49.0	85.0	regular	#664423
276.0	1.250	1670.34	235.05	5.0	412	2.13333333333	49.0	85.0	regular	#664423
276.0	2.248	1509.82	-1.65	5.0	413	2.96666666667	7.0	27.0	regular	#A2006D
276.0	0.260	714.48	238.35	12.0	412	7.42687747036	49.0	85.0	regular	#664423
276.0	1.259	795.69	235.05	12.0	412	8.18741765481	49.0	85.0	regular	#664423
276.0	1.242	2549.17	235.05	6.0	383	2.37878787879	7.0	85.0	regular	#E4717A
276.0	2.259	771.59	231.75	11.0	412	7.45322793149	49.0	85.0	regular	#664423
276.0	1.247	1970.49	235.05	5.0	344	2.87878787879	13.0	85.0	regular	#D19FE8
276.0	2.239	2285.94	-1.65	3.0	390	0.685714285714	3.0	27.0	regular	#EB4C42
276.0	0.240	2801.12	235.05	6.0	383	2.09090909091	7.0	85.0	regular	#E4717A
276.0	2.245	1701.63	-1.65	5.0	413	1.9	7.0	27.0	regular	#A2006D
276.0	0.239	2982.76	238.35	5.0	391	0.8	2.0	85.0	regular	#FF0038
276.0	1.248	1904.79	235.05	6.0	344	2.17622377622	13.0	85.0	regular	#D19FE8
276.0	1.238	2996.77	235.05	5.0	391	0.8	2.0	85.0	regular	#FF0038
276.0	2.265	172.51	231.75	7.0	412	4.95610859729	49.0	85.0	regular	#664423
276.0	2.231	2998.03	-1.65	3.0	340	1.19047619048	9.0	27.0	regular	#C32148
276.0	2.229	3109.32	-1.65	3.0	340	1.2380952381	9.0	27.0	regular	#C32148
276.0	1.231	3728.66	235.05	5.0	332	3.66993006993	6.0	85.0	regular	#006A4E
276.0	2.232	2851.47	-1.65	4.0	340	0.535714285714	9.0	27.0	regular	#C32148
276.0	2.230	3051.07	-1.65	4.0	340	1.67857142857	9.0	27.0	regular	#C32148
276.0	2.243	1893.73	-1.65	4.0	404	0.571428571429	4.0	27.0	regular	#4D5D53
276.0	0.232	3720.74	238.35	5.0	332	3.66993006993	6.0	85.0	regular	#006A4E
276.0	1.232	3612.32	235.05	6.0	332	3.72943722944	6.0	85.0	regular	#006A4E
276.0	2.226	3496.51	-1.65	2.0	340	0.0	9.0	27.0	regular	#C32148
276.0	0.235	3395.26	238.35	6.0	365	3.23076923077	8.0	85.0	regular	#8A3324
276.0	0.243	2399.28	238.35	6.0	344	2.15201465201	13.0	85.0	regular	#D19FE8
276.0	0.237	3227.24	238.35	6.0	365	3.29953379953	8.0	85.0	regular	#8A3324
276.0	0.236	3289.0	235.05	6.0	365	3.5641025641	8.0	85.0	regular	#8A3324
276.0	2.260	673.5	231.75	12.0	412	7.44235836627	49.0	85.0	regular	#664423
276.0	1.257	981.33	235.05	12.0	412	6.764914361	49.0	85.0	regular	#664423
276.0	1.245	2186.12	235.05	7.0	344	4.56547619048	13.0	85.0	regular	#D19FE8
276.0	2.241	2081.19	-1.65	3.0	404	1.28571428571	4.0	27.0	regular	#4D5D53
276.0	0.242	2558.14	238.35	6.0	383	2.37878787879	7.0	85.0	regular	#E4717A
276.0	2.247	1567.86	-1.65	5.0	413	2.96666666667	7.0	27.0	regular	#A2006D
276.0	2.250	1401.44	-1.65	3.0	413	1.57142857143	7.0	27.0	regular	#A2006D
276.0	0.262	546.56	238.35	10.0	412	6.35974025974	49.0	85.0	regular	#664423
276.0	1.254	1278.02	235.05	12.0	412	8.15053830228	49.0	85.0	regular	#664423
276.0	0.248	2001.42	238.35	7.0	344	3.93177655678	13.0	85.0	regular	#D19FE8
276.0	0.247	2103.82	238.35	9.0	344	5.19038281979	13.0	85.0	regular	#D19FE8
276.0	0.246	2195.18	238.35	7.0	344	4.56547619048	13.0	85.0	regular	#D19FE8
276.0	1.255	1128.55	235.05	12.0	412	7.83289855072	49.0	85.0	regular	#664423
