step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
450.0	_h5_4339	41360.17	31466.92	0.0	133997	0.0	1.0	1.0	regular	#707070
450.0	_h5_4338	21933.66	22475.26	3.0	2	2.0	78.0	61.0	regular	#7FFF00
450.0	_h5_4310	21933.49	22471.82	3.0	2	2.0	78.0	61.0	regular	#7FFF00
450.0	_h6_202	22413.41	18829.19	18.0	15	17.0	147.0	123.0	regular	#FF3800
450.0	_h5_4448	24494.11	19255.11	15.0	15	15.0	147.0	123.0	regular	#FF3800
450.0	_h5_3792	25226.13	24843.5	19.0	3	19.0	80.0	20.0	regular	#FF7F50
450.0	_h5_4347	23708.86	25598.36	2.0	3	2.0	80.0	3.0	regular	#FF7F50
450.0	_h5_4324	24466.8	19218.8	17.0	15	17.0	147.0	123.0	regular	#FF3800
450.0	_h5_4333	21390.15	18956.28	12.0	19	12.0	81.0	123.0	regular	#E4D00A
450.0	_h5_4365	21436.63	18955.5	12.0	19	12.0	81.0	123.0	regular	#E4D00A
450.0	_h5_4332	22503.33	18843.38	15.0	15	15.0	147.0	123.0	regular	#FF3800
450.0	_h5_4209	22459.23	18990.63	16.0	15	16.0	147.0	123.0	regular	#FF3800
450.0	_h5_4280	22302.87	18858.01	14.0	15	12.0	147.0	123.0	regular	#FF3800
450.0	_h6_1462	40910.21	30420.25	12.0	75	12.0	291.0	214.0	regular	#FFFDD0
450.0	_h5_4331	9919.56	25702.97	1.0	2810	1.0	106.0	2.0	regular	#EEDC82
450.0	_h6_1307	22641.86	27265.95	0.0	134182	0.0	1.0	1.0	regular	#707070
450.0	_h6_1222	39393.45	29389.95	8.0	75	8.0	291.0	214.0	regular	#FFFDD0
450.0	_h5_4631	22488.66	22223.37	4.0	2	4.0	78.0	52.0	regular	#7FFF00
450.0	_h6_1549	20919.05	13161.5	6.0	5	6.0	100.0	79.0	regular	#FF004F
450.0	_h5_4330	32408.35	25583.64	5.0	44	5.0	109.0	8.0	regular	#9EA91F
450.0	_h6_1265	24155.4	21989.85	1.0	19	1.0	81.0	2.0	regular	#E4D00A
450.0	_h5_4337	9864.63	26168.68	2.0	2810	2.0	106.0	3.0	regular	#EEDC82
450.0	_h6_1781	18694.07	27903.08	3.0	136	3.0	56.0	12.0	regular	#03C03C
450.0	_h6_979	19698.81	19314.85	18.0	260	18.0	357.0	149.0	regular	#FF8C00
450.0	_h6_783	42392.21	28664.29	0.0	134117	0.0	1.0	1.0	regular	#707070
450.0	_h6_1194	19740.19	17936.89	11.0	260	11.0	357.0	149.0	regular	#FF8C00
450.0	_h5_4378	9853.6	26305.5	2.0	2810	2.0	106.0	3.0	regular	#EEDC82
450.0	_h5_4336	33709.59	26673.39	9.0	75	9.0	291.0	91.0	regular	#FFFDD0
450.0	_h6_1703	15640.86	14055.85	8.0	260	8.0	357.0	138.0	regular	#FF8C00
450.0	_h5_3818	21593.66	11776.37	7.0	5	7.0	100.0	25.0	regular	#FF004F
450.0	_h5_3819	21597.01	11763.6	7.0	5	7.0	100.0	25.0	regular	#FF004F
450.0	_h5_4049	32536.27	21822.16	6.0	74	6.0	65.0	45.0	regular	#1B1B1B
