step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	size_distribution	modularity	com_modularity	iterations	iteration_modularities
0	1126	1701	280	846	3.0213143825531006	280,193,127,117,115,89,65,35,31,20,14,11,14,9,1,4,1,	24.0	0.4448214973303781	435	2.5885057	79	62	2.5885057	510	2.207843	22	11	1	104	2.551616	0,308,92,37,19,14,7,11,5,5,1,1,1,3,2,0,2,0,0,1,0,0,1,	0.9455709733977404	0.8372038649326513	1	0.8372038649326513,
1	1128	1732	272	856	3.0709218978881836	272,201,127,107,116,87,71,37,32,23,12,18,13,6,2,3,1,	23.0	0.44014272272251026	428	2.635514	82	54	2.635514	468	2.4102564	25	11	1	717	2.9446104	0,279,76,36,20,13,5,10,2,9,4,4,1,2,1,1,2,0,1,0,0,1,0,0,0,1,	0.9450707774856107	0.9105317511960697	1	0.9105317511960697,
2	1128	1746	275	853	3.0957446098327637	275,204,120,107,112,88,60,51,27,22,18,21,14,4,0,3,2,	23.0	0.4364703755661205	430	2.6232557	82	55	2.6232557	462	2.4415584	25	11	1	928	3.0879803	0,275,80,32,17,16,3,8,6,6,2,1,7,1,2,0,1,1,1,0,1,1,0,0,0,1,	0.9446373251772325	0.9229379147099763	1	0.9229379147099763,
3	1129	1742	277	852	3.085916757583618	277,206,118,103,120,82,70,37,27,22,21,29,12,0,0,3,2,	15.0	0.4370441732266362	434	2.6013825	60	55	2.6013825	462	2.443723	25	11	1	1240	3.1997955	0,278,79,33,14,16,4,7,7,5,1,2,5,2,3,0,0,2,1,0,0,0,1,0,0,2,	0.9522692551549442	0.929906240237478	1	0.929906240237478,
4	1135	1767	270	865	3.1136562824249268	270,210,127,97,116,83,72,43,27,27,19,30,8,0,1,2,3,	15.0	0.4435213709442788	433	2.621247	60	56	2.621247	457	2.4835887	25	11	1	1587	3.3093855	0,272,80,36,11,15,5,7,6,6,1,2,3,2,2,1,2,2,0,0,1,0,1,0,0,2,	0.9545996542920926	0.9349341140426148	1	0.9349341140426148,
5	1138	1762	274	864	3.096660852432251	274,205,133,97,116,80,75,47,20,25,20,37,3,1,0,2,3,	15.0	0.4481062825087435	437	2.604119	51	65	2.604119	457	2.490153	25	11	1	1801	3.3750262	0,277,77,35,9,15,7,5,5,5,4,1,4,1,3,1,2,2,0,0,0,0,2,0,0,2,	0.956279045198098	0.9367400900071001	1	0.9367400900071001,
6	1141	1779	275	866	3.1183173656463623	275,205,128,97,124,78,70,46,26,26,21,35,3,2,0,1,4,	16.0	0.45154699230071776	439	2.599089	51	67	2.599089	453	2.5187638	25	11	1	2035	3.4542172	0,276,72,37,9,16,6,5,5,3,5,1,5,0,3,2,2,0,2,0,0,0,1,1,0,2,	0.9574117625498395	0.9435813679107409	1	0.9435813679107409,
7	1148	1797	273	875	3.130661964416504	273,197,144,96,120,88,61,42,40,26,18,29,8,1,0,1,4,	17.0	0.45887907582158477	435	2.6390805	43	10	2.6390805	451	2.5454545	25	11	1	2241	3.5301301	0,273,72,36,14,13,6,5,4,2,6,3,4,0,4,1,1,1,1,0,0,1,1,0,0,3,	0.9600524462801858	0.9450139337528161	1	0.9450139337528161,
8	1147	1791	271	876	3.122929334640503	271,203,142,103,113,81,57,46,48,24,18,26,10,0,0,1,4,	16.0	0.45646784195171314	435	2.6367817	45	28	2.6367817	450	2.548889	25	11	1	2508	3.5377142	0,272,73,33,18,11,6,3,5,5,3,5,3,0,5,0,1,1,1,0,0,1,0,1,0,3,	0.9594264516951672	0.9410348161179379	1	0.9410348161179379,
9	1151	1799	274	877	3.1259775161743164	274,198,154,107,93,91,48,53,53,22,11,30,10,2,0,3,2,	15.0	0.46428114794752506	440	2.615909	49	69	2.615909	450	2.557778	25	11	1	2800	3.5488942	0,274,71,30,18,14,6,4,4,5,6,1,1,4,3,1,1,0,1,2,0,0,0,1,0,3,	0.9589312325635779	0.9405946605504071	1	0.9405946605504071,
10	1159	1810	277	882	3.123382329940796	277,202,150,115,90,81,56,64,38,28,8,29,13,3,1,4,	17.0	0.4546999879614199	442	2.6221719	49	70	2.6221719	455	2.5472527	25	11	1	3234	3.5298395	0,278,71,31,18,15,5,4,5,4,3,4,1,3,3,2,1,0,2,0,1,0,0,2,0,2,	0.9597356613046015	0.9437218033637566	1	0.9437218033637566,
11	1164	1814	278	886	3.1168384552001953	278,196,161,117,94,70,58,61,44,27,13,23,14,4,0,4,	16.0	0.4646583942975693	444	2.6216216	45	10	2.6216216	455	2.5582418	25	11	1	3521	3.5860126	0,278,70,34,18,14,4,4,4,4,4,3,2,1,5,0,2,1,1,1,1,0,0,2,0,2,	0.965174697835894	0.9459526480917139	1	0.9459526480917139,
12	1168	1840	288	880	3.1506848335266113	288,187,160,117,87,67,62,67,47,27,12,25,10,8,0,4,	17.0	0.45995157810226295	445	2.6247191	52	59	2.6247191	459	2.5446622	25	11	1	3552	3.6428535	0,288,66,32,21,11,3,2,6,5,4,3,1,2,4,1,1,2,1,0,1,0,1,2,0,2,	0.9621668241965968	0.9428782195179587	1	0.9428782195179587,
13	1172	1871	287	885	3.1928327083587646	287,193,148,118,92,65,57,73,47,32,14,21,12,9,3,1,	16.0	0.4663033544006241	450	2.6044445	52	62	2.6044445	455	2.5758243	26	11	1	4075	3.820053	0,289,65,31,16,13,3,3,7,1,4,3,0,2,6,2,0,3,1,0,1,0,0,1,1,0,3,	0.9641194284132552	0.9518115396580233	1	0.9518115396580233,
14	1177	1875	286	891	3.1860663890838623	286,189,159,122,78,71,66,69,51,20,20,23,12,8,3,	14.0	0.47119774872536135	448	2.627232	41	79	2.627232	452	2.6039822	27	11	1	4138	3.8932862	0,289,64,29,16,10,5,3,6,3,3,2,2,2,5,3,0,2,2,0,1,0,0,1,1,0,2,1,	0.9678592000000035	0.9520456533333339	1	0.9520456533333339,
15	1179	1906	284	895	3.233248472213745	284,182,157,126,72,80,69,74,47,26,12,24,17,6,3,	19.0	0.4763193267010059	444	2.6554055	47	12	2.6554055	446	2.6434977	27	11	1	4665	3.9423702	0,286,59,32,14,8,6,3,7,5,3,1,1,3,4,2,2,2,2,0,1,0,0,2,0,0,2,1,	0.966277035351996	0.9538516189555496	1	0.9538516189555496,
16	1187	1932	289	898	3.255265474319458	289,186,146,124,83,66,84,69,42,31,20,24,16,4,3,	14.0	0.47268002988306307	449	2.6436527	41	82	2.6436527	448	2.6495535	27	11	1	4902	3.992717	0,289,60,29,14,10,5,5,6,1,5,2,0,3,3,4,2,1,1,1,2,0,1,1,0,0,2,1,	0.9679158683006883	0.9566733750841224	1	0.9566733750841224,
17	1191	1926	291	900	3.2342569828033447	291,192,142,115,89,69,97,57,39,35,21,25,13,3,3,	14.0	0.4661313870381885	452	2.6349556	43	1	2.6349556	450	2.6466668	27	11	1	5111	4.0124583	0,294,59,26,16,8,6,3,8,1,4,2,0,3,3,4,3,1,2,1,1,0,2,0,0,0,1,2,	0.9679388679155739	0.9542969141733214	1	0.9542969141733214,
18	1196	1907	290	906	3.1889631748199463	290,195,148,110,100,81,78,58,39,37,20,21,12,4,3,	10.0	0.46133195121489445	452	2.6460178	42	81	2.6460178	447	2.6756153	29	11	1	5393	4.0512314	0,290,60,26,15,6,9,2,8,1,5,2,1,3,1,4,4,2,1,2,0,0,2,0,0,0,1,1,0,1,	0.9710763947799212	0.9521222697048854	1	0.9521222697048854,
19	1199	1901	293	906	3.170975923538208	293,202,138,110,110,73,89,50,35,37,19,26,9,4,4,	17.0	0.4592124398629819	459	2.6122005	43	31	2.6122005	450	2.6644444	32	65	1	5761	4.090385	0,293,62,24,16,6,7,3,7,3,4,2,0,3,2,5,5,1,0,2,0,0,1,1,0,0,1,0,1,0,0,0,1,	0.9705719822425227	0.9492113705209562	1	0.9492113705209562,
20	1201	1894	287	914	3.154038190841675	287,199,149,116,111,75,87,44,37,38,14,23,15,1,5,	18.0	0.4608221642359863	454	2.6453745	39	30	2.6453745	446	2.692825	33	65	1	6085	4.1588993	0,289,63,24,14,6,8,2,8,2,3,4,2,2,1,5,4,2,0,1,0,0,2,1,0,0,1,0,1,0,0,0,0,1,	0.9707680230684538	0.9431540049218943	1	0.9431540049218943,
21	1207	1911	291	916	3.1665287017822266	291,192,151,114,110,92,77,45,44,32,17,21,11,5,4,1,	26.0	0.4659187172028934	456	2.6469297	74	5	2.6469297	446	2.706278	33	65	1	6278	4.2591667	0,291,62,26,12,6,7,3,5,4,2,3,3,3,1,6,2,0,0,3,1,0,1,1,1,0,1,0,1,0,0,0,0,1,	0.9609895723374068	0.9424763021982128	1	0.9424763021982128,
22	1212	1922	297	915	3.171617269515991	297,191,137,123,108,101,74,52,39,33,10,27,8,7,3,2,	31.0	0.4642803428694516	458	2.6462882	84	5	2.6462882	449	2.6993318	33	65	1	6581	4.327139	0,298,64,22,9,6,6,5,5,3,2,4,2,3,1,6,3,0,0,1,2,1,1,1,1,0,1,0,0,1,0,0,0,1,	0.956617120780143	0.943816653871433	1	0.943816653871433,
23	1214	1932	302	912	3.1828665733337402	302,185,135,117,115,107,71,48,44,34,11,27,5,7,5,1,	31.0	0.4673172836681896	463	2.6220303	84	5	2.6220303	450	2.6977777	33	65	1	6930	4.4728575	0,302,63,21,8,9,2,5,7,4,1,3,3,2,2,5,2,2,0,0,1,1,2,0,0,0,1,1,0,1,0,0,0,2,	0.957601408553336	0.9304873729580041	1	0.9304873729580041,
24	1215	1944	307	908	3.200000047683716	307,178,129,131,103,109,83,43,36,38,13,20,12,6,4,3,	17.0	0.4755373022039687	465	2.612903	45	64	2.612903	452	2.6880531	36	61	1	7253	4.5898314	0,308,59,21,10,7,4,5,6,3,1,1,5,2,3,4,3,0,1,0,1,2,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,	0.9639097402157556	0.9497823047384376	1	0.9497823047384376,
25	1222	1977	298	924	3.2356791496276855	298,188,125,135,111,99,94,42,36,31,16,19,8,5,8,7,	13.0	0.47566763115044597	461	2.6507592	41	86	2.6507592	447	2.7337809	38	61	1	7452	4.7031426	0,298,62,24,8,9,3,4,9,1,1,1,6,1,3,4,2,1,1,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,	0.9672027507023762	0.9486783902588422	1	0.9486783902588422,
26	1224	1972	297	927	3.222222328186035	297,193,117,134,111,117,87,46,34,25,15,21,7,7,6,7,	13.0	0.47372111820641194	460	2.6608696	41	86	2.6608696	448	2.732143	38	61	1	7835	4.7231774	0,299,64,24,8,8,3,3,9,1,1,1,4,1,3,3,2,4,1,0,0,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,	0.9663925792741401	0.9465372723195743	1	0.9465372723195743,
