step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
330.0	_h5_4339	40971.05	31451.24	0.0	192545	1.0	1.0	1.0	regular	#707070
330.0	_h5_4338	21079.93	22121.19	2.0	415	-1.7	43.0	5.0	regular	#664C28
330.0	_h5_4310	21092.79	22123.83	2.0	415	-1.75	43.0	5.0	regular	#664C28
330.0	_h6_202	19832.19	19468.8	11.0	52332	0.5	160.0	412.0	regular	#563C5C
330.0	_h5_4448	26082.16	23076.8	6.0	164752	0.55	29.0	89.0	regular	#C74375
330.0	_h5_3792	25623.69	25239.12	13.0	78	0.95	44.0	89.0	regular	#91A3B0
330.0	_h5_4347	25949.46	27044.51	2.0	156894	0.95	23.0	3.0	regular	#FF0038
330.0	_h5_4324	26059.36	23008.89	5.0	164752	0.55	29.0	89.0	regular	#C74375
330.0	_h5_4333	24729.22	19608.96	9.0	131102	0.45	111.0	412.0	regular	#FF00FF
330.0	_h5_4365	24748.23	19647.52	9.0	131102	0.45	111.0	412.0	regular	#FF00FF
330.0	_h5_4332	25193.18	20464.43	8.0	172301	0.55	24.0	412.0	regular	#E52B50
330.0	_h5_4209	24994.39	20148.09	6.0	172301	0.6	24.0	412.0	regular	#E52B50
330.0	_h5_4280	25168.75	20429.19	8.0	172301	0.6	24.0	412.0	regular	#E52B50
330.0	_h6_1462	44077.73	32183.15	6.0	121761	0.4	81.0	212.0	regular	#FF0800
330.0	_h5_4331	11797.34	24833.89	2.0	4835	0.45	37.0	13.0	regular	#986960
330.0	_h6_1307	22669.5	28715.27	2.0	155231	0.95	6.0	6.0	regular	#9B870C
330.0	_h6_1222	42656.07	31600.96	13.0	121761	0.75	81.0	212.0	regular	#FF0800
330.0	_h5_4631	22382.81	23096.31	23.0	313	0.95	36.0	47.0	regular	#801818
330.0	_h5_3684	18849.9	22168.94	2.0	185018	0.95	3.0	17.0	regular	#918151
330.0	_h5_4330	31898.28	22571.56	1.0	125410	-0.05	73.0	2.0	regular	#704241
330.0	_h6_1265	23516.85	21296.69	5.0	147291	0.95	34.0	34.0	regular	#0070FF
330.0	_h5_4337	10872.14	24949.66	5.0	4835	0.8	37.0	28.0	regular	#986960
330.0	_h5_3594	14230.97	24951.22	0.0	192123	1.0	1.0	1.0	regular	#707070
330.0	_h6_979	17498.51	16367.65	14.0	52332	0.65	160.0	412.0	regular	#563C5C
330.0	_h6_783	42271.24	30662.41	9.0	74977	0.85	39.0	212.0	regular	#FFE135
330.0	_h6_1194	16656.5	15230.94	13.0	52332	0.4	160.0	412.0	regular	#563C5C
330.0	_h5_4378	10675.51	24945.42	6.0	4835	0.85	37.0	28.0	regular	#986960
330.0	_h5_4336	29610.11	26205.46	5.0	51	0.8	34.0	30.0	regular	#03C03C
330.0	_h5_3703	18406.23	22730.61	1.0	172145	0.05	2.0	2.0	regular	#CC6666
330.0	_h5_3818	20874.11	12949.1	10.0	146814	0.65	81.0	43.0	regular	#C19A6B
330.0	_h5_3819	20813.11	12686.06	7.0	146814	0.6	81.0	43.0	regular	#C19A6B
330.0	_h5_4049	30886.76	22497.49	0.0	192457	1.0	1.0	1.0	regular	#707070
330.0	_h6_1495	14575.7	13111.79	10.0	165568	0.85	114.0	412.0	regular	#00B7EB
330.0	_h6_1439	33738.55	18776.45	8.0	125410	0.2	73.0	30.0	regular	#704241
330.0	_h5_3849	17367.82	16239.96	20.0	52332	0.6	160.0	412.0	regular	#563C5C
330.0	_h5_3860	17146.07	15947.8	12.0	52332	0.55	160.0	412.0	regular	#563C5C
330.0	_h5_4335	33894.27	26689.94	2.0	938	0.2	53.0	4.0	regular	#FEFEFA
330.0	_h6_1463	22019.63	11698.81	1.0	146814	0.5	81.0	36.0	regular	#C19A6B
330.0	_h5_4334	24509.27	24121.62	10.0	158	1.0	37.0	47.0	regular	#A2006D
330.0	_h5_4308	24331.3	24657.57	3.0	158	0.7	37.0	47.0	regular	#A2006D
330.0	_h5_4724	18215.75	24514.02	4.0	127345	0.9	33.0	18.0	regular	#696969
330.0	_h6_1169	18659.66	27887.48	4.0	177728	0.65	25.0	5.0	regular	#FF1493
330.0	_h6_1127	23287.52	21281.62	11.0	147291	1.0	34.0	34.0	regular	#0070FF
330.0	_h5_4730	24849.54	19813.05	7.0	131102	0.4	111.0	412.0	regular	#FF00FF
330.0	_h5_4725	26146.93	23517.54	12.0	164752	0.55	29.0	89.0	regular	#C74375
330.0	_h5_4743	26153.6	23409.99	9.0	164752	0.6	29.0	89.0	regular	#C74375
330.0	_h5_4689	31738.66	21836.23	12.0	125410	0.9	73.0	32.0	regular	#704241
330.0	_h5_4134	31643.42	21898.48	9.0	125410	0.9	73.0	32.0	regular	#704241
330.0	_h5_4688	26310.24	25633.26	7.0	78	0.75	44.0	89.0	regular	#91A3B0
330.0	_h5_4720	16334.3	10992.93	0.0	192065	1.0	1.0	1.0	regular	#707070
330.0	_h5_4700	15910.29	11320.12	0.0	192433	1.0	1.0	1.0	regular	#707070
330.0	_h5_4721	22430.5	19290.57	2.0	131102	0.85	111.0	412.0	regular	#FF00FF
330.0	_h5_4749	23140.9	18874.59	9.0	131102	0.8	111.0	412.0	regular	#FF00FF
330.0	_h5_4722	21562.32	18236.4	1.0	131102	-0.4	111.0	2.0	regular	#FF00FF
330.0	_h5_4638	23459.83	23588.51	6.0	313	0.2	36.0	47.0	regular	#801818
330.0	_h5_4723	30725.73	25863.65	5.0	140	0.95	36.0	11.0	regular	#856D4D
330.0	_h6_1170	43093.93	30595.8	6.0	74977	0.9	39.0	212.0	regular	#FFE135
330.0	_h5_4620	31128.91	25940.22	4.0	140	0.95	36.0	11.0	regular	#856D4D
330.0	_h5_4642	31233.95	25970.88	3.0	140	0.9	36.0	11.0	regular	#856D4D
330.0	_h5_4741	30558.21	25863.23	5.0	140	0.9	36.0	11.0	regular	#856D4D
330.0	_h5_4745	30816.18	25873.71	5.0	140	0.95	36.0	11.0	regular	#856D4D
330.0	_h5_4779	30940.55	25897.42	6.0	140	1.0	36.0	11.0	regular	#856D4D
330.0	_h6_1221	15196.21	13910.57	14.0	165568	0.7	114.0	412.0	regular	#00B7EB
330.0	_h5_4644	26180.31	24140.67	6.0	181429	0.15	12.0	89.0	regular	#0072BB
330.0	_h5_4682	33498.95	23653.44	0.0	191961	1.0	1.0	1.0	regular	#707070
330.0	_h6_1418	6026.31	15971.36	1.0	191522	1.0	2.0	2.0	regular	#DA3287
330.0	_h5_4680	30369.31	25891.79	3.0	140	0.9	36.0	11.0	regular	#856D4D
330.0	_h5_4735	30411.85	25882.42	3.0	140	0.9	36.0	11.0	regular	#856D4D
330.0	_h5_4687	32983.65	21475.95	2.0	125410	0.2	73.0	3.0	regular	#704241
330.0	_h6_1192	15772.83	14329.78	19.0	165568	0.6	114.0	412.0	regular	#00B7EB
330.0	_h5_4685	18895.09	21678.54	8.0	415	0.4	43.0	17.0	regular	#664C28
330.0	_h5_4671	19048.4	21673.85	7.0	415	0.45	43.0	17.0	regular	#664C28
330.0	_h5_4684	41292.99	24741.86	1.0	188782	0.95	2.0	2.0	regular	#3B7A57
330.0	_h6_10	19787.03	18502.77	13.0	52332	0.65	160.0	412.0	regular	#563C5C
330.0	_h5_4236	20638.07	18467.45	0.0	192449	1.0	1.0	1.0	regular	#707070
330.0	_h5_4690	12264.41	19545.92	5.0	175271	1.0	35.0	29.0	regular	#FF4040
330.0	_h5_4718	32829.11	12877.98	1.0	187051	0.95	2.0	2.0	regular	#918151
330.0	_h6_747	19058.53	26860.66	4.0	177728	0.05	25.0	17.0	regular	#FF1493
330.0	_h5_4467	19155.52	22411.24	1.0	46722	0.4	17.0	2.0	regular	#FFF8E7
330.0	_h6_1533	6046.09	15926.43	1.0	191522	0.95	2.0	2.0	regular	#DA3287
330.0	_h5_4805	23024.59	18646.27	10.0	131102	0.8	111.0	412.0	regular	#FF00FF
330.0	_h5_4738	10319.93	13206.0	1.0	187537	1.0	2.0	2.0	regular	#BF4F51
330.0	_h6_778	26505.53	14206.03	1.0	92186	-3.1918911958e-16	10.0	2.0	regular	#D70A53
330.0	_h5_4861	40533.52	26283.62	1.0	120279	1.0	3.0	3.0	regular	#FFCBA4
330.0	_h6_156	20840.53	24017.83	3.0	7575	0.9	11.0	11.0	regular	#E34234
330.0	_h5_4668	18358.66	17861.12	0.0	192241	1.0	1.0	1.0	regular	#707070
330.0	_h5_4845	18372.0	24425.71	4.0	127345	0.95	33.0	18.0	regular	#696969
330.0	_h6_615	18566.23	16944.42	8.0	52332	0.85	160.0	412.0	regular	#563C5C
330.0	_h5_4445	26710.22	26369.62	2.0	78	0.55	44.0	89.0	regular	#91A3B0
330.0	_h5_4226	26567.97	26000.48	8.0	78	0.65	44.0	89.0	regular	#91A3B0
330.0	_h5_4558	26700.22	26066.11	6.0	78	0.65	44.0	89.0	regular	#91A3B0
330.0	_h6_6	23997.46	18829.28	9.0	131102	0.65	111.0	412.0	regular	#FF00FF
330.0	_h5_4444	26145.95	14289.04	0.0	192099	1.0	1.0	1.0	regular	#707070
330.0	_h5_3725	15062.3	13770.48	24.0	165568	0.75	114.0	412.0	regular	#00B7EB
330.0	_h5_4450	25041.32	23056.79	2.0	164752	0.95	29.0	3.0	regular	#C74375
330.0	_h6_1393	29799.5	22961.47	3.0	172889	0.95	4.0	4.0	regular	#DC143C
330.0	_h6_693	13013.97	25118.7	2.0	114721	-0.35	28.0	31.0	regular	#CB6D51
330.0	_h5_3652	26995.12	28179.63	7.0	156894	0.6	23.0	20.0	regular	#FF0038
330.0	_h5_3877	22870.81	30544.01	0.0	191977	1.0	1.0	1.0	regular	#707070
330.0	_h6_138	9869.5	25297.99	3.0	4835	0.85	37.0	28.0	regular	#986960
330.0	_h5_4447	29318.12	22761.42	0.0	191995	1.0	1.0	1.0	regular	#707070
330.0	_h5_4130	19463.17	19942.28	8.0	415	1.0	43.0	412.0	regular	#664C28
330.0	_h5_4657	20107.99	23180.28	11.0	149730	0.95	18.0	13.0	regular	#536878
330.0	_h5_4446	28712.28	21356.95	0.0	192447	1.0	1.0	1.0	regular	#707070
330.0	_h6_7	15568.77	14351.67	24.0	165568	0.6	114.0	412.0	regular	#00B7EB
330.0	_h5_4869	7947.27	14058.56	6.0	24763	0.95	7.0	7.0	regular	#4B3621
