step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	modularity	com_modularity	iterations	iteration_modularities
0	1126	1701	280	846	3.0213143825531006	280,193,127,117,115,89,65,35,31,20,14,11,14,9,1,4,1,	24.0	0.4448214973303781	435	2.5885057	79	62	2.5885057	528	2.1325758	17	56	1	315	2.1458755	0.9455709733977404	0.7857666462408753	1	0.7857666462408753,
1	1128	1732	272	856	3.0709218978881836	272,201,127,107,116,87,71,37,32,23,12,18,13,6,2,3,1,	23.0	0.44014272272251026	428	2.635514	82	54	2.635514	480	2.35	18	56	1	714	2.5632703	0.9450707774856107	0.8529213713871211	1	0.8529213713871211,
2	1128	1746	275	853	3.0957446098327637	275,204,120,107,112,88,60,51,27,22,18,21,14,4,0,3,2,	23.0	0.4364703755661205	430	2.6232557	82	55	2.6232557	480	2.35	18	56	1	1093	2.5948398	0.9446373251772325	0.8450842967529111	1	0.8450842967529111,
3	1129	1742	277	852	3.085916757583618	277,206,118,103,120,82,70,37,27,22,21,29,12,0,0,3,2,	15.0	0.4370441732266362	434	2.6013825	60	55	2.6013825	480	2.3520834	18	56	1	1225	2.6181867	0.9522692551549442	0.8546769816026301	1	0.8546769816026301,
4	1135	1767	270	865	3.1136562824249268	270,210,127,97,116,83,72,43,27,27,19,30,8,0,1,2,3,	15.0	0.4435213709442788	433	2.621247	60	56	2.621247	474	2.3945148	18	56	1	1576	2.6894302	0.9545996542920926	0.8632014845518798	1	0.8632014845518798,
5	1138	1762	274	864	3.096660852432251	274,205,133,97,116,80,75,47,20,25,20,37,3,1,0,2,3,	15.0	0.4481062825087435	437	2.604119	51	65	2.604119	474	2.4008439	18	56	1	1788	2.7663944	0.956279045198098	0.8613148560672343	1	0.8613148560672343,
6	1141	1779	275	866	3.1183173656463623	275,205,128,97,124,78,70,46,26,26,21,35,3,2,0,1,4,	16.0	0.45154699230071776	439	2.599089	51	67	2.599089	476	2.3970587	18	56	1	2186	2.8164763	0.9574117625498395	0.8684001818732753	1	0.8684001818732753,
7	1148	1797	273	875	3.130661964416504	273,197,144,96,120,88,61,42,40,26,18,29,8,1,0,1,4,	17.0	0.45887907582158477	435	2.6390805	43	10	2.6390805	475	2.4168422	19	198	1	2428	2.9069483	0.9600524462801858	0.8724726395844915	1	0.8724726395844915,
8	1147	1791	271	876	3.122929334640503	271,203,142,103,113,81,57,46,48,24,18,26,10,0,0,1,4,	16.0	0.45646784195171314	435	2.6367817	45	28	2.6367817	475	2.4147367	20	83	1	2669	2.9990494	0.9594264516951672	0.8738582483732027	1	0.8738582483732027,
9	1151	1799	274	877	3.1259775161743164	274,198,154,107,93,91,48,53,53,22,11,30,10,2,0,3,2,	15.0	0.46428114794752506	440	2.615909	49	69	2.615909	477	2.412998	20	198	1	3096	2.9991734	0.9589312325635779	0.862410591270982	1	0.862410591270982,
