step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
470.0	_h5_4339	41446.47	31213.63	14.0	151000	0.8	83.0	258.0	regular	#555555
470.0	_h5_4338	22199.18	22544.73	5.0	157112	0.85	13.0	62.0	regular	#918151
470.0	_h5_4310	22171.01	22537.34	5.0	157112	0.85	13.0	62.0	regular	#918151
470.0	_h6_202	22643.48	19313.61	10.0	107977	0.95	136.0	134.0	regular	#08457E
470.0	_h5_4448	24129.2	18931.8	12.0	107977	0.6	136.0	134.0	regular	#08457E
470.0	_h5_3792	25151.63	24768.79	18.0	157048	0.9	21.0	176.0	regular	#8CBED6
470.0	_h5_4347	23520.99	25422.54	2.0	1402	-8.7	6.0	3.0	regular	#92A1CF
470.0	_h5_4324	24100.54	18905.56	12.0	107977	0.6	136.0	134.0	regular	#08457E
470.0	_h5_4333	20708.66	19060.47	9.0	52884	0.45	116.0	270.0	regular	#A40000
470.0	_h5_4365	20749.71	19048.58	8.0	52884	0.45	116.0	270.0	regular	#A40000
470.0	_h5_4332	22587.76	19223.11	10.0	107977	0.95	136.0	134.0	regular	#08457E
470.0	_h5_4209	22159.43	18790.54	6.0	107977	0.8	136.0	134.0	regular	#08457E
470.0	_h5_4280	21624.09	18947.75	4.0	107977	0.6	136.0	270.0	regular	#08457E
470.0	_h6_1462	40407.09	29939.52	12.0	151000	0.85	83.0	258.0	regular	#555555
470.0	_h6_2133	44212.25	31100.48	6.0	148786	0.9	34.0	21.0	regular	#FB607F
470.0	_h6_1307	22754.34	27042.03	0.0	164501	1.0	1.0	1.0	regular	#707070
470.0	_h6_1222	38715.66	29166.81	9.0	70335	0.8	77.0	258.0	regular	#D19FE8
470.0	_h5_4631	22643.22	21954.5	10.0	144816	0.75	34.0	52.0	regular	#EC3B83
470.0	_h6_1549	20857.37	12881.38	5.0	135751	-1.0	50.0	46.0	regular	#1B1B1B
470.0	_h5_4330	32481.14	25999.28	10.0	19	0.6	98.0	99.0	regular	#483D8B
470.0	_h6_1265	24360.58	22178.85	1.0	122854	-5.05	2.0	2.0	regular	#1C1CF0
470.0	_h5_4337	9810.26	26704.36	2.0	59391	-1.55	38.0	3.0	regular	#008B8B
470.0	_h6_1781	18895.52	27841.95	4.0	125724	0.95	12.0	12.0	regular	#4A5D23
470.0	_h6_979	20021.13	19377.01	9.0	52884	0.6	116.0	270.0	regular	#A40000
470.0	_h6_783	42119.84	28195.38	0.0	164476	1.0	1.0	1.0	regular	#707070
470.0	_h6_1194	19777.01	18648.31	10.0	44019	0.55	135.0	270.0	regular	#FFCBA4
470.0	_h5_4378	9777.11	26866.9	2.0	59391	-1.55	38.0	3.0	regular	#008B8B
470.0	_h5_4336	34423.19	26708.6	10.0	19	0.25	98.0	99.0	regular	#483D8B
470.0	_h6_1703	15401.88	13880.76	19.0	138046	0.9	87.0	159.0	regular	#536872
470.0	_h5_3818	21619.1	11651.23	9.0	152272	0.95	35.0	20.0	regular	#00008B
470.0	_h5_3819	21756.7	11630.1	10.0	152272	0.95	35.0	20.0	regular	#00008B
470.0	_h5_4049	32853.18	21591.08	0.0	164414	1.0	1.0	1.0	regular	#707070
470.0	_h6_1495	17135.44	15904.76	20.0	44019	0.1	135.0	159.0	regular	#FFCBA4
470.0	_h6_1439	32471.2	19980.16	5.0	137495	0.3	75.0	59.0	regular	#D2691E
470.0	_h5_3849	15344.8	13814.61	12.0	138046	0.85	87.0	159.0	regular	#536872
470.0	_h5_3860	13885.8	12276.89	6.0	150437	0.85	14.0	159.0	regular	#967117
470.0	_h5_4335	38080.54	28681.07	11.0	70335	0.9	77.0	258.0	regular	#D19FE8
470.0	_h6_1463	22817.8	16332.14	11.0	87273	0.55	41.0	134.0	regular	#00FFFF
470.0	_h6_1925	8111.9	24818.7	3.0	132161	-1.7	19.0	4.0	regular	#A2A2D0
470.0	_h6_1611	26148.88	23391.31	12.0	111557	0.55	82.0	176.0	regular	#0095B6
470.0	_h5_4724	19148.62	26516.41	8.0	89957	0.3	16.0	9.0	regular	#AB4E52
470.0	_h6_1169	18786.7	26690.26	1.0	89957	0.2	16.0	2.0	regular	#AB4E52
470.0	_h6_1127	22928.85	21949.52	26.0	164516	1.0	1.0	52.0	regular	#483C32
470.0	_h5_4730	27030.25	23209.74	6.0	99859	0.9	11.0	11.0	regular	#007FFF
470.0	_h5_4725	26670.19	26509.93	7.0	83538	0.95	43.0	176.0	regular	#8C92AC
470.0	_h5_4743	25602.3	25216.84	16.0	111557	0.8	82.0	176.0	regular	#0095B6
470.0	_h5_4689	28291.21	22805.87	9.0	136284	0.1	23.0	11.0	regular	#555D50
470.0	_h5_4134	28184.2	22834.93	8.0	136284	0.1	23.0	11.0	regular	#555D50
470.0	_h5_4688	25746.8	21413.24	6.0	111557	0.15	82.0	176.0	regular	#0095B6
470.0	_h5_4720	13501.88	11853.57	2.0	150437	0.7	14.0	159.0	regular	#967117
470.0	_h5_4700	13079.08	11549.68	2.0	76857	0.7	16.0	4.0	regular	#7CB9E8
470.0	_h5_4721	19318.57	20219.68	9.0	52884	0.75	116.0	270.0	regular	#A40000
470.0	_h5_4749	20427.88	19164.63	10.0	52884	0.5	116.0	270.0	regular	#A40000
470.0	_h5_4722	22818.57	16321.08	10.0	87273	0.55	41.0	134.0	regular	#00FFFF
470.0	_h5_4638	24125.55	23928.23	12.0	157200	0.95	21.0	21.0	regular	#F7E7CE
470.0	_h5_4723	26414.02	25838.98	11.0	83538	0.9	43.0	176.0	regular	#8C92AC
470.0	_h6_1170	41053.54	30550.74	11.0	151000	0.95	83.0	258.0	regular	#555555
