step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	modularity	com_modularity	iterations	iteration_modularities
0	1126	1701	280	846	3.0213143825531006	280,193,127,117,115,89,65,35,31,20,14,11,14,9,1,4,1,	24.0	0.4448214973303781	435	2.5885057	79	62	2.5885057	517	2.1779497	19	18	1	102	2.2881684	0.9455709733977404	0.8129014955064977	1	0.8129014955064977,
1	1128	1732	272	856	3.0709218978881836	272,201,127,107,116,87,71,37,32,23,12,18,13,6,2,3,1,	23.0	0.44014272272251026	428	2.635514	82	54	2.635514	480	2.35	19	18	1	714	2.6108813	0.9450707774856107	0.8585005320312122	1	0.8585005320312122,
2	1128	1746	275	853	3.0957446098327637	275,204,120,107,112,88,60,51,27,22,18,21,14,4,0,3,2,	23.0	0.4364703755661205	430	2.6232557	82	55	2.6232557	476	2.3697479	17	18	1	1092	2.6820748	0.9446373251772325	0.8493596556488459	1	0.8493596556488459,
3	1129	1742	277	852	3.085916757583618	277,206,118,103,120,82,70,37,27,22,21,29,12,0,0,3,2,	15.0	0.4370441732266362	434	2.6013825	60	55	2.6013825	477	2.3668764	17	18	1	1226	2.7189023	0.9522692551549442	0.8527813221273313	1	0.8527813221273313,
4	1135	1767	270	865	3.1136562824249268	270,210,127,97,116,83,72,43,27,27,19,30,8,0,1,2,3,	15.0	0.4435213709442788	433	2.621247	60	56	2.621247	470	2.4148936	17	18	1	1577	2.791281	0.9545996542920926	0.8660087198846753	1	0.8660087198846753,
5	1138	1762	274	864	3.096660852432251	274,205,133,97,116,80,75,47,20,25,20,37,3,1,0,2,3,	15.0	0.4481062825087435	437	2.604119	51	65	2.604119	472	2.411017	18	68	1	1791	2.8112085	0.956279045198098	0.8626241849307045	1	0.8626241849307045,
6	1141	1779	275	866	3.1183173656463623	275,205,128,97,124,78,70,46,26,26,21,35,3,2,0,1,4,	16.0	0.45154699230071776	439	2.599089	51	67	2.599089	470	2.4276595	18	203	1	2189	2.8766541	0.9574117625498395	0.876046695552793	1	0.876046695552793,
7	1148	1797	273	875	3.130661964416504	273,197,144,96,120,88,61,42,40,26,18,29,8,1,0,1,4,	17.0	0.45887907582158477	435	2.6390805	43	10	2.6390805	472	2.4322033	19	258	1	2430	2.949623	0.9600524462801858	0.8812264861147101	1	0.8812264861147101,
8	1147	1791	271	876	3.122929334640503	271,203,142,103,113,81,57,46,48,24,18,26,10,0,0,1,4,	16.0	0.45646784195171314	435	2.6367817	45	28	2.6367817	473	2.4249473	23	258	1	2671	2.9849856	0.9594264516951672	0.8740604193496806	1	0.8740604193496806,
9	1151	1799	274	877	3.1259775161743164	274,198,154,107,93,91,48,53,53,22,11,30,10,2,0,3,2,	15.0	0.46428114794752506	440	2.615909	49	69	2.615909	476	2.4180672	23	258	1	3098	2.9784505	0.9589312325635779	0.860581089920562	1	0.860581089920562,
10	1159	1810	277	882	3.123382329940796	277,202,150,115,90,81,56,64,38,28,8,29,13,3,1,4,	17.0	0.4546999879614199	442	2.6221719	49	70	2.6221719	478	2.4246862	23	258	1	3231	3.0319018	0.9597356613046015	0.8527546472940394	1	0.8527546472940394,
11	1164	1814	278	886	3.1168384552001953	278,196,161,117,94,70,58,61,44,27,13,23,14,4,0,4,	16.0	0.4646583942975693	444	2.6216216	45	10	2.6216216	481	2.4199584	23	258	1	3515	3.1415124	0.965174697835894	0.8513650718593232	1	0.8513650718593232,
12	1168	1840	288	880	3.1506848335266113	288,187,160,117,87,67,62,67,47,27,12,25,10,8,0,4,	17.0	0.45995157810226295	445	2.6247191	52	59	2.6247191	489	2.3885481	23	263	1	3876	3.2092898	0.9621668241965968	0.8563247282608701	1	0.8563247282608701,
13	1172	1871	287	885	3.1928327083587646	287,193,148,118,92,65,57,73,47,32,14,21,12,9,3,1,	16.0	0.4663033544006241	450	2.6044445	52	62	2.6044445	487	2.406571	23	263	1	4224	3.2940583	0.9641194284132552	0.8667815408663738	1	0.8667815408663738,
14	1177	1875	286	891	3.1860663890838623	286,189,159,122,78,71,66,69,51,20,20,23,12,8,3,	14.0	0.47119774872536135	448	2.627232	41	79	2.627232	487	2.4168377	24	263	1	4425	3.2918348	0.9678592000000035	0.8638647466666677	1	0.8638647466666677,
15	1179	1906	284	895	3.233248472213745	284,182,157,126,72,80,69,74,47,26,12,24,17,6,3,	19.0	0.4763193267010059	444	2.6554055	47	12	2.6554055	485	2.4309278	24	263	1	4998	3.3268678	0.966277035351996	0.8612176547468707	1	0.8612176547468707,
16	1187	1932	289	898	3.255265474319458	289,186,146,124,83,66,84,69,42,31,20,24,16,4,3,	14.0	0.47268002988306307	449	2.6436527	41	82	2.6436527	489	2.427403	24	263	1	5201	3.356445	0.9679158683006883	0.8642464389662602	1	0.8642464389662602,
17	1191	1926	291	900	3.2342569828033447	291,192,142,115,89,69,97,57,39,35,21,25,13,3,3,	14.0	0.4661313870381885	452	2.6349556	43	1	2.6349556	489	2.4355829	25	258	1	5458	3.400886	0.9679388679155739	0.8675666050946266	1	0.8675666050946266,
18	1196	1907	290	906	3.1889631748199463	290,195,148,110,100,81,78,58,39,37,20,21,12,4,3,	10.0	0.46133195121489445	452	2.6460178	42	81	2.6460178	491	2.4358451	28	258	1	5948	3.4252152	0.9710763947799212	0.8528447480084006	1	0.8528447480084006,
19	1199	1901	293	906	3.170975923538208	293,202,138,110,110,73,89,50,35,37,19,26,9,4,4,	17.0	0.4592124398629819	459	2.6122005	43	31	2.6122005	499	2.4028056	30	258	1	6215	3.4344218	0.9705719822425227	0.8449747232899655	1	0.8449747232899655,
20	1201	1894	287	914	3.154038190841675	287,199,149,116,111,75,87,44,37,38,14,23,15,1,5,	18.0	0.4608221642359863	454	2.6453745	39	30	2.6453745	494	2.431174	30	258	1	6504	3.4562347	0.9707680230684538	0.8393845568008346	1	0.8393845568008346,
21	1207	1911	291	916	3.1665287017822266	291,192,151,114,110,92,77,45,44,32,17,21,11,5,4,1,	26.0	0.4659187172028934	456	2.6469297	74	5	2.6469297	498	2.4236948	30	258	1	6886	3.46108	0.9609895723374068	0.8354246983984598	1	0.8354246983984598,
22	1212	1922	297	915	3.171617269515991	297,191,137,123,108,101,74,52,39,33,10,27,8,7,3,2,	31.0	0.4642803428694516	458	2.6462882	84	5	2.6462882	504	2.4047618	30	258	1	7148	3.4736807	0.956617120780143	0.8321897931936576	1	0.8321897931936576,
23	1214	1932	302	912	3.1828665733337402	302,185,135,117,115,107,71,48,44,34,11,27,5,7,5,1,	31.0	0.4673172836681896	463	2.6220303	84	5	2.6220303	503	2.413519	30	258	1	7605	3.5329943	0.957601408553336	0.8364291447517881	1	0.8364291447517881,
24	1215	1944	307	908	3.200000047683716	307,178,129,131,103,109,83,43,36,38,13,20,12,6,4,3,	17.0	0.4755373022039687	465	2.612903	45	64	2.612903	504	2.4107144	28	258	1	8000	3.5597658	0.9639097402157556	0.8407378035614491	1	0.8407378035614491,
