step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
750.0	_h6_2236	25868.05	30178.84	0.0	283401	1.0	1.0	1.0	regular	#707070
750.0	_h5_4338	23398.17	23977.33	5.0	256277	0.75	23.0	256.0	regular	#B5A642
750.0	_h5_4310	23379.2	23950.97	5.0	256277	0.8	23.0	256.0	regular	#B5A642
750.0	_h6_202	25353.2	18755.09	3.0	268368	0.85	32.0	53.0	regular	#ED872D
750.0	_h5_4448	18674.53	16992.11	20.0	76675	0.95	166.0	725.0	regular	#EF3038
750.0	_h5_3792	23439.61	23439.3	14.0	256277	0.8	23.0	256.0	regular	#B5A642
750.0	_h6_3491	6976.14	24947.24	4.0	247528	-1.05	16.0	5.0	regular	#CC5500
750.0	_h5_4324	18267.61	16873.28	13.0	76675	0.9	166.0	725.0	regular	#EF3038
750.0	_h5_4333	15862.01	14617.34	25.0	76675	0.35	166.0	725.0	regular	#EF3038
750.0	_h5_4365	15897.76	14642.41	26.0	76675	0.35	166.0	725.0	regular	#EF3038
750.0	_h5_4332	21250.56	16853.17	1.0	237731	-0.95	7.0	5.0	regular	#D2691E
750.0	_h5_4209	22928.58	14478.83	0.0	283318	1.0	1.0	1.0	regular	#707070
750.0	_h5_4280	16614.67	15210.1	11.0	76675	0.5	166.0	725.0	regular	#EF3038
750.0	_h6_1462	32041.22	26285.87	25.0	132584	0.6	144.0	647.0	regular	#483C32
750.0	_h6_2133	42373.39	26525.46	1.0	274511	0.95	2.0	2.0	regular	#C2B280
750.0	_h6_1307	22922.42	25095.84	4.0	246840	0.95	16.0	7.0	regular	#FB607F
750.0	_h6_1222	30169.61	25957.03	17.0	70424	0.75	78.0	647.0	regular	#F4C2C2
750.0	_h5_4631	24161.13	21191.08	0.0	283387	1.0	1.0	1.0	regular	#707070
750.0	_h6_1549	17104.27	10231.09	1.0	175255	-12.6	21.0	2.0	regular	#A52A2A
750.0	_h5_4330	29259.22	26343.49	11.0	70424	0.85	78.0	647.0	regular	#F4C2C2
750.0	_h6_1265	27101.95	26181.7	17.0	21550	0.85	114.0	647.0	regular	#00416A
750.0	_h5_4337	6984.18	31506.74	1.0	271467	-0.3	2.0	2.0	regular	#FFF8DC
750.0	_h6_1781	18613.81	24297.73	7.0	47294	0.85	100.0	81.0	regular	#A8516E
750.0	_h6_979	26152.5	23338.18	25.0	137254	0.9	149.0	647.0	regular	#03C03C
750.0	_h6_783	42383.84	23240.64	3.0	271259	0.95	5.0	5.0	regular	#D2691E
750.0	_h6_2874	41615.95	24345.94	0.0	283360	1.0	1.0	1.0	regular	#707070
750.0	_h6_2693	17524.37	16394.69	25.0	76675	0.75	166.0	725.0	regular	#EF3038
750.0	_h5_4336	42210.23	30687.52	7.0	247739	0.75	97.0	97.0	regular	#03C03C
750.0	_h6_2817	20932.06	13241.29	10.0	161091	0.6	54.0	40.0	regular	#555555
750.0	_h6_2629	44966.14	22741.82	0.0	282992	1.0	1.0	1.0	regular	#707070
750.0	_h6_3076	13077.25	28603.15	0.0	283292	1.0	1.0	1.0	regular	#707070
750.0	_h5_4049	36294.32	16864.15	3.0	124828	-0.75	15.0	4.0	regular	#1034A6
750.0	_h6_1495	23675.27	18701.27	20.0	123	0.35	160.0	725.0	regular	#872657
750.0	_h6_1439	29105.85	22797.26	4.0	74533	0.9	39.0	28.0	regular	#F5C74C
750.0	_h6_2779	22020.1	14790.12	4.0	161091	0.2	54.0	41.0	regular	#555555
750.0	_h5_3860	8653.93	10965.06	2.0	273285	0.95	3.0	3.0	regular	#A52A2A
750.0	_h5_4335	44524.06	31199.47	3.0	251780	0.8	30.0	20.0	regular	#FFA700
750.0	_h6_3486	44213.38	31105.04	9.0	251780	0.85	30.0	20.0	regular	#FFA700
750.0	_h6_1925	17582.97	24591.9	5.0	47294	0.6	100.0	81.0	regular	#A8516E
750.0	_h6_1611	23186.37	21942.02	23.0	268408	0.9	54.0	256.0	regular	#483C32
750.0	_h6_2470	27942.26	29617.76	4.0	209919	-0.75	57.0	7.0	regular	#FFFF31
750.0	_h6_1169	19105.81	20787.29	13.0	134820	0.6	101.0	725.0	regular	#FAD6A5
750.0	_h6_1127	23346.67	23555.53	15.0	256277	0.8	23.0	256.0	regular	#B5A642
750.0	_h5_4730	32128.42	21976.19	25.0	273643	0.95	76.0	81.0	regular	#C19A6B
750.0	_h5_4725	29824.15	31611.97	7.0	209919	0.9	57.0	34.0	regular	#FFFF31
750.0	_h6_3338	10653.3	28566.89	2.0	264981	0.35	3.0	3.0	regular	#E5AA70
750.0	_h5_4689	25970.12	25588.84	22.0	21550	0.9	114.0	647.0	regular	#00416A
750.0	_h6_2484	31927.7	20571.52	4.0	273643	0.65	76.0	81.0	regular	#C19A6B
750.0	_h5_4688	21970.93	19744.4	4.0	280185	0.9	7.0	8.0	regular	#EFDFBB
750.0	_h5_4720	7338.83	14929.04	1.0	274873	0.95	5.0	2.0	regular	#E97451
750.0	_h5_4700	9404.48	12337.1	0.0	282963	1.0	1.0	1.0	regular	#707070
750.0	_h5_4721	13923.56	25401.76	6.0	137487	0.8	40.0	70.0	regular	#E52B50
750.0	_h5_4749	14681.62	25274.44	9.0	96717	0.6	53.0	70.0	regular	#1B4D3E
750.0	_h6_2946	40605.13	30135.89	19.0	247739	0.6	97.0	97.0	regular	#03C03C
