step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
1170.0	_h6_2236	22655.96	24584.71	17.0	256950	15.2998561514	19.0	19.0	regular	#556B2F
1170.0	_h6_4162	10324.62	14400.27	1.0	391964	0.0	2.0	2.0	regular	#A4C639
1170.0	_h6_4146	24405.26	18314.65	3.0	257744	1.6512530073	9.0	9.0	regular	#996666
1170.0	_h6_3946	13751.18	25326.07	10.0	208450	6.49172077079	43.0	2330.0	regular	#8F9779
1170.0	_h5_4448	9914.55	11255.22	4.0	377550	1.87554516892	4.0	10.0	regular	#CC5500
1170.0	_h6_3837	24795.06	19699.46	16.0	329470	9.7451614361	199.0	2330.0	regular	#E5CCC9
1170.0	_h6_3491	17945.84	26071.56	5.0	389438	2.232533077	7.0	10.0	regular	#F4C2C2
1170.0	_h5_4324	8439.5	13444.54	6.0	387298	3.72636549057	8.0	8.0	regular	#FFCBA4
1170.0	_h6_4616	13625.12	20119.57	5.0	388300	1.55225632195	5.0	37.0	regular	#00009C
1170.0	_h5_4365	7398.92	12298.08	0.0	391935	0.0	1.0	1.0	regular	#707070
1170.0	_h6_3752	21751.48	19231.1	5.0	386064	0.943820965371	6.0	2330.0	regular	#007BA7
1170.0	_h6_4210	18435.41	15813.76	0.0	392171	0.0	1.0	1.0	regular	#707070
1170.0	_h6_5373	39393.51	16310.64	7.0	351390	2.20299479793	13.0	16.0	regular	#FAD6A5
1170.0	_h6_1462	26815.29	21797.28	3.0	362521	0.762132686238	3.0	7.0	regular	#ACE1AF
1170.0	_h6_2133	38954.29	19755.27	0.0	392228	0.0	1.0	1.0	regular	#707070
1170.0	_h6_3756	19069.79	21391.19	17.0	313990	9.33132248457	77.0	2330.0	regular	#9F8170
1170.0	_h6_1222	22096.72	18901.67	22.0	329470	13.6006718151	199.0	2330.0	regular	#E5CCC9
1170.0	_h6_4466	19369.04	25906.75	2.0	389399	0.797185448835	5.0	5.0	regular	#ACE1AF
1170.0	_h6_1549	8765.67	13913.88	2.0	371870	0.788007273149	5.0	10.0	regular	#FFBCD9
1170.0	_h5_4330	23034.22	28061.08	1.0	304622	0.0	7.0	5.0	regular	#F0F8FF
1170.0	_h6_1265	37851.43	29236.88	0.0	391976	0.0	1.0	1.0	regular	#707070
1170.0	_h6_4070	11098.61	12904.45	3.0	359807	0.407846272931	16.0	11.0	regular	#483D8B
1170.0	_h6_1781	23690.72	19975.61	5.0	348252	1.47422329063	4.0	6.0	regular	#664C28
1170.0	_h6_4557	15537.62	13979.31	29.0	252785	21.3695998182	258.0	2330.0	regular	#904535
1170.0	_h6_4482	19089.36	17116.18	13.0	252785	6.52124091721	258.0	2330.0	regular	#904535
1170.0	_h6_2874	35042.86	26713.18	19.0	298022	12.283769983	94.0	2330.0	regular	#483C32
1170.0	_h6_2693	26019.46	22899.08	30.0	331096	18.281352296	80.0	2330.0	regular	#50C878
1170.0	_h6_4649	41611.52	30944.86	27.0	343154	17.2842610434	68.0	2330.0	regular	#EFBBCC
1170.0	_h6_2817	13973.88	12203.59	5.0	375029	1.57727109991	28.0	2330.0	regular	#FDEE00
1170.0	_h6_2629	39649.58	27595.91	1.0	350876	0.0	2.0	2.0	regular	#91A3B0
1170.0	_h6_3076	14150.93	23753.23	1.0	382300	0.0	2.0	2.0	regular	#002E63
1170.0	_h5_4049	44384.78	14592.17	0.0	391947	0.0	1.0	1.0	regular	#707070
1170.0	_h6_5424	44299.71	31144.33	6.0	369097	2.31716320335	25.0	2330.0	regular	#DE5D83
1170.0	_h6_1439	23121.95	22033.64	50.0	221112	40.4659353776	72.0	121.0	regular	#C41E3A
1170.0	_h6_2779	18061.49	24548.03	18.0	382828	12.3390278871	25.0	2330.0	regular	#77B5FE
1170.0	_h6_5475	20568.68	19774.77	0.0	391965	0.0	1.0	1.0	regular	#707070
1170.0	_h6_4252	22624.53	25946.24	1.0	389844	0.0	2.0	2.0	regular	#3D0C02
1170.0	_h6_3486	35316.96	26705.06	16.0	298022	10.1965983843	94.0	2330.0	regular	#483C32
1170.0	_h6_1925	25818.62	21842.35	17.0	329470	9.58522208948	199.0	2330.0	regular	#E5CCC9
1170.0	_h6_3931	34716.34	31174.48	1.0	379299	0.0	3.0	3.0	regular	#D2691E
1170.0	_h6_2470	22437.01	29043.53	4.0	368078	1.99428426556	6.0	9.0	regular	#483C32
1170.0	_h6_1169	27611.49	22709.51	4.0	384642	2.36164853203	6.0	6.0	regular	#737000
1170.0	_h6_4467	14523.62	20318.0	3.0	341297	1.21590288651	4.0	4.0	regular	#7E5E60
1170.0	_h5_4730	37874.48	16699.12	1.0	390509	0.0	2.0	2.0	regular	#AF002A
1170.0	_h5_4725	31913.31	35214.07	0.0	392151	0.0	1.0	1.0	regular	#707070
1170.0	_h6_3338	18270.59	24465.07	15.0	382828	4.34245198814	25.0	2330.0	regular	#77B5FE
1170.0	_h6_3913	24232.47	19254.71	16.0	329470	10.4199197065	199.0	2330.0	regular	#E5CCC9
1170.0	_h6_2484	25548.41	23235.41	7.0	331096	3.37413685574	80.0	2330.0	regular	#50C878
1170.0	_h6_3753	26388.15	27371.61	22.0	372703	16.1151745812	31.0	2330.0	regular	#536872
1170.0	_h6_4617	18247.11	16857.03	22.0	252785	13.8759969722	258.0	2330.0	regular	#904535
1170.0	_h6_3596	19098.8	23531.37	83.0	271943	75.9037640179	91.0	2330.0	regular	#F5F5DC
1170.0	_h5_4721	12039.31	23098.49	0.0	391938	0.0	1.0	1.0	regular	#707070
1170.0	_h6_4487	14519.5	20320.66	3.0	341297	1.31520153289	4.0	4.0	regular	#7E5E60
1170.0	_h6_2946	28641.08	26432.49	17.0	386541	9.95120987848	19.0	2330.0	regular	#543D37
1170.0	_h6_2441	24265.57	19014.71	30.0	329470	19.1513280999	199.0	2330.0	regular	#E5CCC9
1170.0	_h5_4723	20094.15	24479.08	3.0	383713	1.78989372901	5.0	5.0	regular	#F7E98E
1170.0	_h6_1170	24177.48	22579.4	15.0	345739	11.2516863437	19.0	121.0	regular	#E34234
1170.0	_h6_2748	21921.98	21975.58	25.0	383605	20.9014581213	26.0	2330.0	regular	#00FFFF
1170.0	_h5_4642	14321.63	12926.55	11.0	252785	5.47370993604	258.0	2330.0	regular	#904535
1170.0	_h6_5294	42498.78	31550.61	4.0	367592	0.783099668	24.0	2330.0	regular	#CE2029
1170.0	_h6_2683	14925.97	13597.01	45.0	252785	31.6006587724	258.0	2330.0	regular	#904535
1170.0	_h6_3880	38093.76	28716.29	19.0	289574	12.7664825921	92.0	2330.0	regular	#36454F
1170.0	_h6_4225	27156.72	28384.12	5.0	314370	1.22975342025	40.0	28.0	regular	#F7E98E
1170.0	_h6_2881	29983.61	31736.04	7.0	384076	5.1088683644	8.0	64.0	regular	#0D98BA
1170.0	_h6_5410	22091.89	12241.81	6.0	379995	2.34457168416	22.0	171.0	regular	#0072BB
1170.0	_h6_1418	20688.06	21378.96	17.0	382163	5.56744464208	19.0	2330.0	regular	#967117
1170.0	_h5_4680	14823.92	14840.81	2.0	385113	0.796975479195	4.0	2330.0	regular	#5D8AA8
1170.0	_h6_5147	15932.17	14651.4	18.0	252785	7.47771536816	258.0	2330.0	regular	#904535
1170.0	_h6_4724	22851.35	17034.7	7.0	373493	3.03223591507	45.0	171.0	regular	#BCD4E6
1170.0	_h6_5056	15704.81	14079.37	13.0	252785	5.36539736547	258.0	2330.0	regular	#904535
1170.0	_h5_4685	29599.39	31437.08	4.0	381961	2.62875181577	19.0	64.0	regular	#8F00FF
1170.0	_h6_5316	43311.32	31706.27	11.0	367592	6.72137713	24.0	2330.0	regular	#CE2029
1170.0	_h5_4684	26075.43	23041.46	44.0	331096	26.5930580886	80.0	2330.0	regular	#50C878
1170.0	_h6_4124	37333.65	25537.42	0.0	392039	0.0	1.0	1.0	regular	#707070
1170.0	_h6_4748	28935.89	30698.66	6.0	381961	1.89799996131	19.0	64.0	regular	#8F00FF
1170.0	_h6_2560	21701.02	27259.94	4.0	372089	1.23368304432	6.0	15.0	regular	#C2B280
1170.0	_h6_2798	27008.99	26168.35	24.0	362406	8.37681150517	61.0	2330.0	regular	#E5CCC9
1170.0	_h6_747	12223.53	10488.63	2.0	371066	0.958423126839	3.0	3.0	regular	#FFFF31
1170.0	_h6_3814	11095.37	24919.57	9.0	387835	5.55322958224	12.0	2330.0	regular	#66424D
1170.0	_h6_1533	20615.23	21369.38	16.0	379018	5.77863592891	11.0	2330.0	regular	#F5F5DC
1170.0	_h5_4805	41888.11	27810.63	1.0	389269	0.0	3.0	3.0	regular	#4F86F7
1170.0	_h6_2463	23520.99	25422.55	6.0	376942	3.67315695906	10.0	10.0	regular	#00BFFF
1170.0	_h6_778	22210.01	22585.07	43.0	280269	35.2013937674	50.0	201.0	regular	#A2006D
1170.0	_h5_4861	24310.25	19065.56	28.0	329470	18.0182555793	199.0	2330.0	regular	#E5CCC9
1170.0	_h6_3792	9469.59	20711.16	2.0	373828	0.0	4.0	4.0	regular	#B94E48
1170.0	_h6_4186	37044.13	27589.65	12.0	289574	6.2935412542	92.0	2330.0	regular	#36454F
1170.0	_h5_4845	25004.39	10845.24	1.0	385443	0.0	2.0	2.0	regular	#4D5D53
1170.0	_h6_615	30039.82	31779.79	7.0	384076	5.04843812989	8.0	64.0	regular	#0D98BA
1170.0	_h6_4076	22699.43	21910.84	14.0	221112	4.9364903792	72.0	121.0	regular	#C41E3A
1170.0	_h6_5131	15086.06	13779.7	39.0	252785	19.570677487	258.0	2330.0	regular	#904535
1170.0	_h6_3499	23124.9	18640.05	19.0	329470	11.3790248942	199.0	2330.0	regular	#E5CCC9
1170.0	_h6_4267	30094.24	29659.17	0.0	392036	0.0	1.0	1.0	regular	#707070
1170.0	_h6_4026	19958.4	19420.27	27.0	320253	16.0990802091	135.0	2330.0	regular	#FFF600
1170.0	_h6_4347	12558.3	11401.13	9.0	375029	4.64009230717	28.0	2330.0	regular	#FDEE00
1170.0	_h6_2013	23032.62	16205.69	4.0	373493	1.02968542548	45.0	171.0	regular	#BCD4E6
1170.0	_h6_3287	28549.71	22726.54	5.0	390418	3.59512263425	6.0	13.0	regular	#E97451
1170.0	_h6_3557	25792.82	22182.68	17.0	329470	13.121702894	199.0	2330.0	regular	#E5CCC9
1170.0	_h6_4851	26486.62	17602.19	1.0	387696	0.0	2.0	2.0	regular	#9932CC
1170.0	_h6_3934	23870.94	18772.81	20.0	329470	10.9475218523	199.0	2330.0	regular	#E5CCC9
1170.0	_h6_138	26380.92	25440.35	65.0	200227	48.3120397782	162.0	2330.0	regular	#BF4F51
1170.0	_h6_3928	22581.63	29995.23	4.0	356454	0.556965941876	4.0	12.0	regular	#568203
1170.0	_h6_4396	6470.63	32426.29	1.0	389871	0.0	2.0	2.0	regular	#0070FF
1170.0	_h6_4458	22511.04	18572.61	17.0	329470	8.92340307285	199.0	2330.0	regular	#E5CCC9
1170.0	_h6_4858	22497.86	15515.54	9.0	373493	4.99965868189	45.0	171.0	regular	#BCD4E6
1170.0	_h6_7	29837.24	12886.54	1.0	387188	0.0	2.0	2.0	regular	#8C92AC
1170.0	_h6_4815	19062.49	27181.79	5.0	351244	1.70958391005	6.0	29.0	regular	#7FFFD4
1170.0	_h6_3051	24461.55	30571.92	1.0	388810	0.0	2.0	2.0	regular	#4997D0
1170.0	_h6_4455	41246.05	31644.72	0.0	392045	0.0	1.0	1.0	regular	#707070
1170.0	_h6_5298	15054.62	13744.6	41.0	252785	18.7960918428	258.0	2330.0	regular	#904535
1170.0	_h5_4854	13396.75	11757.79	7.0	375029	4.52842795859	28.0	2330.0	regular	#FDEE00
